osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel
"[31139841, 4004551]",3,A205,Academy Road,trunk,30 mph,False,"[False, True]",85.317,"LINESTRING (0.055026 51.4710996, 0.0550487 51.4712448, 0.0550534 51.4712762, 0.0550594 51.4713159, 0.0551199 51.4717164, 0.055128 51.4717695, 0.0551331 51.4717983, 0.0551445 51.4718633)",,
"[1159709795, 38368092]","['3', '2']",A207,Shooters Hill Road,primary,30 mph,False,True,143.362,"LINESTRING (0.055026 51.4710996, 0.0549308 51.4711155, 0.0546821 51.4711612, 0.0546189 51.4711718, 0.0545653 51.4711809, 0.053972 51.4712867, 0.0536847 51.471338, 0.0530362 51.4714545)",,
"[1159709796, 695631661]",3,A205,Well Hall Road,trunk,30 mph,False,True,222.00600000000003,"LINESTRING (0.055026 51.4710996, 0.054992 51.4709787, 0.0549797 51.4709385, 0.0549691 51.4709037, 0.0549136 51.4707211, 0.0547895 51.4701962, 0.0546763 51.4697811, 0.0545961 51.4696249, 0.054476 51.4694361, 0.0543866 51.4693181, 0.0542681 51.4691734)",,
845227149,1,A207,Shooters Hill Road,primary,30 mph,True,False,5.433,"LINESTRING (0.047624 51.4725441, 0.0475478 51.4725557)",,
1262429732,,,Bell Street,residential,20 mph,True,False,15.141,"LINESTRING (0.047624 51.4725441, 0.0475982 51.4724841, 0.0475862 51.4724535, 0.0475804 51.4724424, 0.0475356 51.4724292)",,
"[314577754, 1218893575]",3,A205,Well Hall Road,trunk,30 mph,False,True,225.929,"LINESTRING (0.0542681 51.4691734, 0.0540886 51.4689578, 0.054057 51.4689198, 0.0540354 51.4688919, 0.0537224 51.4685435, 0.0534627 51.468212, 0.0533563 51.4680594, 0.0532933 51.4679621, 0.0530726 51.467612, 0.0529747 51.4674616, 0.0529582 51.4674361, 0.0528919 51.4673343)",,
"[1159709796, 695631661]",3,A205,Well Hall Road,trunk,30 mph,False,False,222.00599999999997,"LINESTRING (0.0542681 51.4691734, 0.0543866 51.4693181, 0.054476 51.4694361, 0.0545961 51.4696249, 0.0546763 51.4697811, 0.0547895 51.4701962, 0.0549136 51.4707211, 0.0549691 51.4709037, 0.0549797 51.4709385, 0.054992 51.4709787, 0.055026 51.4710996)",,
"[695631662, 587069807]",2,,Broad Walk,tertiary,20 mph,False,True,249.95099999999996,"LINESTRING (0.0542681 51.4691734, 0.0541803 51.4691892, 0.0541092 51.4692012, 0.0539013 51.4692386, 0.0536244 51.4692885, 0.05264 51.4694643, 0.0520412 51.4695712, 0.0519619 51.469579, 0.0518912 51.4695737, 0.0515826 51.4695178, 0.051266 51.4694595, 0.0507972 51.4693732)",,
35216955,2,A205,Well Hall Road,trunk,30 mph,False,False,73.906,"LINESTRING (0.0521606 51.4662343, 0.0525605 51.4668505)",,
10496789,,,Arsenal Road,residential,20 mph,False,False,22.391,"LINESTRING (0.0521606 51.4662343, 0.0522377 51.4662192, 0.0522807 51.4662105, 0.0523375 51.4661962, 0.0523647 51.4661789, 0.0524183 51.4661285)",,
314577757,3,,Westmount Road,tertiary,20 mph,False,True,99.165,"LINESTRING (0.0528919 51.4673343, 0.0530193 51.4673027, 0.0530892 51.4672854, 0.0531809 51.4672626, 0.053442 51.4671977, 0.0539443 51.467073, 0.0542231 51.4670063)",,
1218893574,3,A205,Well Hall Road,trunk,30 mph,False,True,58.489,"LINESTRING (0.0528919 51.4673343, 0.0528301 51.4672441, 0.052813 51.4672191, 0.0527846 51.4671777, 0.0525605 51.4668505)",,
"[314577754, 1218893575]",3,A205,Well Hall Road,trunk,30 mph,False,False,225.929,"LINESTRING (0.0528919 51.4673343, 0.0529582 51.4674361, 0.0529747 51.4674616, 0.0530726 51.467612, 0.0532933 51.4679621, 0.0533563 51.4680594, 0.0534627 51.468212, 0.0537224 51.4685435, 0.0540354 51.4688919, 0.054057 51.4689198, 0.0540886 51.4689578, 0.0542681 51.4691734)",,
22970501,,,Maudslay Road,residential,20 mph,False,True,126.53399999999999,"LINESTRING (0.0524797 51.4642287, 0.0524695 51.4643218, 0.0524827 51.4644089, 0.0525102 51.4644895, 0.0525674 51.4646105, 0.0526676 51.4648225, 0.0527641 51.4650502, 0.0527935 51.4651498, 0.0528237 51.4653397)",,
10496789,,,Arsenal Road,residential,20 mph,False,False,61.095,"LINESTRING (0.0524183 51.4661285, 0.0524948 51.4660452, 0.0526079 51.4659158, 0.0528392 51.4656457)",,
10496789,,,Arsenal Road,residential,20 mph,False,True,22.391000000000002,"LINESTRING (0.0524183 51.4661285, 0.0523647 51.4661789, 0.0523375 51.4661962, 0.0522807 51.4662105, 0.0522377 51.4662192, 0.0521606 51.4662343)",,
10496789,,,Arsenal Road,residential,20 mph,False,False,31.316000000000003,"LINESTRING (0.0528392 51.4656457, 0.0529687 51.4655002, 0.0530584 51.4653994)",,
10496789,,,Arsenal Road,residential,20 mph,False,True,61.09499999999999,"LINESTRING (0.0528392 51.4656457, 0.0526079 51.4659158, 0.0524948 51.4660452, 0.0524183 51.4661285)",,
22970501,,,Maudslay Road,residential,20 mph,False,False,34.06099999999999,"LINESTRING (0.0528392 51.4656457, 0.0528381 51.4655561, 0.0528332 51.4653998, 0.0528237 51.4653397)",,
10496789,,,Arsenal Road,residential,20 mph,False,True,84.76599999999999,"LINESTRING (0.0536384 51.4647283, 0.0536037 51.4647711, 0.0535524 51.4648344, 0.0534646 51.4649429, 0.0531319 51.4653167, 0.0530584 51.4653994)",,
31140969,,,Westmount Road,tertiary,20 mph,False,False,159.043,"LINESTRING (0.0552593 51.4656139, 0.0550343 51.465952, 0.0546041 51.4665929, 0.0545742 51.466635, 0.0544649 51.4667893, 0.0543449 51.466925)",,
171575374,,,Heatherbank,residential,20 mph,False,True,241.975,"LINESTRING (0.0552593 51.4656139, 0.0559013 51.4657262, 0.0561939 51.4657774, 0.0561663 51.4658559, 0.0555488 51.4672391, 0.0555538 51.4672625, 0.0555595 51.467294)",,
10497444,,,Westmount Road,residential,20 mph,False,False,91.55499999999999,"LINESTRING (0.054099 51.4678207, 0.0541694 51.4674068, 0.054206 51.4672639, 0.0542388 51.4671688, 0.054251 51.4671116, 0.0542501 51.4670705, 0.0542231 51.4670063)",,
10497444,,,Westmount Road,residential,20 mph,False,True,91.555,"LINESTRING (0.0542231 51.4670063, 0.0542501 51.4670705, 0.054251 51.4671116, 0.0542388 51.4671688, 0.054206 51.4672639, 0.0541694 51.4674068, 0.054099 51.4678207)",,
31140969,,,Westmount Road,tertiary,20 mph,False,True,12.435,"LINESTRING (0.0542231 51.4670063, 0.0542829 51.4669749, 0.0543449 51.466925)",,
314577757,3,,Westmount Road,tertiary,20 mph,False,False,99.16499999999999,"LINESTRING (0.0542231 51.4670063, 0.0539443 51.467073, 0.053442 51.4671977, 0.0531809 51.4672626, 0.0530892 51.4672854, 0.0530193 51.4673027, 0.0528919 51.4673343)",,
35216955,2,A205,Well Hall Road,trunk,30 mph,False,True,73.906,"LINESTRING (0.0525605 51.4668505, 0.0521606 51.4662343)",,
10497533,,,Dunblane Road,residential,20 mph,False,True,193.961,"LINESTRING (0.0525605 51.4668505, 0.0524804 51.4668709, 0.0524607 51.4668761, 0.0520483 51.4669844, 0.0519776 51.4669963, 0.0518948 51.4669918, 0.0518258 51.4669758, 0.0515779 51.4668858, 0.051209 51.4667538, 0.0510224 51.4666876, 0.0509152 51.4666421, 0.0508185 51.4665867, 0.0502521 51.4662118)",,
1218893574,3,A205,Well Hall Road,trunk,30 mph,False,False,58.489,"LINESTRING (0.0525605 51.4668505, 0.0527846 51.4671777, 0.052813 51.4672191, 0.0528301 51.4672441, 0.0528919 51.4673343)",,
10497498,,,Arbroath Road,residential,20 mph,False,False,99.293,"LINESTRING (0.0490409 51.4641406, 0.0477141 51.4644784)",,
10497527,,,Allenswood Road,residential,20 mph,False,False,277.038,"LINESTRING (0.0490409 51.4641406, 0.0492487 51.464467, 0.0493135 51.4645333, 0.0494 51.4645962, 0.0496359 51.4647611, 0.0500084 51.4650191, 0.0501806 51.4651459, 0.0503166 51.4652661, 0.0504148 51.465369, 0.0505548 51.4655387, 0.0506523 51.4656777, 0.0506809 51.4657498, 0.0506854 51.4658236, 0.0506736 51.4658849, 0.0506313 51.46596, 0.0505497 51.4660377, 0.0502521 51.4662118)",,
10497527,,,Allenswood Road,residential,20 mph,False,True,277.038,"LINESTRING (0.0502521 51.4662118, 0.0505497 51.4660377, 0.0506313 51.46596, 0.0506736 51.4658849, 0.0506854 51.4658236, 0.0506809 51.4657498, 0.0506523 51.4656777, 0.0505548 51.4655387, 0.0504148 51.465369, 0.0503166 51.4652661, 0.0501806 51.4651459, 0.0500084 51.4650191, 0.0496359 51.4647611, 0.0494 51.4645962, 0.0493135 51.4645333, 0.0492487 51.464467, 0.0490409 51.4641406)",,
