osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,width
49685500,US 6;US 322,Superior Avenue,primary,False,True,96.996,2,"LINESTRING (-81.6919235 41.5005568, -81.6920257 41.5005046, -81.6927416 41.5001391, -81.6928859 41.5000655)",25 mph,
"[717193917, 222940831]",US 6;US 322,Superior Avenue East,primary,False,False,161.916,"['5', '3']","LINESTRING (-81.6919235 41.5005568, -81.6915605 41.5007422, -81.6910756 41.5009897, -81.6908415 41.5011092, -81.6904328 41.5013179, -81.690317 41.501377)",25 mph,
102189476,US 6;US 322,Superior Avenue East,primary,True,False,180.088,1,"LINESTRING (-81.690317 41.501377, -81.6901778 41.5013929, -81.6900704 41.5014289, -81.6894229 41.5017513, -81.6893254 41.5017999, -81.6892876 41.5018187, -81.6887234 41.5020997, -81.6886686 41.502149, -81.6885425 41.502266)",25 mph,
651607976,,East 6th Street,tertiary,False,False,89.247,,"LINESTRING (-81.690317 41.501377, -81.6904405 41.5015112, -81.6908653 41.5019793, -81.690919 41.502041)",25 mph,
"[717193917, 222940831]",US 6;US 322,Superior Avenue East,primary,False,True,161.91600000000003,"['3', '5']","LINESTRING (-81.690317 41.501377, -81.6904328 41.5013179, -81.6908415 41.5011092, -81.6910756 41.5009897, -81.6915605 41.5007422, -81.6919235 41.5005568)",25 mph,
"[1070289393, 651607977]",,East 6th Street,unclassified,False,True,106.77199999999999,,"LINESTRING (-81.690317 41.501377, -81.6901957 41.5012448, -81.6897167 41.5007264, -81.689588 41.5005871)",25 mph,
93289064,,East 4th Street,living_street,True,False,46.036,,"LINESTRING (-81.6899435 41.498304, -81.6899638 41.4983508, -81.6899755 41.4983933, -81.6900621 41.4987081)",,"10'0"""
746710131,,Prospect Avenue East,tertiary,False,False,80.866,3,"LINESTRING (-81.6899435 41.498304, -81.6906508 41.4981926, -81.6908934 41.4981533)",,
746710132,,East 4th Street,unclassified,False,False,72.447,2,"LINESTRING (-81.6899435 41.498304, -81.6898804 41.498195, -81.6898557 41.4981237, -81.6898111 41.4979668, -81.6897434 41.4977298, -81.6897134 41.4976782)",,
"[11804465, 122815143]",,"['High Avenue', 'East 2nd Street']",unclassified,False,True,157.844,2,"LINESTRING (-81.6897134 41.4976782, -81.6898198 41.4976549, -81.6907103 41.4975132, -81.6907971 41.4978059, -81.6908934 41.4981533)",25 mph,
