osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,bridge,maxspeed
16234408,True,motorway_link,False,378.198,"LINESTRING (-120.4367653 34.8684366, -120.4369 34.867391, -120.4369434 34.867027, -120.437005 34.866706, -120.4371357 34.866209, -120.437296 34.8656887, -120.4373317 34.8655286, -120.43736 34.8652048, -120.437359 34.8650782)",,,,,
"[1181514346, 107000708, 107000710]",True,motorway,False,768.851,"LINESTRING (-120.4367653 34.8684366, -120.4367895 34.8653371, -120.4368041 34.8648325, -120.4368456 34.8641549, -120.4368842 34.863526, -120.4369299 34.8628105, -120.4369746 34.862389, -120.4370363 34.8620516, -120.4371931 34.8615465)",2,CA 135,Orcutt Expressway,yes,65 mph
186090931,True,motorway_link,False,396.32,"LINESTRING (-120.437359 34.8650782, -120.4373355 34.8649573, -120.4371501 34.8642665, -120.4370883 34.864017, -120.4370454 34.8637264, -120.4370379 34.8634511, -120.4370478 34.8629292, -120.4370592 34.8624445, -120.4370785 34.8622378, -120.4371931 34.8615465)",,,,,
210933416,False,secondary,True,121.90100000000001,"LINESTRING (-120.437359 34.8650782, -120.4372096 34.8650778, -120.4361669 34.8650655, -120.436023 34.8650648)",4,,East Clark Avenue,,50 mph
1132289646,False,secondary,False,59.667,"LINESTRING (-120.437359 34.8650782, -120.437517 34.865084, -120.4380128 34.8650883)",,,East Clark Avenue,,
210933394,True,motorway_link,False,377.728,"LINESTRING (-120.436023 34.8650648, -120.4360169 34.8651854, -120.4361254 34.8656736, -120.4362677 34.8662783, -120.4363625 34.8666958, -120.4364128 34.8670439, -120.436447 34.8674123, -120.4365332 34.8684293)",,,,,
210933416,False,secondary,False,121.90100000000001,"LINESTRING (-120.436023 34.8650648, -120.4361669 34.8650655, -120.4372096 34.8650778, -120.437359 34.8650782)",4,,East Clark Avenue,,50 mph
210933416,False,secondary,True,56.574999999999996,"LINESTRING (-120.436023 34.8650648, -120.4358606 34.8650639, -120.4355074 34.8650639, -120.435403 34.8650676)",4,,East Clark Avenue,,50 mph
16234409,True,motorway_link,False,338.092,"LINESTRING (-120.436785 34.8620939, -120.4366452 34.8625774, -120.4365473 34.8631528, -120.436478 34.863568, -120.436329 34.864067, -120.436219 34.864436, -120.4360499 34.864922, -120.4360431 34.8649545, -120.436023 34.8650648)",2,,,,
"[107000706, 186090923, 107000702]",True,motorway,False,705.232,"LINESTRING (-120.436785 34.8620939, -120.436713 34.862574, -120.4366516 34.8635149, -120.436611 34.8641542, -120.4365696 34.8648221, -120.4365589 34.8653327, -120.436538 34.866508, -120.4365332 34.8684293)",2,CA 135,Orcutt Expressway,yes,65 mph
16249474,False,residential,False,131.168,"LINESTRING (-120.4364027 34.8617904, -120.4349652 34.8617745)",,,Crescent Avenue,,
1132329074,False,tertiary,True,94.51,"LINESTRING (-120.4364027 34.8617904, -120.4363893 34.8623539, -120.4363804 34.8625437, -120.4363748 34.86264)",,,Orcutt Road,,
16249474,False,residential,True,131.168,"LINESTRING (-120.4349652 34.8617745, -120.4364027 34.8617904)",,,Crescent Avenue,,
16262920,False,residential,False,28.955,"LINESTRING (-120.4349652 34.8617745, -120.4349654 34.8620349)",,,Southpoint Court,,
16249474,False,residential,False,148.75,"LINESTRING (-120.4349652 34.8617745, -120.4345885 34.861791, -120.4340973 34.8618679, -120.433807 34.861889, -120.4333455 34.8618813)",,,Crescent Avenue,,
16249474,False,residential,False,164.471,"LINESTRING (-120.4333455 34.8618813, -120.432846 34.8618657, -120.4326294 34.8618455, -120.432287 34.8617323, -120.4319925 34.8616988, -120.4315742 34.8616979)",,,Crescent Avenue,,
16249474,False,residential,True,148.75,"LINESTRING (-120.4333455 34.8618813, -120.433807 34.861889, -120.4340973 34.8618679, -120.4345885 34.861791, -120.4349652 34.8617745)",,,Crescent Avenue,,
16254279,False,residential,False,101.765,"LINESTRING (-120.4333455 34.8618813, -120.433409 34.861469, -120.433427 34.8609696)",,,Redwillow Drive,,
16249474,False,residential,True,164.471,"LINESTRING (-120.4315742 34.8616979, -120.4319925 34.8616988, -120.432287 34.8617323, -120.4326294 34.8618455, -120.432846 34.8618657, -120.4333455 34.8618813)",,,Crescent Avenue,,
210933432,False,residential,False,58.719,"LINESTRING (-120.431487 34.8650652, -120.4314761 34.8655932)",2,,Crestwood Court,,
322886708,False,secondary,False,162.729,"LINESTRING (-120.431487 34.8650652, -120.4332706 34.8650702)",2,,East Clark Avenue,,50 mph
322886708,False,secondary,True,34.925,"LINESTRING (-120.4336534 34.8650709, -120.4332706 34.8650702)",2,,East Clark Avenue,,50 mph
210933402,True,secondary,False,160.54700000000003,"LINESTRING (-120.4336534 34.8650709, -120.4339641 34.8650984, -120.4351224 34.8651073, -120.4352425 34.8651102, -120.435265 34.8651041, -120.435403 34.8650676)",2,,East Clark Avenue,,50 mph
210933416,False,secondary,False,56.574999999999996,"LINESTRING (-120.435403 34.8650676, -120.4355074 34.8650639, -120.4358606 34.8650639, -120.436023 34.8650648)",4,,East Clark Avenue,,50 mph
210933437,True,secondary,False,162.85899999999998,"LINESTRING (-120.435403 34.8650676, -120.4352569 34.8650147, -120.4351904 34.8649904, -120.4348813 34.8649914, -120.433924 34.8649946, -120.4336534 34.8650709)",2,,East Clark Avenue,,50 mph
590024538,False,tertiary,True,226.583,"LINESTRING (-120.435403 34.8650676, -120.4354363 34.8652357, -120.4358817 34.8661822, -120.4359266 34.8662776, -120.4360794 34.8666184, -120.4361523 34.8668163, -120.4361958 34.8669934)",,,Orcutt Road,,
