osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,bridge
47795955,RI 114,Underwood Street,secondary,False,False,21.865,,"LINESTRING (-71.3784824 41.8774764, -71.3785131 41.8776717)",,
47795955,RI 114,Underwood Street,secondary,False,True,72.865,,"LINESTRING (-71.3784824 41.8774764, -71.3783842 41.8768252)",,
19351491,,,motorway_link,True,False,110.004,1,"LINESTRING (-71.3784824 41.8774764, -71.3785024 41.8773902, -71.3785185 41.8773165, -71.3785308 41.8772409, -71.3785377 41.8771646, -71.3785395 41.8770563, -71.3785461 41.8770168, -71.3785623 41.8769805, -71.3785809 41.876952, -71.378611 41.8769227, -71.3786457 41.8769016, -71.3786861 41.8768847, -71.3787252 41.876877, -71.3787632 41.8768753, -71.3788023 41.876879, -71.3788434 41.8768889, -71.3788801 41.8769035, -71.3789192 41.8769259, -71.3789479 41.8769535, -71.378969 41.8769876, -71.378983 41.877028, -71.3789911 41.8770775)",,
47795736,,,motorway_link,True,False,260.673,1,"LINESTRING (-71.3789911 41.8770775, -71.3787979 41.8776644, -71.378765 41.8777481, -71.3787315 41.8778264, -71.378459 41.8784274, -71.3784192 41.87852, -71.3783794 41.8786287, -71.3783062 41.8788356, -71.3782708 41.8789432, -71.3781606 41.8793364)",,
1042115545,I 95;US 1,,motorway,True,False,22.664,4,"LINESTRING (-71.3781606 41.8793364, -71.3780629 41.8795268)",45 mph,
94669182,,,motorway_link,True,False,226.017,1,"LINESTRING (-71.3798089 41.8750928, -71.37963 41.8754637, -71.3795895 41.8755549, -71.3795525 41.875642, -71.3795208 41.8757273, -71.3794957 41.8758119, -71.3794768 41.875889, -71.3793549 41.8763774, -71.3793345 41.8764723, -71.3792147 41.8770704)",,
19375252,,Fountain Street,tertiary,False,True,140.89000000000001,,"LINESTRING (-71.3781784 41.8829319, -71.3782129 41.8828758, -71.3782766 41.8827592, -71.3783112 41.8826957, -71.3783736 41.8825704, -71.3787832 41.8817478)",,
94669174,,,primary_link,True,False,120.10100000000001,,"LINESTRING (-71.3781784 41.8829319, -71.3780266 41.8827241, -71.3779715 41.8826435, -71.3779203 41.882558, -71.3778652 41.88246, -71.3778154 41.8823627, -71.3777726 41.8822688, -71.3777297 41.8821525, -71.3776977 41.8820496, -71.3776662 41.8819281)",,
361220915,US 1,Broadway,primary,False,False,30.012,2,"LINESTRING (-71.3776662 41.8819281, -71.3777957 41.881676)",,
"[660857853, 361220915, 121787373]",US 1,Broadway,primary,False,True,81.039,"['1', '2']","LINESTRING (-71.3776662 41.8819281, -71.377621 41.8820161, -71.3773566 41.8825411, -71.3773244 41.882611)",,yes
19353540,,,secondary_link,True,False,26.673,,"LINESTRING (-71.379748 41.8780934, -71.3796948 41.8781116, -71.3796418 41.8781393, -71.3795965 41.8781583, -71.3795511 41.878169, -71.3795001 41.8781749, -71.3794525 41.8781762)",,
47795958,RI 114,Broadway,secondary,False,False,226.81699999999998,2,"LINESTRING (-71.379748 41.8780934, -71.3797648 41.8780728, -71.3805028 41.8771648, -71.380554 41.8771111, -71.3806096 41.8770648, -71.3806795 41.8770216, -71.3807611 41.8769804, -71.3808529 41.8769381, -71.3809487 41.8768966, -71.3815691 41.8766525)",,
19353540,,,secondary_link,True,False,14.182,,"LINESTRING (-71.3794525 41.8781762, -71.3793994 41.8781755, -71.3793407 41.8781729, -71.3792819 41.8781667)",,
19358167,,Kids Way,residential,False,False,70.72,,"LINESTRING (-71.3794525 41.8781762, -71.3794513 41.878089, -71.3794474 41.8780448, -71.3793865 41.8776886, -71.3793839 41.8776579, -71.3793842 41.8776312, -71.3793901 41.8776057, -71.3794121 41.8775458)",,
175135894,,,secondary_link,True,False,33.861,,"LINESTRING (-71.3792819 41.8781667, -71.3788962 41.8780654)",,yes
47795735,RI 114,Walcott Street,secondary,False,True,19.696,,"LINESTRING (-71.3790191 41.876721, -71.3792496 41.8766772)",,
47795735,RI 114,Walcott Street,secondary,False,False,53.833,,"LINESTRING (-71.3790191 41.876721, -71.3789026 41.8767425, -71.3787889 41.8767618, -71.3785854 41.8767923, -71.3783842 41.8768252)",,
47795736,,,motorway_link,True,False,40.304,1,"LINESTRING (-71.3790191 41.876721, -71.3790346 41.8767678, -71.3790423 41.8768012, -71.3790452 41.8768387, -71.3790431 41.8768801, -71.3790366 41.8769245, -71.3790234 41.8769725, -71.3789911 41.8770775)",,
47795956,RI 15;RI 114,Cottage Street,secondary,True,False,67.541,,"LINESTRING (-71.3784158 41.8781653, -71.3781314 41.8787346)",,
19354110,,,motorway_link,True,False,80.517,1,"LINESTRING (-71.3783824 41.8795676, -71.3784275 41.8795522, -71.3784624 41.8795359, -71.3784959 41.8795161, -71.3785268 41.87949, -71.3785507 41.8794548, -71.3785746 41.8794136, -71.3786892 41.8791787, -71.3788191 41.8789421)",,
360159690,RI 15,Exchange Street,secondary,True,False,39.683,,"LINESTRING (-71.3783824 41.8795676, -71.3784604 41.8796036, -71.3785301 41.8796327, -71.3787113 41.8796831, -71.378825 41.8796911)",,
360161757,,,secondary_link,True,False,41.690999999999995,,"LINESTRING (-71.3783824 41.8795676, -71.3785199 41.8795904, -71.3785914 41.8795978, -71.3786469 41.8795983, -71.3787007 41.8795952, -71.378751 41.8795851, -71.3788098 41.8795661, -71.3788674 41.8795439)",,
19382649,US 1,,motorway_link,True,False,227.323,1,"LINESTRING (-71.3788191 41.8789421, -71.3791415 41.8780593, -71.3791754 41.8779563, -71.3792934 41.8775924, -71.3793201 41.8774914, -71.3794385 41.8769524)",,
19397237,,Walcott Street,secondary,True,False,89.956,,"LINESTRING (-71.3804122 41.8765417, -71.381355 41.8764921, -71.381496 41.8764847)",,
19354215,,,secondary_link,True,False,30.663000000000004,,"LINESTRING (-71.3802923 41.8763334, -71.3802666 41.8763688, -71.3802529 41.8764056, -71.3802551 41.8764378, -71.3802703 41.8764702, -71.3802966 41.8764967, -71.380329 41.876515, -71.380366 41.8765287, -71.3804122 41.8765417)",,
"[47795936, 121787445]",RI 114,"['Walcott Street', 'Main Street']",secondary,True,False,95.67199999999998,2,"LINESTRING (-71.3802923 41.8763334, -71.3802023 41.8763925, -71.3801479 41.8764224, -71.3800844 41.8764536, -71.3800211 41.8764792, -71.3799554 41.8765002, -71.3798827 41.8765183, -71.3797074 41.8765534, -71.3794734 41.8765991, -71.3794064 41.8766159, -71.3793332 41.8766394, -71.3792496 41.8766772)",,yes
