osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed
14130884,East Fremont Street,residential,False,False,135.244,,,"LINESTRING (-98.6478411 42.4552868, -98.6461926 42.4552916)",
14130884,East Fremont Street,residential,False,True,134.25,,,"LINESTRING (-98.6478411 42.4552868, -98.6494773 42.455268)",
14117820,South 4th Street,primary,False,False,131.579,2,US 281,"LINESTRING (-98.6478411 42.4552868, -98.6478525 42.455873, -98.647864 42.45647)",
14117905,East Everett Street,residential,False,False,136.297,,,"LINESTRING (-98.647864 42.45647, -98.6462027 42.4564813)",
14117820,South 4th Street,primary,False,False,134.797,2,US 281,"LINESTRING (-98.647864 42.45647, -98.6478716 42.4570572, -98.6478797 42.4576822)",
14117820,South 4th Street,primary,False,True,131.579,2,US 281,"LINESTRING (-98.647864 42.45647, -98.6478525 42.455873, -98.6478411 42.4552868)",
1006746481,East Everett Street,residential,False,True,132.953,,,"LINESTRING (-98.647864 42.45647, -98.6486749 42.4564627, -98.6494845 42.4564555)",
52579973,East Douglas Street,trunk,False,True,133.294,4,US 20;US 281,"LINESTRING (-98.6478797 42.4576822, -98.6495043 42.4576635)",25 mph
118456094,East Douglas Street,trunk,False,False,136.644,4,US 20;US 275,"LINESTRING (-98.6478797 42.4576822, -98.6462141 42.4576908)",25 mph
14117820,South 4th Street,primary,False,True,134.797,2,US 281,"LINESTRING (-98.6478797 42.4576822, -98.6478716 42.4570572, -98.647864 42.45647)",
14130805,North 4th Street,tertiary,False,False,134.291,,,"LINESTRING (-98.6478797 42.4576822, -98.6478819 42.4583153, -98.6478815 42.4588899)",
1171618815,East Douglas Street,trunk,False,False,134.534,4,US 20;US 281,"LINESTRING (-98.6527052 42.4576453, -98.6510653 42.4576502)",35 mph
14130708,North 1st Street,tertiary,False,False,135.548,,,"LINESTRING (-98.6527052 42.4576453, -98.6527165 42.4582753, -98.6527271 42.4588642)",
14130722,South 1st Street,tertiary,False,False,134.928,,,"LINESTRING (-98.6527052 42.4576453, -98.6527001 42.4571111, -98.6526993 42.4570288, -98.6526936 42.4564319)",
14131741,East Adams Street,residential,False,True,130.114,,,"LINESTRING (-98.6430851 42.4612883, -98.644671 42.4612684)",
14117882,North 7th Street,residential,False,False,130.914,,,"LINESTRING (-98.6430851 42.4612883, -98.6430793 42.4607094, -98.6430734 42.460111)",
14130981,East Benton Street,residential,False,True,129.571,,,"LINESTRING (-98.6430734 42.460111, -98.6446528 42.4600995)",
14117882,North 7th Street,residential,False,False,130.546,,,"LINESTRING (-98.6430734 42.460111, -98.6430618 42.4595221, -98.6430503 42.4589371)",
14117882,North 7th Street,residential,False,True,130.914,,,"LINESTRING (-98.6430734 42.460111, -98.6430793 42.4607094, -98.6430851 42.4612883)",
14131694,East Clay Street,residential,False,True,129.963,,,"LINESTRING (-98.6430503 42.4589371, -98.6446344 42.4589221)",
14117882,North 7th Street,residential,False,False,136.549,,,"LINESTRING (-98.6430503 42.4589371, -98.6430475 42.4583451, -98.6430444 42.4577091)",
14117882,North 7th Street,residential,False,True,130.546,,,"LINESTRING (-98.6430503 42.4589371, -98.6430618 42.4595221, -98.6430734 42.460111)",
14117882,North 7th Street,residential,False,True,136.549,,,"LINESTRING (-98.6430444 42.4577091, -98.6430475 42.4583451, -98.6430503 42.4589371)",
14130675,South 7th Street,residential,False,False,134.014,,,"LINESTRING (-98.6430444 42.4577091, -98.6430399 42.4570873, -98.6430356 42.4565039)",
"[118456041, 118456094]",East Douglas Street,trunk,False,True,128.874,"['4', '3']",US 20;US 275,"LINESTRING (-98.6430444 42.4577091, -98.6440921 42.4577036, -98.6446153 42.4577036)",25 mph
14117905,East Everett Street,residential,False,True,129.637,,,"LINESTRING (-98.6430356 42.4565039, -98.6446156 42.4564855)",
