osmid,name,highway,oneway,reversed,length,ref,bridge,geometry,lanes,tunnel
16254538,North Ford Avenue,residential,False,False,121.454,,,"LINESTRING (-84.091401 36.951834, -84.091834 36.95287)",,
109677449,Master Street,primary,False,True,58.362,KY 312,,"LINESTRING (-84.091401 36.951834, -84.092037 36.951703)",,
109677449,Master Street,primary,False,False,58.362,KY 312,,"LINESTRING (-84.092037 36.951703, -84.091401 36.951834)",,
"[109677449, 109677424, 16253555, 52077077, 109677407]","['East Masters Street', 'Master Street']",primary,False,True,287.226,KY 312,yes,"LINESTRING (-84.092037 36.951703, -84.0931612 36.9514615, -84.0937979 36.9513248, -84.0946356 36.9511449, -84.0948528 36.9510988, -84.0951582 36.9510316)",,
"[16256290, 856668757, 856668758]",Christian Street,residential,False,True,161.114,,yes,"LINESTRING (-84.092037 36.951703, -84.0918331 36.951258, -84.0917925 36.951169, -84.091415 36.950342)",,
16254538,North Ford Avenue,residential,False,True,121.454,,,"LINESTRING (-84.091834 36.95287, -84.091401 36.951834)",,
"[16391640, 856668759, 16255535]","['Roy Kidd Bridge', 'Roy Kidd Avenue']",unclassified,False,True,121.38,,yes,"LINESTRING (-84.091415 36.950342, -84.0920746 36.9502181, -84.0921377 36.950207, -84.0927121 36.9501115, -84.0927484 36.9501056)",,
"[16256290, 856668757, 856668758]",Christian Street,residential,False,False,161.114,,yes,"LINESTRING (-84.091415 36.950342, -84.0917925 36.951169, -84.0918331 36.951258, -84.092037 36.951703)",,
499385174,Roy Kidd Avenue,unclassified,True,False,92.505,,,"LINESTRING (-84.0970071 36.9493975, -84.0959893 36.9495721)",,
16379058,,primary,True,False,112.60400000000001,US 25W;KY 312,,"LINESTRING (-84.0970071 36.9493975, -84.097098 36.949726, -84.097118 36.949836, -84.097124 36.949891, -84.097127 36.949949, -84.097123 36.950013, -84.097115 36.950063, -84.097089 36.950169, -84.097056 36.950279, -84.097013 36.95039)",2,
1213519755,Roy Kidd Avenue,unclassified,True,False,69.383,,,"LINESTRING (-84.0970071 36.9493975, -84.097224 36.949362, -84.0973297 36.9493555, -84.0974435 36.949362, -84.0975411 36.9493782, -84.097767 36.949442)",,
"[16379059, 16385438]",North Kentucky Avenue,primary,True,False,125.28300000000002,US 25W;KY 312,,"LINESTRING (-84.097013 36.95039, -84.097159 36.950245, -84.097246 36.950152, -84.097434 36.949927, -84.097632 36.949659, -84.097667 36.949613, -84.097729 36.949514, -84.097767 36.949442)",2,
