osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,tunnel
17825241,True,Academy Street,residential,False,106.76599999999999,"LINESTRING (-85.5847301 42.2906997, -85.5848983 42.2906946, -85.5858575 42.2906657, -85.586027 42.2906606)",,,
887807672,False,South Rose Street,residential,False,103.644,"LINESTRING (-85.5847301 42.2906997, -85.5847272 42.290613, -85.584703 42.2898882, -85.5847022 42.2898639, -85.584699 42.2897679)",,,
887807672,False,South Rose Street,residential,True,105.62099999999998,"LINESTRING (-85.5847301 42.2906997, -85.584743 42.291228, -85.5847514 42.2914962, -85.5847523 42.2915253, -85.5847521 42.2916494)",,,
17825241,True,Academy Street,residential,False,102.748,"LINESTRING (-85.586027 42.2906606, -85.5871581 42.2906265, -85.5872751 42.290623)",,,
267605533,False,Academy Street,residential,False,201.203,"LINESTRING (-85.5872751 42.290623, -85.5873695 42.2906214, -85.5875314 42.2906186, -85.5877475 42.2906149, -85.5885144 42.2906017, -85.5887384 42.2905978, -85.5890359 42.2905927, -85.5896048 42.2905829, -85.5897205 42.2905809)",,,
267605534,True,South Park Street,primary,False,107.46499999999999,"LINESTRING (-85.5872751 42.290623, -85.5872773 42.2907167, -85.5872943 42.2914257, -85.5872955 42.2914779, -85.5872982 42.2915893)",,,
17839894,True,South Westnedge Avenue,primary,False,102.34700000000002,"LINESTRING (-85.5897205 42.2905809, -85.5897183 42.2905185, -85.5897084 42.2902374, -85.5897016 42.2900462, -85.5896926 42.2897913, -85.5896915 42.2897609, -85.5896879 42.2896608)",,,
267605533,False,Academy Street,residential,True,201.203,"LINESTRING (-85.5897205 42.2905809, -85.5896048 42.2905829, -85.5890359 42.2905927, -85.5887384 42.2905978, -85.5885144 42.2906017, -85.5877475 42.2906149, -85.5875314 42.2906186, -85.5873695 42.2906214, -85.5872751 42.290623)",,,
17830743,True,North Park Street,primary,False,109.30700000000002,"LINESTRING (-85.587324 42.292541, -85.5873349 42.2929103, -85.5873394 42.293063, -85.5873494 42.2934275, -85.587352 42.2935238)",4,,
17847088,False,West Water Street,residential,False,101.112,"LINESTRING (-85.587324 42.292541, -85.5877874 42.2925358, -85.5880604 42.2925328, -85.588308 42.2925282, -85.588443 42.292525, -85.588553 42.2925224)",,,
17847088,False,West Water Street,residential,True,101.585,"LINESTRING (-85.587324 42.292541, -85.5868318 42.2925494, -85.5867297 42.2925512, -85.5866141 42.2925532, -85.5860893 42.2925622)",,,
887807674,False,Eleanor Street,residential,False,101.87299999999999,"LINESTRING (-85.587352 42.2935238, -85.587469 42.2935195, -85.5878362 42.2935059, -85.5880608 42.2934976, -85.5882876 42.2934892, -85.5884728 42.2934823, -85.588589 42.293478)",2,,
887807675,True,North Park Street,primary,False,101.11600000000001,"LINESTRING (-85.587352 42.2935238, -85.5873538 42.2935939, -85.5873719 42.2943124, -85.5873726 42.2943388, -85.587375 42.294433)",4,,
