osmid,highway,oneway,reversed,length,geometry,name,lanes,ref
23465311,residential,False,False,77.623,"LINESTRING (-73.8703159 41.0144207, -73.870174 41.0144682, -73.8700219 41.0145197, -73.8698412 41.014581, -73.8696431 41.0146483, -73.8694706 41.0147044)",,,
1194724115,residential,False,False,18.646,"LINESTRING (-73.8694706 41.0147044, -73.8693776 41.0145521)",Estherwood Avenue,,
23465311,residential,False,True,77.623,"LINESTRING (-73.8694706 41.0147044, -73.8696431 41.0146483, -73.8698412 41.014581, -73.8700219 41.0145197, -73.870174 41.0144682, -73.8703159 41.0144207)",,,
"[23472561, 1194724115]",residential,False,True,64.598,"LINESTRING (-73.8694706 41.0147044, -73.8695635 41.0148725, -73.8697777 41.0152371)",Estherwood Avenue,,
"[23467376, 1052703667]",residential,False,False,85.282,"LINESTRING (-73.8726547 41.0156647, -73.8727422 41.0155511, -73.8729436 41.01562, -73.8730659 41.0157099, -73.8731877 41.0157156, -73.873309 41.015669, -73.8734352 41.0155769, -73.8734472 41.0155681)",,,
23505371,unclassified,False,True,206.23100000000002,"LINESTRING (-73.8726547 41.0156647, -73.872583 41.0156359, -73.8724554 41.0155955, -73.8706894 41.0151351, -73.8703397 41.0150439)",Cedar Street,,
"[874401265, 1052703666, 874401266]",unclassified,False,False,105.219,"LINESTRING (-73.8726547 41.0156647, -73.8730962 41.0159476, -73.8732841 41.016058, -73.8734763 41.0161736, -73.8736256 41.0162634)",Cedar Street,,
"[23467376, 1052703667]",residential,False,True,85.282,"LINESTRING (-73.8734472 41.0155681, -73.8734352 41.0155769, -73.873309 41.015669, -73.8731877 41.0157156, -73.8730659 41.0157099, -73.8729436 41.01562, -73.8727422 41.0155511, -73.8726547 41.0156647)",,,
23469070,residential,False,False,395.727,"LINESTRING (-73.874979 41.012659, -73.874444 41.012731, -73.8743776 41.0127577, -73.8743252 41.0128817, -73.8742294 41.0130472, -73.8741033 41.0134019, -73.8740844 41.0134425, -73.8740546 41.0134725, -73.8740172 41.0134933, -73.8739949 41.0135001, -73.8739 41.013529, -73.873769 41.013536, -73.873628 41.013521, -73.873507 41.013491, -73.8733673 41.0134048, -73.873285 41.013354, -73.8731787 41.0132709, -73.873152 41.01325, -73.8730004 41.0130222, -73.8729356 41.0129249, -73.8729326 41.0128588, -73.8729312 41.0128294, -73.8729645 41.0127277, -73.8729948 41.0126348, -73.8730346 41.0125437, -73.8730325 41.0124714, -73.8730204 41.0121281, -73.8730145 41.0119608, -73.8730547 41.0119152, -73.873099 41.0118788, -73.8731109 41.0117827)",,,
"[23472561, 1194724115]",residential,False,False,64.598,"LINESTRING (-73.8697777 41.0152371, -73.8695635 41.0148725, -73.8694706 41.0147044)",Estherwood Avenue,,
"[121772438, 420605687]",primary,False,False,63.617000000000004,"LINESTRING (-73.8697777 41.0152371, -73.8696106 41.0153, -73.8694988 41.0153421, -73.869393 41.015382, -73.8690944 41.0154849)",Broadway,4,US 9
"[1220165827, 1043373332, 420605686]",primary,False,True,51.819,"LINESTRING (-73.8697777 41.0152371, -73.8698486 41.0152106, -73.8701388 41.0151121, -73.8702092 41.0150882, -73.8703397 41.0150439)",Broadway,4,US 9
"[121772438, 420605687]",primary,False,True,63.617,"LINESTRING (-73.8690944 41.0154849, -73.869393 41.015382, -73.8694988 41.0153421, -73.8696106 41.0153, -73.8697777 41.0152371)",Broadway,4,US 9
"[420605688, 23472762]",primary,False,False,87.19800000000001,"LINESTRING (-73.8690944 41.0154849, -73.8691324 41.0156747, -73.8691586 41.0158676, -73.8691739 41.0159801, -73.8692075 41.0162274, -73.8692097 41.016264)",Broadway,"['3', '2']",US 9
667597499,tertiary,False,True,100.956,"LINESTRING (-73.8690944 41.0154849, -73.8688926 41.0155437, -73.8687427 41.0155695, -73.8684719 41.0156161, -73.8680218 41.0156934, -73.8679303 41.0157091)",Ashford Avenue,,
1051528601,residential,False,False,94.28099999999999,"LINESTRING (-73.8690944 41.0154849, -73.8690554 41.0153507, -73.8690192 41.0152595, -73.8690166 41.015253, -73.8689738 41.0151711, -73.8689207 41.0150799, -73.8688917 41.0150416, -73.8688522 41.0149894, -73.8687972 41.0149245, -73.868626 41.0147227)",Walgrove Avenue,,
23472762,primary,False,False,36.692,"LINESTRING (-73.8692097 41.016264, -73.8692563 41.0165921)",Broadway,2,US 9
"[420605688, 23472762]",primary,False,True,87.19800000000001,"LINESTRING (-73.8692097 41.016264, -73.8692075 41.0162274, -73.8691739 41.0159801, -73.8691586 41.0158676, -73.8691324 41.0156747, -73.8690944 41.0154849)",Broadway,"['3', '2']",US 9
23475461,residential,False,False,191.082,"LINESTRING (-73.8692097 41.016264, -73.8699033 41.0162638, -73.8705604 41.0162636, -73.871289 41.016264, -73.871453 41.016348)",Rochambeau Avenue,,
23472762,primary,False,True,36.692,"LINESTRING (-73.8692563 41.0165921, -73.8692097 41.016264)",Broadway,2,US 9
23475227,residential,False,False,167.912,"LINESTRING (-73.8692563 41.0165921, -73.8672909 41.0168771)",Maple Street,,
23472762,primary,False,False,120.28,"LINESTRING (-73.8692563 41.0165921, -73.8693361 41.0171449, -73.8693564 41.0172825, -73.8694133 41.0176673)",Broadway,2,US 9
23472762,primary,False,False,111.799,"LINESTRING (-73.8694133 41.0176673, -73.8694501 41.0179241, -73.8695567 41.0186669)",Broadway,2,US 9
23472762,primary,False,True,120.28,"LINESTRING (-73.8694133 41.0176673, -73.8693564 41.0172825, -73.8693361 41.0171449, -73.8692563 41.0165921)",Broadway,2,US 9
23472762,primary,False,True,111.799,"LINESTRING (-73.8695567 41.0186669, -73.8694501 41.0179241, -73.8694133 41.0176673)",Broadway,2,US 9
23518591,residential,False,False,88.815,"LINESTRING (-73.8695567 41.0186669, -73.8690199 41.0187227, -73.8688962 41.0187356, -73.868508 41.018776)",Sherman Avenue,,
121772439,primary,False,False,16.026,"LINESTRING (-73.8771016 41.0107779, -73.8769464 41.0108619)",Broadway,2,US 9
23518174,residential,False,True,161.36,"LINESTRING (-73.8771016 41.0107779, -73.8772064 41.0108364, -73.8772242 41.0108463, -73.8776804 41.0109381, -73.8777268 41.0109473, -73.8777761 41.0109723, -73.8777973 41.0110027, -73.8778003 41.0110306, -73.8777666 41.0111404, -73.8775078 41.0118373)",Hatch Terrace,,
23475028,residential,False,False,101.23599999999999,"LINESTRING (-73.8763153 41.0112436, -73.8762392 41.0111882, -73.8758342 41.0108725, -73.875704 41.010751, -73.87564 41.010667, -73.8755988 41.0105882, -73.8755858 41.0105357)",Oliphant Avenue,,
