osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,junction
22012065,True,2,North Old State Capitol Plaza,residential,30 mph,False,122.70400000000001,"LINESTRING (-89.64931 39.8017265, -89.649183 39.8017301, -89.6485582 39.8017186, -89.6480313 39.8017117, -89.648024 39.8017116, -89.6479958 39.8017114, -89.647874 39.8017103)",,,
"[914586661, 22014574]",True,3,South 5th Street,secondary,30 mph,False,124.96499999999999,"LINESTRING (-89.64931 39.8017265, -89.6493122 39.8016315, -89.6493253 39.8011599, -89.6493345 39.8007209, -89.6493355 39.8006893, -89.6493392 39.8006029)",,,
"[923207554, 923207555, 842443756, 842443757]",True,3,North 5th Street,secondary,30 mph,False,124.35900000000001,"LINESTRING (-89.6492824 39.8028446, -89.6492873 39.8027499, -89.6492868 39.8025616, -89.6492886 39.8025007, -89.6492902 39.8024113, -89.6492939 39.8022993, -89.6493059 39.801868, -89.6493058 39.8018503, -89.6493058 39.8018224, -89.64931 39.8017265)",,,
22013242,True,3,East Jefferson Street,primary,35 mph,False,46.624,"LINESTRING (-89.6385509 39.803264, -89.6388449 39.8031178, -89.6390102 39.8030375)",IL 97,,
"[842443778, 22005574]",True,"['4', '3']",North 6th Street,secondary,30 mph,False,123.30400000000002,"LINESTRING (-89.647874 39.8017103, -89.6478711 39.8017972, -89.6478644 39.8022356, -89.6478636 39.8022678, -89.6478605 39.8023639, -89.6478588 39.8024054, -89.6478516 39.8026649, -89.6478503 39.8026961, -89.6478499 39.8027292, -89.6478489 39.802819)",,,
22016399,True,3,East Washington Street,residential,30 mph,False,121.937,"LINESTRING (-89.647874 39.8017103, -89.6477515 39.8017073, -89.6473086 39.801697, -89.647216 39.801695, -89.646624 39.8016822, -89.6466174 39.8016821, -89.6465732 39.8016815, -89.6464472 39.8016791)",,,
845896134,True,4,East Jefferson Street,primary,30 mph,False,122.49200000000002,"LINESTRING (-89.6478489 39.802819, -89.6479734 39.8028211, -89.6491207 39.802841, -89.6491615 39.8028421, -89.6492824 39.8028446)",IL 97,,
"[22016832, 842443776]",True,"['4', '3']",East Old State Capitol Plaza,secondary,30 mph,False,125.01100000000001,"LINESTRING (-89.6479041 39.8005863, -89.6479021 39.8006647, -89.6478964 39.8009403, -89.6478942 39.8010502, -89.6478924 39.8011372, -89.6478789 39.8015765, -89.6478778 39.8016062, -89.647874 39.8017103)",,,
842455544,True,2,East Adams Street,residential,30 mph,False,121.98700000000001,"LINESTRING (-89.6464765 39.8005625, -89.6465932 39.8005647, -89.6471589 39.8005751, -89.6477445 39.8005843, -89.647786 39.8005848, -89.6479041 39.8005863)",,,
"[930823562, 930823563, 930823564, 930823565, 930823566]",True,3,South 7th Street,residential,30 mph,False,127.717,"LINESTRING (-89.6464765 39.8005625, -89.6464788 39.8004509, -89.6464799 39.8004256, -89.6464925 39.8000114, -89.646493 39.7999814, -89.6464943 39.7999259, -89.6464954 39.7998672, -89.6464993 39.7996769, -89.6465034 39.7995816, -89.6465043 39.7995493, -89.6465044 39.7995445, -89.6465055 39.799512, -89.6465085 39.7994142)",,,
