osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,bridge,ref
6086922,True,Rhode Island Avenue,residential,False,78.788,"LINESTRING (-76.9332002 38.9762799, -76.9331904 38.9763246, -76.9331549 38.9764862, -76.9331309 38.9765935, -76.9330865 38.9767597, -76.9330427 38.9768976, -76.9330185 38.9769739)",,,,
"[6095699, 6095700, 155436487]",False,Chapel Drive,residential,"[False, True]",273.97900000000004,"LINESTRING (-76.9401066 38.9845161, -76.9401765 38.9845154, -76.9402677 38.9845143, -76.941121 38.984479, -76.941252 38.9844766, -76.941309 38.984473, -76.9417014 38.9844603, -76.941771 38.984458, -76.9419684 38.9844516, -76.942182 38.984445, -76.942245 38.98445, -76.942297 38.9844605, -76.9423516 38.984476, -76.942433 38.984513, -76.942471 38.984556, -76.9424788 38.9845923, -76.9424829 38.9846362, -76.9425033 38.9851425)",20 mph,,,
"[497500731, 239525813, 239525814]",False,Regents Drive,tertiary,True,225.27800000000002,"LINESTRING (-76.9401066 38.9845161, -76.9400962 38.9843823, -76.9400745 38.9841128, -76.940071 38.9840646, -76.9400433 38.9838344, -76.9400068 38.9835789, -76.9399692 38.9833366, -76.9399553 38.9832516, -76.939923 38.983108, -76.939894 38.9830354, -76.9398854 38.9830192, -76.939854 38.98296, -76.93975 38.98281, -76.939693 38.982747, -76.93963 38.982699, -76.939547 38.982642, -76.939506 38.982619, -76.9394952 38.9826121)",20 mph,2,yes,
"[6095699, 6095700, 155436487]",False,Chapel Drive,residential,"[False, True]",273.979,"LINESTRING (-76.9425033 38.9851425, -76.9424829 38.9846362, -76.9424788 38.9845923, -76.942471 38.984556, -76.942433 38.984513, -76.9423516 38.984476, -76.942297 38.9844605, -76.942245 38.98445, -76.942182 38.984445, -76.9419684 38.9844516, -76.941771 38.984458, -76.9417014 38.9844603, -76.941309 38.984473, -76.941252 38.9844766, -76.941121 38.984479, -76.9402677 38.9845143, -76.9401765 38.9845154, -76.9401066 38.9845161)",20 mph,,,
6119874,False,Rossburg Drive,residential,True,18.436,"LINESTRING (-76.9423788 38.979836, -76.9424813 38.9796906)",,,,
6145044,False,Hartwick Road,residential,False,392.50100000000003,"LINESTRING (-76.9423788 38.979836, -76.9423198 38.9798858, -76.9423088 38.9798943, -76.9422544 38.9799293, -76.9421597 38.9799765, -76.9420516 38.9800243, -76.9419722 38.9800481, -76.9419146 38.9800653, -76.9419006 38.9800676, -76.9417639 38.9800897, -76.9416295 38.980092, -76.9414852 38.9800807, -76.9413084 38.9800617, -76.9410404 38.980024, -76.9409663 38.9800136, -76.9409374 38.9800095, -76.9408699 38.9800001, -76.9397296 38.9798436, -76.9396246 38.9798292, -76.9395609 38.9798216, -76.9392783 38.9797817, -76.9389367 38.9797348, -76.9387229 38.9797062, -76.9380844 38.9796171, -76.9379875 38.9796078)",,,,
"[909127880, 745274548]",False,Dartmouth Avenue,residential,False,103.47899999999998,"LINESTRING (-76.931624 38.9766936, -76.9316104 38.9767398, -76.9314971 38.9771253, -76.9313428 38.9775981)",,,,
"[909127871, 909127863]",False,Guilford Road,residential,True,124.511,"LINESTRING (-76.931624 38.9766936, -76.932082 38.9767869, -76.9321891 38.9768087, -76.932222 38.9768154, -76.9324574 38.9768634, -76.9325664 38.9768849, -76.93263 38.9768974, -76.9330185 38.9769739)",,,,
6142167,False,Harvard Road,residential,True,121.169,"LINESTRING (-76.9313428 38.9775981, -76.9322755 38.9777963, -76.9324514 38.9778339, -76.9326379 38.9778737, -76.932694 38.9778879)",,,,
"[909127880, 745274548]",False,Dartmouth Avenue,residential,True,103.479,"LINESTRING (-76.9313428 38.9775981, -76.9314971 38.9771253, -76.9316104 38.9767398, -76.931624 38.9766936)",,,,
