osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
"[5563712, 5637588]",False,Sylvan Road,residential,True,34.826,"LINESTRING (-112.7282862 33.9645533, -112.7284337 33.9646957, -112.7285249 33.9647958)",,,,,
5588922,False,Fisher Street,residential,True,56.32,"LINESTRING (-112.7300604 33.9643489, -112.7304434 33.9639544)",,,,,
5588920,False,Fisher Street,residential,False,90.664,"LINESTRING (-112.7300604 33.9643489, -112.7300766 33.9648424, -112.7299748 33.9651528)",,,,,
5655965,False,Adams Street,residential,False,154.416,"LINESTRING (-112.7300604 33.9643489, -112.7302067 33.9644308, -112.7313601 33.9652234)",,,,,
"[5588920, 5689109]",False,"['Fisher Street', 'South Jefferson Street']",residential,False,123.52699999999999,"LINESTRING (-112.7299748 33.9651528, -112.7299387 33.9652354, -112.7298831 33.965521, -112.7305443 33.9660085)",,,,,
5588920,False,Fisher Street,residential,True,90.664,"LINESTRING (-112.7299748 33.9651528, -112.7300766 33.9648424, -112.7300604 33.9643489)",,,,,
5637588,False,Sylvan Road,residential,False,65.17,"LINESTRING (-112.7299748 33.9651528, -112.7298448 33.9651169, -112.7292817 33.9650455)",,,,,
5637588,False,Sylvan Road,residential,True,110.749,"LINESTRING (-112.7299748 33.9651528, -112.7308638 33.9653208, -112.7310936 33.9654663)",,,,,
5588922,False,Fisher Street,residential,False,56.32,"LINESTRING (-112.7304434 33.9639544, -112.7300604 33.9643489)",,,,,
5668914,False,Mesquite Street,residential,False,157.506,"LINESTRING (-112.7304434 33.9639544, -112.7317138 33.9649011)",,,,,
"[5588924, 5663079]",False,"['Fisher Street', 'South Madison Street']",residential,"[False, True]",201.937,"LINESTRING (-112.7304434 33.9639544, -112.730614 33.963829, -112.730779 33.963692, -112.730933 33.963691, -112.731026 33.963691, -112.7320157 33.9644434, -112.7321179 33.9645211)",,,,,
5591684,False,West Center Street,residential,False,107.587,"LINESTRING (-112.7351493 33.9641225, -112.7343735 33.9648451)",,,,,
