osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,access
20699465,East Burr Street,residential,False,True,110.023,,,,"LINESTRING (-97.7440377 28.3970481, -97.7450493 28.3966155)",,
192889683,South Jefferson Street,residential,False,False,110.003,,,,"LINESTRING (-97.7466348 28.40162, -97.7471298 28.4025083)",,
958712711,East Houston Street,trunk,False,False,111.4,4,US 59,30 mph,"LINESTRING (-97.7466348 28.40162, -97.7464698 28.4016962, -97.7462259 28.4018088, -97.7456264 28.4020857)",,
"[1090918344, 958712710]",East Houston Street,trunk,False,True,110.426,"['4', '5']",US 59,30 mph,"LINESTRING (-97.7466348 28.40162, -97.7471787 28.4013813, -97.7476424 28.4011721)",,
20698118,North Jefferson Street,residential,False,False,111.008,,,,"LINESTRING (-97.7471298 28.4025083, -97.7476464 28.4033972)",,
20699249,East Corpus Christi Street,residential,False,False,112.399,2,,30 mph,"LINESTRING (-97.7471298 28.4025083, -97.7461094 28.4029732)",,
20699249,East Corpus Christi Street,residential,False,True,109.861,2,,30 mph,"LINESTRING (-97.7471298 28.4025083, -97.7481271 28.4020538)",,
192889683,South Jefferson Street,residential,False,True,110.003,,,,"LINESTRING (-97.7471298 28.4025083, -97.7466348 28.40162)",,
20699648,West Cleveland Street,residential,False,True,109.237,,,,"LINESTRING (-97.7497854 28.4049796, -97.7507783 28.4045298)",,
20700528,North Saint Mary's Street,tertiary,False,True,154.297,,,30 mph,"LINESTRING (-97.7497854 28.4049796, -97.7490697 28.403743)",,
20699381,West 1st Street,residential,False,False,97.457,,,,"LINESTRING (-97.7533926 28.4027058, -97.752504 28.4031023)",,
20700576,North Jackson Street,residential,False,True,93.78399999999999,,,,"LINESTRING (-97.7533926 28.4027058, -97.7530464 28.4020617, -97.7530391 28.4019309)",,
20700029,South Jackson Street,tertiary,False,False,41.824,,,,"LINESTRING (-97.750539 28.3971556, -97.7507289 28.3974926)",,
20700029,South Jackson Street,tertiary,False,True,65.623,,,,"LINESTRING (-97.750539 28.3971556, -97.7502409 28.3966269)",,
"[20697729, 20697767]","['West Milam Street', 'Alaiz Circle']",residential,False,"[False, True]",317.949,,,,"LINESTRING (-97.750539 28.3971556, -97.7498068 28.3975088, -97.749793 28.397591, -97.7501925 28.3983275, -97.7504329 28.3987208, -97.7512205 28.3983644)",,
20697764,West Milam Street,residential,False,False,108.52,,,,"LINESTRING (-97.747128 28.4002682, -97.7481132 28.3998194)",,
20699488,South Saint Mary's Street,residential,False,False,112.399,,,,"LINESTRING (-97.747128 28.4002682, -97.7474188 28.4007792, -97.7476424 28.4011721)",,
20699488,South Saint Mary's Street,residential,False,True,114.055,,,,"LINESTRING (-97.747128 28.4002682, -97.7467754 28.3996487, -97.746606 28.399351)",,
20697764,West Milam Street,residential,False,True,108.52,,,,"LINESTRING (-97.7481132 28.3998194, -97.747128 28.4002682)",,
1227865060,South Washington Street,primary,False,False,113.903,4,US 181 Bus;TX 202,40 mph,"LINESTRING (-97.7481132 28.3998194, -97.7486213 28.4007411)",,
"[1227865060, 1227865061, 69962645]",South Washington Street,primary,False,True,238.337,4,US 181 Bus;TX 202,40 mph,"LINESTRING (-97.7481132 28.3998194, -97.7477474 28.3991783, -97.7473228 28.3984458, -97.7470095 28.3979085)",yes,
20697767,West Milam Street,residential,False,False,80.813,,,,"LINESTRING (-97.7519548 28.3980313, -97.7512205 28.3983644)",,
20698204,Thompson Street,residential,False,True,108.367,,,,"LINESTRING (-97.7519548 28.3980313, -97.7514542 28.3971619)",,
20697767,West Milam Street,residential,False,True,80.813,,,,"LINESTRING (-97.7512205 28.3983644, -97.7519548 28.3980313)",,
20700029,South Jackson Street,tertiary,False,True,108.211,,,,"LINESTRING (-97.7512205 28.3983644, -97.7507289 28.3974926)",,
"[20697729, 20697767]","['West Milam Street', 'Alaiz Circle']",residential,False,"[False, True]",317.949,,,,"LINESTRING (-97.7512205 28.3983644, -97.7504329 28.3987208, -97.7501925 28.3983275, -97.749793 28.397591, -97.7498068 28.3975088, -97.750539 28.3971556)",,
20700029,South Jackson Street,tertiary,False,False,228.27100000000002,,,,"LINESTRING (-97.7512205 28.3983644, -97.751661 28.3991457, -97.7517692 28.3995623, -97.7518372 28.3997782, -97.7521071 28.4002514)",,
20699507,North Monroe Street,residential,False,False,98.392,,,,"LINESTRING (-97.7529773 28.4039197, -97.7534338 28.4047082)",,
20699507,North Monroe Street,residential,False,True,38.171,,,,"LINESTRING (-97.7529773 28.4039197, -97.7528002 28.4036138)",,
20699328,West Roberts Street,residential,False,False,107.138,,,,"LINESTRING (-97.7465235 28.3970535, -97.745546 28.3974882)",,
69962645,South Washington Street,primary,False,False,106.294,4,US 181 Bus;TX 202,40 mph,"LINESTRING (-97.7465235 28.3970535, -97.7470095 28.3979085)",,
69962645,South Washington Street,primary,False,True,106.294,4,US 181 Bus;TX 202,40 mph,"LINESTRING (-97.7470095 28.3979085, -97.7465235 28.3970535)",,
192889038,West Stamper Street,residential,False,False,107.088,,,,"LINESTRING (-97.7470095 28.3979085, -97.7460332 28.3983443)",,
192889038,West Stamper Street,residential,False,True,124.194,,,,"LINESTRING (-97.7470095 28.3979085, -97.7481368 28.3973946)",,
