osmid,bridge,oneway,lanes,name,highway,reversed,length,geometry
1207735016,yes,True,3,O'Hare Departures,unclassified,False,185.139,"LINESTRING (-87.9056433 41.9803729, -87.9056147 41.9799352, -87.9058843 41.9787249)"
1207750238,yes,True,2,Departures Terminal 1,unclassified,False,143.524,"LINESTRING (-87.9056433 41.9803729, -87.9057316 41.9801827, -87.9057932 41.9799101, -87.9058014 41.9798736, -87.9058657 41.9795888, -87.9058866 41.9794963, -87.9059396 41.979262, -87.9059677 41.9791375, -87.9059743 41.9791082)"
28257344,yes,True,2,Departures Terminal 1,unclassified,False,157.49699999999999,"LINESTRING (-87.9059743 41.9791082, -87.9060134 41.9789415, -87.9060816 41.9786511, -87.9060901 41.9786151, -87.906157 41.9783298, -87.9061671 41.9782866, -87.9062345 41.9779996, -87.9062377 41.9779858, -87.9062435 41.9779612, -87.9062464 41.9779487, -87.9062562 41.9778384, -87.9062451 41.9777497, -87.9062317 41.9777112)"
28257351,yes,True,1,,unclassified,False,43.266000000000005,"LINESTRING (-87.9059743 41.9791082, -87.9059201 41.9788772, -87.9058843 41.9787249)"
1207735016,yes,True,3,O'Hare Departures,unclassified,False,74.607,"LINESTRING (-87.9058843 41.9787249, -87.9059751 41.9783677, -87.9060518 41.9780656)"
28257353,yes,True,1,,unclassified,False,42.446,"LINESTRING (-87.9060518 41.9780656, -87.9061953 41.9778472, -87.9062317 41.9777112)"
980920305,yes,True,3,O'Hare Departures,unclassified,False,123.729,"LINESTRING (-87.9060518 41.9780656, -87.9060431 41.9778406, -87.9060263 41.9777739, -87.9060034 41.9777156, -87.905964 41.9776555, -87.9059176 41.9776045, -87.9058591 41.9775584, -87.9052382 41.9772287)"
980920305,yes,True,3,O'Hare Departures,unclassified,False,150.563,"LINESTRING (-87.9052382 41.9772287, -87.903751 41.976447)"
28257357,yes,True,2,,unclassified,False,39.39,"LINESTRING (-87.903751 41.976447, -87.9034612 41.9761658)"
474544204,yes,True,2,,unclassified,False,35.223,"LINESTRING (-87.9062317 41.9777112, -87.9061941 41.9776478, -87.9061228 41.9775585, -87.9060527 41.9775026, -87.9059818 41.9774609)"
28257356,yes,True,1,,unclassified,False,66.671,"LINESTRING (-87.9059818 41.9774609, -87.9052382 41.9772287)"
474544205,yes,True,2,Departures Terminal 2,unclassified,False,253.77000000000004,"LINESTRING (-87.9059818 41.9774609, -87.9057816 41.9773548, -87.9054958 41.9772033, -87.9054023 41.9771537, -87.9050745 41.9769801, -87.9050138 41.9769479, -87.9048409 41.9768562, -87.9045459 41.9766999, -87.9044769 41.9766633, -87.9041785 41.9765052, -87.9040112 41.9764165, -87.9038162 41.9763131, -87.9037552 41.9762808, -87.9035812 41.9761941, -87.9034612 41.9761658)"
