osmid,lanes,ref,name,highway,width,oneway,reversed,length,geometry,maxspeed
9551967,2,MA 21,Jabish Street,primary,15.2,False,False,111.98899999999999,"LINESTRING (-72.3965351 42.2812377, -72.3966395 42.2812006, -72.3967434 42.2811564, -72.3968346 42.2811128, -72.3969081 42.2810745, -72.3969894 42.2810286, -72.3970533 42.2809866, -72.3971145 42.2809423, -72.3971745 42.2809019, -72.3972351 42.2808512, -72.3972903 42.280795, -72.39734 42.280743, -72.39739 42.280689, -72.397441 42.28062, -72.397484 42.280548)",
9551967,2,MA 21,Jabish Street,primary,15.2,False,True,136.583,"LINESTRING (-72.3965351 42.2812377, -72.3964518 42.2812654, -72.3963645 42.2812938, -72.3962532 42.2813264, -72.396139 42.2813598, -72.3961156 42.281366, -72.3953998 42.2815561, -72.3950403 42.2816516, -72.3949805 42.2816678)",
9551967,2,MA 21,Jabish Street,primary,15.2,False,False,143.831,"LINESTRING (-72.397484 42.280548, -72.397526 42.280476, -72.397568 42.280401, -72.397607 42.280326, -72.397646 42.280251, -72.397884 42.279582, -72.397933 42.279471, -72.397982 42.279361, -72.398004 42.279315)",
9551967,2,MA 21,Jabish Street,primary,15.2,False,True,111.989,"LINESTRING (-72.397484 42.280548, -72.397441 42.28062, -72.39739 42.280689, -72.39734 42.280743, -72.3972903 42.280795, -72.3972351 42.2808512, -72.3971745 42.2809019, -72.3971145 42.2809423, -72.3970533 42.2809866, -72.3969894 42.2810286, -72.3969081 42.2810745, -72.3968346 42.2811128, -72.3967434 42.2811564, -72.3966395 42.2812006, -72.3965351 42.2812377)",
9552082,2,,East Walnut Street,residential,12.2,False,True,200.25,"LINESTRING (-72.397484 42.280548, -72.3975588 42.2805646, -72.397654 42.2805748, -72.3978022 42.2805771, -72.3979573 42.28056, -72.3981271 42.2805262, -72.3985484 42.2804892, -72.3987882 42.2804783, -72.3999008 42.2804314)",
9551944,2,,Cottage Street,residential,9.8,False,True,65.711,"LINESTRING (-72.4023761 42.2807354, -72.4022777 42.2803761, -72.4022432 42.2801532)",
"[9552066, 9552730]","['1', '2']",,Cottage Street,residential,12.2,False,False,280.077,"LINESTRING (-72.4023761 42.2807354, -72.402184 42.280759, -72.40165 42.280896, -72.401462 42.280931, -72.401301 42.280961, -72.401267 42.280968, -72.401233 42.280975, -72.400653 42.281092, -72.4006421 42.2810943, -72.400276 42.281171, -72.400198 42.281184, -72.400105 42.281178, -72.400067 42.281158, -72.400042 42.281127, -72.400018 42.281079, -72.3999008 42.2804314)",
9552066,2,,Cottage Street,residential,12.2,False,True,55.792,"LINESTRING (-72.4023761 42.2807354, -72.40278 42.280639, -72.4030195 42.2805769)",
9552243,2,,Maple Street,residential,9.1,False,False,61.011,"LINESTRING (-72.405575 42.275019, -72.405863 42.275007, -72.406068 42.274987, -72.406223 42.27498, -72.4062474 42.2749773, -72.406313 42.27497)",
"[9552896, 349620777, 700741634]","['3', '2']",US 202;MA 21,Maple Street,primary,15.2,False,False,442.28099999999995,"LINESTRING (-72.405575 42.275019, -72.4055238 42.2750383, -72.405442 42.275069, -72.4049061 42.2752266, -72.404874 42.275236, -72.40458 42.2753111, -72.404298 42.2753832, -72.4039757 42.2754655, -72.403786 42.275514, -72.403108 42.275676, -72.402866 42.275753, -72.402731 42.275806, -72.4018206 42.2762713, -72.4016918 42.2763398, -72.4014689 42.2764627, -72.4013198 42.2765496, -72.4012138 42.2766193, -72.4010528 42.2767252, -72.4010278 42.2767452, -72.400915 42.276875)","['20 mph', '30 mph']"
