osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
231960107,East Harrison Street,residential,False,True,158.936,"LINESTRING (-83.6505724 41.560685, -83.6504662 41.5607177, -83.6488458 41.5612089, -83.6488022 41.5612222)",,,
231960108,Gibbs Street,residential,False,False,109.808,"LINESTRING (-83.6505724 41.560685, -83.6506109 41.5607566, -83.6506893 41.5609024, -83.6507711 41.5610544, -83.6508176 41.5611408, -83.6510223 41.5615182, -83.6510669 41.5616006)",,,
698763022,East Harrison Street,residential,False,False,154.512,"LINESTRING (-83.6505724 41.560685, -83.6506762 41.5606532, -83.6515 41.560401, -83.6522953 41.5601665)",,,
8787748,East Dudley Street,residential,False,False,161.365,"LINESTRING (-83.6520637 41.5634472, -83.6519529 41.5634812, -83.650376 41.5639641, -83.6502687 41.5639969)",,,
8787748,East Dudley Street,residential,False,True,165.921,"LINESTRING (-83.6520637 41.5634472, -83.6521678 41.5634153, -83.6529547 41.563174, -83.6533486 41.5630532, -83.6537939 41.5629152, -83.6539081 41.5628797)",,,
207745394,Gibbs Street,residential,False,False,110.382,"LINESTRING (-83.6520637 41.5634472, -83.6521039 41.563522, -83.6523078 41.5639016, -83.6523171 41.5639189, -83.6525228 41.5642941, -83.6525627 41.564367)",,,
207745394,Gibbs Street,residential,False,True,110.535,"LINESTRING (-83.6520637 41.5634472, -83.6520229 41.5633723, -83.651961 41.5632587, -83.6518124 41.5629863, -83.6516073 41.5626013, -83.6515668 41.5625253)",,,
8787455,East John Street,residential,False,True,165.876,"LINESTRING (-83.6525627 41.564367, -83.6526585 41.5643381, -83.6533422 41.5641316, -83.6537087 41.564021, -83.6538868 41.5639672, -83.6542796 41.5638486, -83.6544116 41.5638088)",,,
207745394,Gibbs Street,residential,False,False,111.08500000000001,"LINESTRING (-83.6525627 41.564367, -83.652606 41.5644464, -83.6528163 41.5648321, -83.6530265 41.5652176, -83.653067 41.565292)",,,
207745394,Gibbs Street,residential,False,True,110.382,"LINESTRING (-83.6525627 41.564367, -83.6525228 41.5642941, -83.6523171 41.5639189, -83.6523078 41.5639016, -83.6521039 41.563522, -83.6520637 41.5634472)",,,
789070303,East John Street,residential,False,False,161.44899999999998,"LINESTRING (-83.6525627 41.564367, -83.6524522 41.5644007, -83.6508731 41.5648829, -83.650766 41.5649156)",,,
207745394,Gibbs Street,residential,False,False,44.061,"LINESTRING (-83.653067 41.565292, -83.6530994 41.5653539, -83.6531806 41.5655092, -83.65326 41.565661)",,,
207745394,Gibbs Street,residential,False,True,111.08500000000001,"LINESTRING (-83.653067 41.565292, -83.6530265 41.5652176, -83.6528163 41.5648321, -83.652606 41.5644464, -83.6525627 41.564367)",,,
789115779,East William Street,residential,False,False,161.811,"LINESTRING (-83.653067 41.565292, -83.6529381 41.5653321, -83.6513763 41.565809, -83.6512666 41.5658425)",,,
789115779,East William Street,residential,False,True,146.71099999999998,"LINESTRING (-83.653067 41.565292, -83.6531714 41.5652586, -83.653292 41.56522, -83.6535589 41.5651395, -83.6539492 41.5650218, -83.6545367 41.5648446, -83.6547006 41.5647952)",,,
219356071,Gibbs Street,residential,False,False,12.333,"LINESTRING (-83.65326 41.565661, -83.653315 41.565764)",,CR 566,
113524614,Anthony Wayne Trail,trunk,True,False,313.332,"LINESTRING (-83.65326 41.565661, -83.6531391 41.5656973, -83.651982 41.566045, -83.651425 41.566222, -83.650907 41.566387, -83.650306 41.566639, -83.6499598 41.5668201, -83.64987 41.566867)",2,US 24;SR 25,50 mph
207745394,Gibbs Street,residential,False,True,44.061,"LINESTRING (-83.65326 41.565661, -83.6531806 41.5655092, -83.6530994 41.5653539, -83.653067 41.565292)",,,
219356071,Gibbs Street,residential,False,False,3.623,"LINESTRING (-83.653315 41.565764, -83.6533292 41.5657948)",,CR 566,
219356071,Gibbs Street,residential,False,True,12.333,"LINESTRING (-83.653315 41.565764, -83.65326 41.565661)",,CR 566,
127811679,Anthony Wayne Trail,trunk,True,False,165.855,"LINESTRING (-83.653315 41.565764, -83.6534458 41.565726, -83.6550295 41.565266, -83.6551734 41.5652242)",2,US 24;SR 25,
219356071,Gibbs Street,residential,False,True,102.24799999999999,"LINESTRING (-83.6538458 41.5667517, -83.6535866 41.5662755, -83.653559 41.5662248, -83.6535037 41.5661197, -83.6533872 41.5658986)",,CR 566,
