osmid,oneway,lanes,ref,name,highway,maxspeed,width,reversed,length,geometry,junction,bridge,tunnel
175919937,True,1,D 1001,Avenue du Général Leclerc,primary,50,20,False,45.846000000000004,"LINESTRING (1.8401506 50.1082599, 1.8399539 50.1084745, 1.8399329 50.1085238, 1.8399422 50.1086359)",,,
591090747,False,,D 1001,Avenue du Général Leclerc,primary,50,20,True,33.571,"LINESTRING (1.8401506 50.1082599, 1.8402582 50.1081873, 1.8404627 50.108034)",,,
27727641,False,,,Parvis Saint-Vulfran,tertiary,30,7,False,3.086,"LINESTRING (1.8312679 50.1050596, 1.8312295 50.1050468)",,,
27727641,False,,,Parvis Saint-Vulfran,tertiary,30,7,True,50.114,"LINESTRING (1.8312679 50.1050596, 1.831892 50.1052667)",,,
27623870,True,1,,Chaussée du Bois,tertiary,30,,False,25.313000000000002,"LINESTRING (1.8392447 50.1088474, 1.8391883 50.108798, 1.8391175 50.1087513, 1.8390016 50.1086825)",,,
591100049,True,,,Place du Général de Gaulle,primary,50,60,False,19.645000000000003,"LINESTRING (1.8392447 50.1088474, 1.839248 50.1088197, 1.8392556 50.1087924, 1.8392673 50.1087658, 1.8392832 50.10874, 1.8393029 50.1087153, 1.8393265 50.1086921, 1.8393365 50.108684)",roundabout,,
27623868,True,,,Place du Général de Gaulle,primary,50,60,False,27.299,"LINESTRING (1.8399422 50.1086359, 1.8399891 50.108662, 1.840022 50.1086866, 1.8400501 50.1087135, 1.8400732 50.1087423, 1.8400909 50.1087727, 1.8401029 50.1088041, 1.8401099 50.1088476)",roundabout,,
237024414,False,2,,Chaussée Marcadé,tertiary,30,12,False,117.32799999999999,"LINESTRING (1.8296924 50.1104083, 1.8297758 50.1103147, 1.8298515 50.1102285, 1.8299693 50.1101058, 1.8304375 50.1096738, 1.8305871 50.1095236)",,,
320033709,False,,,Rue Ledien,residential,30,12,True,148.912,"LINESTRING (1.8296924 50.1104083, 1.8296458 50.1103938, 1.8295497 50.1103637, 1.8287169 50.110095, 1.827852 50.1097767)",,,
"[27654316, 27915565, 27915566]",False,,,Pont Talance,tertiary,30,,False,43.4,"LINESTRING (1.8285783 50.1042397, 1.8284681 50.1042076, 1.8281403 50.1041142, 1.828109 50.1041068, 1.8280212 50.1040828)",,yes,
591671836,True,,,Place Bonaparte,tertiary,30,,False,11.980999999999998,"LINESTRING (1.8285783 50.1042397, 1.8286056 50.1042114, 1.8286598 50.104192, 1.8287135 50.1041881)",,,
591082071,True,,,Place Max Lejeune,tertiary,30,,False,39.528,"LINESTRING (1.8338903 50.1063555, 1.8335795 50.1061944, 1.8334536 50.1061368)",,,
27674024,False,,,Rue des Cordeliers,residential,30,10,True,62.449,"LINESTRING (1.8281256 50.1034825, 1.828049 50.1036469, 1.8280257 50.1037129, 1.8280075 50.1037888, 1.8279868 50.1038789, 1.8279807 50.1039158, 1.8279746 50.1039528, 1.8279736 50.103968, 1.8279691 50.1040329)",,,
27674315,True,,,Rue du Chevalier de la Barre,residential,30,,False,134.78,"LINESTRING (1.8295826 50.1055793, 1.8295421 50.1055124, 1.8292209 50.1049818, 1.8289705 50.1045347, 1.8289164 50.1044451)",,,
1040823910,False,,,Rue Lesueur,residential,30,,False,106.00200000000001,"LINESTRING (1.8295826 50.1055793, 1.8295289 50.1055902, 1.8290058 50.1056962, 1.8281262 50.1056599)",,,
27674315,True,,,Rue du Chevalier de la Barre,residential,30,,False,6.578,"LINESTRING (1.8304761 50.1066572, 1.8304181 50.1066112)",,,
"[50226308, 205594934]",True,,,"['Place du Pont Neuf', 'Rue des Saintes Maries']",residential,30,,False,150.601,"LINESTRING (1.8304761 50.1066572, 1.8293821 50.1066795, 1.8291488 50.1066401, 1.828725 50.1064476, 1.8285236 50.1063456)",,,
591352523,False,2,,Rue Jean de Ponthieu,tertiary,30,,True,63.388,"LINESTRING (1.8330656 50.1063708, 1.8326424 50.1068721)",,,
254202706,False,,,Le Moulin du Roy,residential,30,,True,35.774,"LINESTRING (1.8330656 50.1063708, 1.8330324 50.1063527, 1.8329815 50.1063387, 1.8327304 50.1062566, 1.8326469 50.1062006)",,,
591352522,False,,,Rue Jean de Ponthieu,tertiary,30,6,False,28.123,"LINESTRING (1.8330656 50.1063708, 1.8331034 50.106336, 1.8332327 50.1062171, 1.8332781 50.1061755, 1.8332913 50.1061634)",,,
237024414,False,2,,Chaussée Marcadé,tertiary,30,12,True,4.191,"LINESTRING (1.8306179 50.1094915, 1.8305871 50.1095236)",,,
