osmid,bridge,oneway,lanes,highway,reversed,length,geometry,ref,maxspeed,junction,name,access
"[605168041, 842920969, 5278747, 46819732]",yes,True,"['1', '2']",motorway_link,False,293.90700000000004,"LINESTRING (-122.6063899 45.363912, -122.6072958 45.3637815, -122.6077665 45.3636845, -122.6081665 45.3636196, -122.6085208 45.3635704, -122.6089923 45.3635177, -122.6096871 45.3634353, -122.6098743 45.3634203, -122.6099027 45.3634171, -122.6100723 45.3633847)",,,,,
160165559,,True,1,primary,False,7.206,"LINESTRING (-122.6097973 45.3614946, -122.6097415 45.361443)",OR 43,35 mph,roundabout,,
"[842282376, 120727562]",yes,True,"['1', '2']",motorway_link,False,167.516,"LINESTRING (-122.6103546 45.3617796, -122.6104519 45.3618779, -122.610502 45.3619614, -122.6105238 45.3620391, -122.6105292 45.3621118, -122.6105009 45.3622032, -122.6104516 45.3623043, -122.6103712 45.3624015, -122.6102424 45.3625059, -122.610054 45.3626075, -122.6094461 45.362915)",,,,,
32000252,,False,5,primary,True,50.043,"LINESTRING (-122.6097394 45.3630002, -122.6099726 45.3632712, -122.6099875 45.3632885, -122.6100723 45.3633847)",OR 43,35 mph,,Willamette Drive,
"[605168052, 160165558]",,False,"['4', '5']",primary,False,101.151,"LINESTRING (-122.6097394 45.3630002, -122.6096621 45.3629069, -122.6095221 45.3627502, -122.6094193 45.362605, -122.609387 45.3625504, -122.6093529 45.3624788, -122.609329 45.3624108, -122.6093046 45.362326, -122.6092803 45.3622354, -122.6092739 45.3621644)",OR 43,35 mph,,Willamette Drive,
"[842282377, 5277822]",,True,1,motorway_link,False,191.538,"LINESTRING (-122.6097394 45.3630002, -122.6095394 45.3625773, -122.6094688 45.3624264, -122.6094503 45.3623049, -122.6094618 45.3621917, -122.6095063 45.3620752, -122.6095709 45.3619793, -122.6096631 45.3618909, -122.6097731 45.3618237, -122.6098509 45.3617811, -122.609959 45.3617405, -122.6100595 45.3617274, -122.610201 45.3617353, -122.6103546 45.3617796)",,,,,
32000252,,False,5,primary,False,50.043000000000006,"LINESTRING (-122.6100723 45.3633847, -122.6099875 45.3632885, -122.6099726 45.3632712, -122.6097394 45.3630002)",OR 43,35 mph,,Willamette Drive,
160165567,,False,4,primary,True,80.404,"LINESTRING (-122.6100723 45.3633847, -122.6101776 45.3635031, -122.6103382 45.3636837, -122.610501 45.363867, -122.6105811 45.3639571, -122.6106175 45.363998)",OR 43,35 mph,,Willamette Drive,
5284624,,False,,residential,False,279.823,"LINESTRING (-122.6104433 45.3696718, -122.6111773 45.369024, -122.6112817 45.3689731, -122.6114236 45.3689373, -122.611888 45.3688785, -122.6119812 45.3688382, -122.6120497 45.3687651, -122.6124202 45.3683697, -122.6124303 45.3683283, -122.6124124 45.3682866, -122.6122481 45.3678636)",,,,Burns Street,
5285818,,False,,residential,False,236.001,"LINESTRING (-122.6104433 45.3696718, -122.6106484 45.369715, -122.611189 45.369728, -122.6124655 45.3697529, -122.61277 45.369773, -122.6133963 45.3699648)",,,,River Street,
5285818,,False,,residential,True,292.754,"LINESTRING (-122.6104433 45.3696718, -122.6102526 45.3696121, -122.6100505 45.3695257, -122.6098451 45.3694121, -122.6095522 45.3692331, -122.6083664 45.368371, -122.6080072 45.3681252, -122.6076629 45.3679275)",,,,River Street,
5284625,,False,,residential,False,84.898,"LINESTRING (-122.6122481 45.3678636, -122.6132607 45.3675864)",,,,Burns Street,
