osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,tunnel
12264719,MO 94,North Fifth Street,primary,30 mph,False,False,121.772,"LINESTRING (-90.4860833 38.7827309, -90.4860533 38.7827891, -90.4858777 38.7831291, -90.4858573 38.7831689, -90.4856389 38.7836083, -90.4855865 38.7837545)",,
12268110,,Jefferson Street,residential,,False,False,111.384,"LINESTRING (-90.4860833 38.7827309, -90.4862066 38.7827696, -90.4872755 38.7831047)",2,
12277253,MO 94,South Fifth Street,primary,30 mph,False,False,102.909,"LINESTRING (-90.4860833 38.7827309, -90.4861426 38.7826091, -90.4862992 38.7822873, -90.4865041 38.7818655)",,
780087513,,Jefferson Street,tertiary,25 mph,False,True,113.691,"LINESTRING (-90.4860833 38.7827309, -90.4859701 38.7826934, -90.4858108 38.7826407, -90.4855124 38.7825419, -90.4853024 38.7824724, -90.484876 38.7823313)",2,
12264719,MO 94,North Fifth Street,primary,30 mph,False,False,86.85,"LINESTRING (-90.4855865 38.7837545, -90.4852096 38.7844782)",,
12264719,MO 94,North Fifth Street,primary,30 mph,False,True,121.772,"LINESTRING (-90.4855865 38.7837545, -90.4856389 38.7836083, -90.4858573 38.7831689, -90.4858777 38.7831291, -90.4860533 38.7827891, -90.4860833 38.7827309)",,
684682294,,Washington Street,residential,,False,True,117.74,"LINESTRING (-90.4855865 38.7837545, -90.4851837 38.783628, -90.484984 38.7835708, -90.4848904 38.7835427, -90.4843145 38.7833835)",2,
12264719,MO 94,North Fifth Street,primary,30 mph,False,False,107.481,"LINESTRING (-90.4852096 38.7844782, -90.4847237 38.7853675)",,
12264719,MO 94,North Fifth Street,primary,30 mph,False,True,86.85,"LINESTRING (-90.4852096 38.7844782, -90.4855865 38.7837545)",,
152667111,,Monroe Street,residential,,False,False,107.751,"LINESTRING (-90.4852096 38.7844782, -90.485794 38.7846565, -90.485815 38.7846632, -90.4863633 38.784839)",2,
152667111,,Monroe Street,residential,,False,True,116.777,"LINESTRING (-90.4852096 38.7844782, -90.4848658 38.7843591, -90.4839677 38.7840713)",2,
12264719,MO 94,North Fifth Street,primary,30 mph,False,True,107.481,"LINESTRING (-90.4847237 38.7853675, -90.4852096 38.7844782)",,
12264719,MO 94,North Fifth Street,primary,30 mph,False,False,116.535,"LINESTRING (-90.4847237 38.7853675, -90.4846176 38.7855791, -90.4844939 38.7858257, -90.4842342 38.7863436)",,
611566783,,Adams Street,residential,,True,False,109.208,"LINESTRING (-90.4847237 38.7853675, -90.4853277 38.7855581, -90.4858916 38.785736)",2,
53050128,MO 94,Clark Street,primary,25 mph,False,True,116.025,"LINESTRING (-90.4842342 38.7863436, -90.4829939 38.7859511)",,
12264719,MO 94,North Fifth Street,primary,30 mph,False,True,116.535,"LINESTRING (-90.4842342 38.7863436, -90.4844939 38.7858257, -90.4846176 38.7855791, -90.4847237 38.7853675)",,
53050129,,North Fifth Street,secondary,30 mph,False,False,125.57499999999999,"LINESTRING (-90.4842342 38.7863436, -90.4839479 38.7868826, -90.4838907 38.7869935, -90.4836865 38.7873891)",2,
793829370,,Clark Street,secondary,25 mph,False,False,107.3,"LINESTRING (-90.4842342 38.7863436, -90.4848207 38.7865231, -90.4853865 38.7866963)",,
12284573,,Lewis Street,residential,,False,False,107.105,"LINESTRING (-90.4836865 38.7873891, -90.4842776 38.7875803, -90.4848279 38.7877582)",2,
53050129,,North Fifth Street,secondary,30 mph,False,False,98.593,"LINESTRING (-90.4836865 38.7873891, -90.4835356 38.7876813, -90.4835306 38.7876882, -90.4834073 38.7879284, -90.4832619 38.7882116)",2,
53050129,,North Fifth Street,secondary,30 mph,False,True,125.57499999999999,"LINESTRING (-90.4836865 38.7873891, -90.4838907 38.7869935, -90.4839479 38.7868826, -90.4842342 38.7863436)",2,
53050129,,North Fifth Street,secondary,30 mph,False,True,98.59299999999999,"LINESTRING (-90.4832619 38.7882116, -90.4834073 38.7879284, -90.4835306 38.7876882, -90.4835356 38.7876813, -90.4836865 38.7873891)",2,
608205281,,Decatur Street,residential,,False,True,115.592,"LINESTRING (-90.4832619 38.7882116, -90.4827443 38.7880487, -90.4826129 38.7880073, -90.4820253 38.7878223)",2,
350679946,,South Third Street,residential,,False,True,116.448,"LINESTRING (-90.4849978 38.7794106, -90.4845075 38.7803856)",2,
626569880,,Jackson Street,residential,,True,False,111.792,"LINESTRING (-90.486195 38.7797844, -90.4859 38.7796923, -90.4857519 38.7796461, -90.4849978 38.7794106)",2,
53050132,I 70 Business,South Fifth Street,secondary,30 mph,False,True,114.167,"LINESTRING (-90.487422 38.780171, -90.4872818 38.780418, -90.4872053 38.7805527, -90.48715 38.7806502, -90.486889 38.7811099)",2,
626569880,,Jackson Street,residential,,True,False,114.719,"LINESTRING (-90.487422 38.780171, -90.487246 38.7801156, -90.4869935 38.780036, -90.4867538 38.7799605, -90.486195 38.7797844)",2,
12267010,,North 6th Street,residential,,False,False,115.81700000000001,"LINESTRING (-90.4870308 38.7860955, -90.4868038 38.7865375, -90.4865343 38.7870625)",2,
793829370,,Clark Street,secondary,25 mph,False,True,107.496,"LINESTRING (-90.4865343 38.7870625, -90.4853865 38.7866963)",,
12267010,,North 6th Street,residential,,False,True,115.81700000000001,"LINESTRING (-90.4865343 38.7870625, -90.4868038 38.7865375, -90.4870308 38.7860955)",2,
793829369,,North 6th Street,residential,,False,False,128.134,"LINESTRING (-90.4865343 38.7870625, -90.4862497 38.7876166, -90.4859849 38.7881323)",2,
12284573,,Lewis Street,residential,,False,True,108.566,"LINESTRING (-90.4859849 38.7881323, -90.4853988 38.7879428, -90.4848279 38.7877582)",2,
793829369,,North 6th Street,residential,,False,True,128.134,"LINESTRING (-90.4859849 38.7881323, -90.4862497 38.7876166, -90.4865343 38.7870625)",2,
53050134,MO 94,North Second Street,primary,25 mph,False,False,101.753,"LINESTRING (-90.4796531 38.7870769, -90.4792327 38.7879313)",,
12267983,,Decatur Street,residential,,False,False,111.35900000000001,"LINESTRING (-90.4796531 38.7870769, -90.4802733 38.7872708, -90.480845 38.7874508)",2,
53050134,MO 94,North Second Street,primary,25 mph,False,True,223.85700000000003,"LINESTRING (-90.4796531 38.7870769, -90.4803178 38.7858126, -90.4806421 38.7852172)",,
12275083,,North Third Street,residential,,True,False,102.416,"LINESTRING (-90.480845 38.7874508, -90.4804037 38.7883052)",,
12267983,,Decatur Street,residential,,False,True,111.35900000000001,"LINESTRING (-90.480845 38.7874508, -90.4802733 38.7872708, -90.4796531 38.7870769)",2,
608205282,,Decatur Street,residential,,False,False,110.327,"LINESTRING (-90.480845 38.7874508, -90.4814424 38.7876388, -90.4820253 38.7878223)",2,
608205280,,North Fourth Street,residential,,True,False,224.36599999999999,"LINESTRING (-90.4820253 38.7878223, -90.4824333 38.7870343, -90.4824492 38.7870036, -90.4825868 38.7867378, -90.4826692 38.7865784, -90.4829939 38.7859511)",,
608205281,,Decatur Street,residential,,False,False,115.592,"LINESTRING (-90.4820253 38.7878223, -90.4826129 38.7880073, -90.4827443 38.7880487, -90.4832619 38.7882116)",2,
608205282,,Decatur Street,residential,,False,True,110.327,"LINESTRING (-90.4820253 38.7878223, -90.4814424 38.7876388, -90.480845 38.7874508)",2,
12275317,,North Main Street,tertiary,15 mph,False,False,216.948,"LINESTRING (-90.4813786 38.7811675, -90.4808365 38.7822283, -90.4804465 38.7829782)",2,
780087514,,Jefferson Street,residential,25 mph,False,False,108.90100000000001,"LINESTRING (-90.4813786 38.7811675, -90.4819558 38.7813616, -90.4820367 38.7813888, -90.4823635 38.7814987, -90.4825322 38.7815554)",2,
794311264,,South Main Street,tertiary,15 mph,False,False,184.108,"LINESTRING (-90.4813786 38.7811675, -90.4815806 38.7807762, -90.4817951 38.7803606, -90.4821961 38.7796395)",2,
1046960617,,Jefferson Street,residential,25 mph,False,True,84.62700000000001,"LINESTRING (-90.4813786 38.7811675, -90.4809687 38.7810344, -90.4809021 38.7810128, -90.4808789 38.7810052, -90.480683 38.7809416, -90.4804774 38.7808748)",2,
780087513,,Jefferson Street,tertiary,25 mph,False,False,111.963,"LINESTRING (-90.4825322 38.7815554, -90.4837211 38.781949)",2,
12269579,,South Second Street,secondary,25 mph,False,False,99.561,"LINESTRING (-90.4825322 38.7815554, -90.4826922 38.7812439, -90.4828633 38.7809108, -90.4829592 38.7807242)",2,
12278547,,North Second Street,secondary,25 mph,False,False,214.256,"LINESTRING (-90.4825322 38.7815554, -90.4819775 38.7826172, -90.4815838 38.7833347)",2,
780087514,,Jefferson Street,residential,25 mph,False,True,108.901,"LINESTRING (-90.4825322 38.7815554, -90.4823635 38.7814987, -90.4820367 38.7813888, -90.4819558 38.7813616, -90.4813786 38.7811675)",2,
780087513,,Jefferson Street,tertiary,25 mph,False,False,108.759,"LINESTRING (-90.4837211 38.781949, -90.484876 38.7823313)",2,
780087513,,Jefferson Street,tertiary,25 mph,False,True,111.963,"LINESTRING (-90.4837211 38.781949, -90.4825322 38.7815554)",2,
12275075,,North Third Street,residential,,True,False,127.756,"LINESTRING (-90.4837211 38.781949, -90.4836504 38.7820823, -90.4835399 38.78229, -90.4832823 38.782774, -90.4831584 38.7830109)",2,
780087513,,Jefferson Street,tertiary,25 mph,False,True,108.759,"LINESTRING (-90.484876 38.7823313, -90.4837211 38.781949)",2,
