osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,ref
"[51316883, 51316876]",2,North Chestnut Street,tertiary,False,True,78.31,yes,"LINESTRING (-80.3442327 39.2848732, -80.3442106 39.284564, -80.344165 39.284171)",
15556355,,South Fifth Street,residential,False,False,34.504,,"LINESTRING (-80.3426553 39.2771304, -80.3426376 39.2774404)",
15552452,,South Sixth Street,residential,False,True,142.942,,"LINESTRING (-80.3426553 39.2771304, -80.3432453 39.2772101, -80.34326 39.277055, -80.3433341 39.2763911)",
15556355,,South Fifth Street,residential,False,True,90.372,,"LINESTRING (-80.3426553 39.2771304, -80.3427212 39.2764185, -80.3426799 39.2763248)",
15553091,,Northcott Street,residential,False,False,53.121,,"LINESTRING (-80.3478525 39.2831516, -80.3477641 39.2836244)",
15556821,,Locust Avenue,residential,True,False,100.883,,"LINESTRING (-80.3478525 39.2831516, -80.346695 39.2830087)",
15553091,,Northcott Street,residential,False,False,55.682,,"LINESTRING (-80.3477641 39.2836244, -80.3476715 39.28412)",
15553091,,Northcott Street,residential,False,True,53.121,,"LINESTRING (-80.3477641 39.2836244, -80.3478525 39.2831516)",
15554927,,Everitt Avenue,residential,False,False,67.005,,"LINESTRING (-80.3477641 39.2836244, -80.3485342 39.2837128)",
15553091,,Northcott Street,residential,False,True,55.682,,"LINESTRING (-80.3476715 39.28412, -80.3477641 39.2836244)",
15557460,,Mulberry Avenue,residential,False,False,102.677,,"LINESTRING (-80.3476715 39.28412, -80.3464928 39.2839775)",
15557460,,Mulberry Avenue,residential,False,True,209.584,,"LINESTRING (-80.3476715 39.28412, -80.348731 39.2842285, -80.3488143 39.2842202, -80.3488996 39.2841885, -80.3489635 39.2841339, -80.3490086 39.2840194, -80.3490923 39.2832963)",
"[15553274, 15556675]",,"['Glendale Avenue', 'Holt Street']",residential,False,False,163.769,,"LINESTRING (-80.349013 39.2822532, -80.3490794 39.2819818, -80.3491525 39.2817281, -80.3494095 39.2817688, -80.3495141 39.2817981, -80.3503009 39.282018)",
