osmid,oneway,lanes,name,highway,width,reversed,length,geometry,maxspeed,ref
9602747,True,3,Major Taylor Boulevard,primary,36.6,False,15.376,"LINESTRING (-71.7980454 42.2667008, -71.7980761 42.2668372)",,
9606790,True,2,Irving Street,secondary,15.2,False,151.527,"LINESTRING (-71.806238 42.2623221, -71.8062399 42.2622777, -71.806258 42.261994, -71.8062864 42.2618287, -71.80631 42.261691, -71.8063404 42.2614676, -71.806355 42.26136, -71.806365 42.2613246, -71.8064367 42.2610706, -71.8064644 42.2609722)",,
9607464,True,1,Chatham Street,residential,12.5,False,107.145,"LINESTRING (-71.806238 42.2623221, -71.8063214 42.2623308, -71.806615 42.262344, -71.8074622 42.2624154, -71.8075327 42.2624213)",,
9605346,False,2,Elm Street,secondary,15.2,False,127.63099999999999,"LINESTRING (-71.80726 42.265352, -71.8069457 42.2653238, -71.806703 42.265302, -71.8066368 42.2652964, -71.8062594 42.2652642, -71.806187 42.265258, -71.8058146 42.2652294, -71.805719 42.265222)",,
9603137,False,2,Franklin Street,secondary,21.0,False,92.375,"LINESTRING (-71.8001559 42.2611187, -71.8002518 42.2611653, -71.8005123 42.2612916, -71.8009792 42.2615179, -71.8010948 42.261574)",30 mph,
9603169,False,2,Salem Street,tertiary,10.4,True,143.154,"LINESTRING (-71.8001559 42.2611187, -71.8002143 42.2610923, -71.8002334 42.2610737, -71.8002636 42.2610451, -71.8009907 42.2599982)",,
9606636,True,2,Franklin Street,secondary,21.3,False,198.502,"LINESTRING (-71.8001559 42.2611187, -71.8000729 42.2610494, -71.8000516 42.2610316, -71.7999707 42.2609866, -71.7998349 42.2609252, -71.7995783 42.2608069, -71.7994315 42.2607399, -71.7985873 42.2603218, -71.7984759 42.26026, -71.798387 42.260192, -71.7983331 42.2601418, -71.7983117 42.2601218, -71.7982565 42.2600465)",30 mph,
138077396,False,3,Church Street,secondary,21.3,False,153.96499999999997,"LINESTRING (-71.8001559 42.2611187, -71.8001209 42.2612191, -71.8001168 42.2612308, -71.800114 42.2612689, -71.8001327 42.2613935, -71.8001362 42.2614654, -71.8001317 42.261513, -71.8001222 42.2615536, -71.8001022 42.2615937, -71.8000761 42.2616318, -71.799711 42.262132, -71.7996101 42.2622881, -71.7995409 42.2623938)",,
9607451,False,2,Winter Street,residential,13.7,False,90.013,"LINESTRING (-71.7981 42.258503, -71.7980025 42.2585064, -71.7973449 42.258531, -71.7970075 42.2585416)",,
880141457,False,2,Green Street,secondary,18.3,False,27.257,"LINESTRING (-71.7981 42.258503, -71.798103 42.258535, -71.7981067 42.2585782, -71.7981092 42.2586014, -71.7981192 42.2587477)",,
880141457,False,2,Green Street,secondary,18.3,True,41.887,"LINESTRING (-71.7981 42.258503, -71.798093 42.2584189, -71.798069 42.258127)",,
9605775,False,2,Pearl Street,residential,14.6,False,200.558,"LINESTRING (-71.804323 42.264329, -71.804235 42.2643186, -71.8033448 42.2642141, -71.8032939 42.2642081, -71.803102 42.2641854, -71.803073 42.264182, -71.802556 42.26413, -71.8020522 42.26408, -71.801912 42.264066)",,
661870827,True,2,Chestnut Street,secondary,15.9,False,85.07600000000001,"LINESTRING (-71.804323 42.264329, -71.8043089 42.264396, -71.8042406 42.264721, -71.804176 42.2650279, -71.804164 42.265085)",,
9606920,True,2,Waldo Street,residential,12.2,False,152.243,"LINESTRING (-71.800329 42.264697, -71.8002572 42.2649955, -71.8001579 42.2654089, -71.800113 42.2655959, -71.800005 42.266045)",,
9607103,True,2,Foster Street,secondary,,False,66.163,"LINESTRING (-71.800329 42.264697, -71.8005083 42.2647312, -71.8006707 42.2647531, -71.8006923 42.264756, -71.8008817 42.2647783, -71.8011189 42.2648056)",,
9605191,True,2,Major Taylor Boulevard,primary,36.6,False,15.007,"LINESTRING (-71.7982245 42.2668613, -71.798196 42.266728)",,
93665386,True,2,Martin Luther King Jr. Boulevard,primary,20.1,False,54.477999999999994,"LINESTRING (-71.7982245 42.2668613, -71.7984028 42.2668832, -71.7985679 42.2668952, -71.7988807 42.2668652)",30 mph,
9606761,True,2,Oxford Street,residential,12.2,False,83.263,"LINESTRING (-71.8074502 42.2631095, -71.8073614 42.2638062, -71.8073552 42.263855)",,
9602200,False,3,Commercial Street,residential,15.2,False,11.33,"LINESTRING (-71.7997586 42.2644479, -71.7997336 42.2645481)",,
9602200,False,3,Commercial Street,residential,15.2,True,97.987,"LINESTRING (-71.7997586 42.2644479, -71.7998331 42.2642003, -71.7998803 42.2640408, -71.7999402 42.2638789, -71.8000359 42.2636687, -71.8000681 42.263598)",,
9602248,True,3,Foster Street,secondary,,False,172.19400000000002,"LINESTRING (-71.7997586 42.2644479, -71.7986308 42.2641319, -71.798492 42.2640918, -71.7983609 42.2640484, -71.7982168 42.2639987, -71.7980785 42.2639463, -71.7978875 42.2638561, -71.7978421 42.2638358)",,
9602594,True,2,Irving Street,secondary,15.2,False,143.874,"LINESTRING (-71.806042 42.263768, -71.8060729 42.2637161, -71.806168 42.262996, -71.8061836 42.2628657, -71.806207 42.26267, -71.806223 42.262484)",,
9602756,False,3,Pleasant Street,secondary,15.9,False,41.782,"LINESTRING (-71.806042 42.263768, -71.8057884 42.2637542, -71.805536 42.2637371)",,
661870841,False,3,Pleasant Street,secondary,15.9,True,108.49600000000001,"LINESTRING (-71.806042 42.263768, -71.8061186 42.2637732, -71.806953 42.2638285, -71.8073552 42.263855)",,
578398424,True,2,William Street,residential,15.2,False,74.486,"LINESTRING (-71.803661 42.266945, -71.804031 42.266983, -71.804321 42.266988, -71.804434 42.26698, -71.804553 42.266945)",,
9602594,True,2,Irving Street,secondary,15.2,False,18.045,"LINESTRING (-71.806223 42.262484, -71.806234 42.2623756, -71.806238 42.2623221)",,
138077396,False,3,Church Street,secondary,21.3,True,153.96499999999997,"LINESTRING (-71.7995409 42.2623938, -71.7996101 42.2622881, -71.799711 42.262132, -71.8000761 42.2616318, -71.8001022 42.2615937, -71.8001222 42.2615536, -71.8001317 42.261513, -71.8001362 42.2614654, -71.8001327 42.2613935, -71.800114 42.2612689, -71.8001168 42.2612308, -71.8001209 42.2612191, -71.8001559 42.2611187)",,
138077399,False,,Front Street,secondary,,False,64.71,"LINESTRING (-71.7995409 42.2623938, -71.7993896 42.2623372, -71.7989698 42.2621797, -71.7988393 42.262131)",,
661608014,False,3,Front Street,secondary,21.3,True,91.10300000000001,"LINESTRING (-71.7995409 42.2623938, -71.7997263 42.2624622, -71.8005317 42.2627593)",,
9607052,True,2,Exchange Street,residential,12.2,False,63.974,"LINESTRING (-71.800005 42.266045, -71.7998911 42.266031, -71.799238 42.265951)",,
661608050,True,3,Foster Street,primary,25.9,False,30.793,"LINESTRING (-71.7982131 42.2599262, -71.7979684 42.2601357)",,
9606637,True,2,Franklin Street,secondary,21.3,False,21.373,"LINESTRING (-71.7982131 42.2599262, -71.7981818 42.2599943, -71.7981707 42.2600538, -71.798172 42.260114)",30 mph,
1190228208,False,2,Green Street,secondary,18.3,True,60.971000000000004,"LINESTRING (-71.7982131 42.2599262, -71.7982043 42.2597756, -71.798202 42.2597436, -71.7981752 42.2593786)",,
661608050,True,3,Foster Street,primary,25.9,False,57.58,"LINESTRING (-71.7979684 42.2601357, -71.7974975 42.2605187)",,
9602291,True,2,Franklin Street,secondary,15.2,False,64.321,"LINESTRING (-71.7979684 42.2601357, -71.7978697 42.260176, -71.7977615 42.2602066, -71.7977037 42.2602128, -71.7976641 42.2602171, -71.797421 42.2602242, -71.7972112 42.2602429)",30 mph,
9606998,True,2,Elm Street,secondary,15.2,False,100.572,"LINESTRING (-71.802998 42.264816, -71.803101 42.26483, -71.8032722 42.2648711, -71.8040995 42.2650695, -71.804164 42.265085)",,
284926622,False,4,Myrtle Street,secondary,,False,14.452,"LINESTRING (-71.8006152 42.2586689, -71.8004663 42.2586)",,
661923484,True,2,Myrtle Street,secondary,18.3,False,97.68,"LINESTRING (-71.8006152 42.2586689, -71.800692 42.2587562, -71.8012068 42.2589917, -71.8014538 42.2591047, -71.8014605 42.2591078, -71.8015096 42.2591312, -71.8015829 42.259162)",,
9607458,False,4,Front Street,primary,21.3,True,11.998,"LINESTRING (-71.796396 42.2618267, -71.796251 42.2618154)",,
132174176,True,3,Foster Street,primary,25.9,False,193.816,"LINESTRING (-71.796396 42.2618267, -71.7964323 42.2617199, -71.7964511 42.2616798, -71.7964823 42.2616152, -71.7965368 42.2615267, -71.7966023 42.2614383, -71.7966914 42.2613431, -71.7967884 42.2612495, -71.7968949 42.2611621, -71.7977769 42.2604415)",,
138077399,False,,Front Street,secondary,,True,95.35900000000001,"LINESTRING (-71.796396 42.2618267, -71.7965255 42.261835, -71.7974187 42.2618429, -71.7975542 42.2618441)",,
23628373,True,2,,primary_link,21.3,False,64.25999999999999,"LINESTRING (-71.7977769 42.2604415, -71.797945 42.260378, -71.798037 42.260351, -71.798077 42.260344, -71.7981149 42.2603386, -71.79814 42.260335, -71.798188 42.260336, -71.79826 42.260343, -71.798299 42.26035, -71.7985091 42.2604138)",30 mph,
661870790,True,3,Foster Street,primary,25.9,False,48.824,"LINESTRING (-71.7977769 42.2604415, -71.7980323 42.2602258, -71.7980594 42.2602045, -71.798172 42.260114)",,
661870823,True,,Major Taylor Boulevard,secondary,36.6,False,10.904,"LINESTRING (-71.7978421 42.2638358, -71.7977914 42.2639264)",,
9603266,True,3,Foster Street,primary,25.9,False,267.493,"LINESTRING (-71.7978421 42.2638358, -71.7977916 42.2638092, -71.7976857 42.2637466, -71.797552 42.2636697, -71.7974106 42.2635863, -71.7972894 42.2635101, -71.7971609 42.2634217, -71.7970409 42.2633246, -71.7969285 42.2632244, -71.7969044 42.2632, -71.7968128 42.2631071, -71.7967167 42.2629795, -71.7966442 42.2628675, -71.796575 42.2627515, -71.7965043 42.2626203, -71.7964422 42.262479, -71.7964215 42.2624165, -71.7963996 42.2623507, -71.7963903 42.2623022, -71.7963733 42.262214, -71.7963648 42.2620898, -71.7963716 42.2619876, -71.7963753 42.2619478, -71.796396 42.2618267)",,
138077407,False,,Mercantile Street,tertiary,,True,107.8,"LINESTRING (-71.7978421 42.2638358, -71.7979067 42.2636781, -71.7979599 42.2635636, -71.7980226 42.2634495, -71.7982368 42.2630847, -71.7982968 42.2629282)",,
9606251,False,4,Madison Street,primary,16.8,False,36.848,"LINESTRING (-71.803716 42.258581, -71.8038101 42.2586507, -71.8040329 42.2588151)",30 mph,MA 122;MA 122A
9606251,False,4,Madison Street,primary,16.8,True,35.323,"LINESTRING (-71.803716 42.258581, -71.8035553 42.2584646, -71.803409 42.258359)",30 mph,MA 122;MA 122A
90360922,False,2,Southbridge Street,secondary,18.3,False,53.018,"LINESTRING (-71.803716 42.258581, -71.803753 42.2584335, -71.803832 42.258112)",,
90360922,False,2,Southbridge Street,secondary,18.3,True,39.781,"LINESTRING (-71.803716 42.258581, -71.8036982 42.2587124, -71.803683 42.258825, -71.8036696 42.2589371)",,
9605993,False,1,Everett Street,residential,10.7,False,32.88,"LINESTRING (-71.804903 42.266768, -71.8048314 42.2670344, -71.804825 42.267058)",,
9605965,True,2,Maple Street,secondary,15.2,False,56.07,"LINESTRING (-71.802482 42.265125, -71.80252 42.2651188, -71.802543 42.265109, -71.802569 42.265092, -71.802588 42.265077, -71.802601 42.265065, -71.8027779 42.2649173, -71.802813 42.264888, -71.802851 42.264862, -71.8028695 42.2648512, -71.802892 42.264841, -71.802935 42.264829, -71.802998 42.264816)",,
"[9604976, 578444829]",True,,"['Maple Street', 'Maple Terrace']",residential,,False,103.203,"LINESTRING (-71.802482 42.265125, -71.8026302 42.2651814, -71.8027004 42.2652082, -71.802427 42.2659266)",,
9605775,False,2,Pearl Street,residential,14.6,True,200.55800000000002,"LINESTRING (-71.801912 42.264066, -71.8020522 42.26408, -71.802556 42.26413, -71.803073 42.264182, -71.803102 42.2641854, -71.8032939 42.2642081, -71.8033448 42.2642141, -71.804235 42.2643186, -71.804323 42.264329)",,
