osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
17014215,North L Street,residential,False,False,115.475,"LINESTRING (-105.996493 38.540297, -105.9964383 38.5403346, -105.9959986 38.5406372, -105.9955554 38.5409421, -105.9954961 38.5409829)",,,,
17017998,West 1st Street,primary,False,True,118.18199999999999,"LINESTRING (-105.996493 38.540297, -105.99609 38.539932, -105.995597 38.539498)",CO 291,25 mph,,
17017842,West Sackett Avenue,residential,False,True,117.288,"LINESTRING (-105.9954961 38.5409829, -105.9946123 38.5401862)",,,,
17014215,North L Street,residential,False,True,115.475,"LINESTRING (-105.9954961 38.5409829, -105.9955554 38.5409421, -105.9959986 38.5406372, -105.9964383 38.5403346, -105.996493 38.540297)",,,,
17018029,H Street,residential,False,False,116.206,"LINESTRING (-105.996396 38.535064, -105.9956328 38.5358413, -105.9955825 38.535893)",,,,
17019558,West 4th Street,residential,False,True,117.93200000000002,"LINESTRING (-105.996396 38.535064, -105.996328 38.5350246, -105.9960885 38.5348774, -105.995852 38.534738, -105.9954166 38.5344567, -105.995335 38.534404)",,,,
17016782,D Street,residential,False,False,118.98899999999999,"LINESTRING (-105.991319 38.533288, -105.990901 38.533712, -105.9905444 38.5340796, -105.990488 38.534138)",,,,
17017654,East 3rd Street,residential,False,False,119.07400000000001,"LINESTRING (-105.991319 38.533288, -105.9918469 38.533617, -105.9923147 38.5339025, -105.992394 38.533951)",,,,
17017654,East 3rd Street,residential,False,True,116.75899999999999,"LINESTRING (-105.991319 38.533288, -105.990324 38.5327003, -105.990248 38.532655)",,,,
17016782,D Street,residential,False,False,117.14200000000001,"LINESTRING (-105.990488 38.534138, -105.9904355 38.5341929, -105.990092 38.534552, -105.9897244 38.5349135, -105.9896651 38.5349718)",,,,
17016782,D Street,residential,False,True,118.98899999999999,"LINESTRING (-105.990488 38.534138, -105.9905444 38.5340796, -105.990901 38.533712, -105.991319 38.533288)",,,,
17018612,East 2nd Street,residential,False,False,118.249,"LINESTRING (-105.990488 38.534138, -105.9905615 38.5341826, -105.991151 38.53454, -105.9914825 38.5347416, -105.991562 38.53479)",,,,
17018612,East 2nd Street,residential,False,True,117.361,"LINESTRING (-105.990488 38.534138, -105.9904163 38.5340951, -105.9894969 38.5335379, -105.989421 38.533492)",,,,
17016782,D Street,residential,False,True,117.142,"LINESTRING (-105.9896651 38.5349718, -105.9897244 38.5349135, -105.990092 38.534552, -105.9904355 38.5341929, -105.990488 38.534138)",,,,
17017884,East 1st Street,primary,False,False,117.547,"LINESTRING (-105.9896651 38.5349718, -105.9897399 38.5350189, -105.9906525 38.5355697, -105.990732 38.5356206)",CO 291,,2,
17017884,East 1st Street,primary,False,True,118.153,"LINESTRING (-105.9896651 38.5349718, -105.9895944 38.5349288, -105.9889082 38.5345117, -105.9886759 38.5343686, -105.9885942 38.5343181)",CO 291,,2,
17017955,North D Street,residential,False,False,117.281,"LINESTRING (-105.9896651 38.5349718, -105.9896114 38.5350277, -105.9892582 38.535396, -105.9888952 38.5357473, -105.988838 38.5358046)",,,,
17016829,North F Street,residential,False,False,119.42500000000001,"LINESTRING (-105.9917971 38.5362651, -105.9917346 38.5363342, -105.9913684 38.5366797, -105.9910324 38.5370459, -105.9909619 38.5371168)",,,,
17017884,East 1st Street,primary,False,True,117.131,"LINESTRING (-105.9917971 38.5362651, -105.9917192 38.5362213, -105.9912606 38.535944, -105.9908081 38.5356667, -105.990732 38.5356206)",CO 291,,2,
17017998,West 1st Street,primary,False,False,117.957,"LINESTRING (-105.9917971 38.5362651, -105.9918735 38.536312, -105.9920721 38.5364381, -105.9922919 38.536568, -105.9927722 38.5368665, -105.9928531 38.5369297)",CO 291,25 mph,,
17019354,F Street,tertiary,False,True,116.275,"LINESTRING (-105.9917971 38.5362651, -105.9918557 38.5362082, -105.992202 38.535845, -105.9925592 38.5354962, -105.992618 38.53544)",,,,
"[52346648, 52346690, 17016829]",North F Street,residential,False,False,119.166,"LINESTRING (-105.9909619 38.5371168, -105.9909086 38.5371715, -105.9906111 38.537464, -105.9905304 38.5375418, -105.9901681 38.5379244, -105.9901402 38.5379725)",,,,yes
17016829,North F Street,residential,False,True,119.42500000000001,"LINESTRING (-105.9909619 38.5371168, -105.9910324 38.5370459, -105.9913684 38.5366797, -105.9917346 38.5363342, -105.9917971 38.5362651)",,,,
17017842,West Sackett Avenue,residential,False,False,87.03,"LINESTRING (-105.9909619 38.5371168, -105.9910327 38.5371599, -105.9916985 38.5375586, -105.9917389 38.5375832, -105.9917557 38.5375933)",,,,
386735857,East Sackett Street,residential,False,True,119.742,"LINESTRING (-105.9909619 38.5371168, -105.9908808 38.5370676, -105.990803 38.537018, -105.990489 38.536826, -105.9898766 38.5364543)",,,,
