osmid,lanes,name,highway,width,oneway,reversed,length,bridge,geometry,maxspeed,ref
"[9199148, 143937045, 143937047]",2,Fisher Street,residential,12.2,False,False,89.508,yes,"LINESTRING (-71.330303 41.986192, -71.3297611 41.9861537, -71.3297005 41.9861494, -71.3295048 41.9861366, -71.3292246 41.9861183)",,
9199148,2,Fisher Street,residential,12.2,False,True,128.205,,"LINESTRING (-71.330303 41.986192, -71.3313502 41.9862721, -71.331846 41.98631)",,
9199253,2,East Street,residential,12.2,False,False,173.161,,"LINESTRING (-71.330303 41.986192, -71.330296 41.986271, -71.330345 41.986566, -71.330391 41.98691, -71.3305533 41.9877364)",25 mph,
9199253,2,East Street,residential,12.2,False,True,270.611,,"LINESTRING (-71.330303 41.986192, -71.330308 41.986123, -71.330316 41.986085, -71.330351 41.985912, -71.330391 41.985644, -71.330452 41.985357, -71.3304746 41.9852424, -71.330543 41.984882, -71.3306339 41.9844274, -71.330672 41.984237, -71.330772 41.983784)",25 mph,
9199150,2,High Street,tertiary,13.7,False,False,373.0350000000001,,"LINESTRING (-71.338111 41.984362, -71.337693 41.984387, -71.336913 41.984399, -71.3365308 41.9844009, -71.336308 41.984402, -71.335809 41.984412, -71.3355319 41.9844015, -71.335309 41.984393, -71.335037 41.9843817, -71.334877 41.984375, -71.3345358 41.9843579, -71.334457 41.984354, -71.333976 41.984302, -71.333611 41.984261)",,
930217532,2,Broadway,tertiary,12.2,False,False,134.661,,"LINESTRING (-71.338111 41.984362, -71.3381156 41.9846802, -71.338118 41.984845, -71.338116 41.985471, -71.338114 41.985573)",,
930217533,2,Broadway,tertiary,12.2,False,True,97.3,,"LINESTRING (-71.338111 41.984362, -71.33811 41.98428, -71.338102 41.983672, -71.3381 41.983487)",,
9198825,2,Holbrook Avenue,residential,13.7,False,False,138.266,,"LINESTRING (-71.332338 41.979473, -71.3322244 41.9794409, -71.3307742 41.9790317)",,
930217535,2,East Street,residential,12.2,False,False,153.308,,"LINESTRING (-71.332338 41.979473, -71.332107 41.979907, -71.332074 41.9799845, -71.3320186 41.9801145, -71.331899 41.980395, -71.3317596 41.9807279, -71.331739 41.980777)",,
930217536,2,Holbrook Avenue,residential,13.7,False,True,96.783,,"LINESTRING (-71.332338 41.979473, -71.3324751 41.9795105, -71.3325276 41.9795249, -71.332728 41.9795799, -71.3334366 41.979774)",,
9198890,2,Gould Street,residential,11.0,False,True,115.717,,"LINESTRING (-71.336654 41.983374, -71.336695 41.983047, -71.336774 41.982642, -71.336821 41.982341)",,
9199415,2,Church Street,residential,13.7,False,False,350.24100000000004,,"LINESTRING (-71.336654 41.983374, -71.336602 41.98337, -71.335634 41.983286, -71.3355064 41.9832759, -71.3350097 41.9832366, -71.334749 41.983216, -71.3342233 41.9831738, -71.3340818 41.9831625, -71.334026 41.983158, -71.333923 41.9831499, -71.3338061 41.9831408, -71.333522 41.9831185, -71.333401 41.983109, -71.3333334 41.9831047, -71.3331517 41.9830931, -71.332968 41.9830815, -71.3329464 41.9830801, -71.332725 41.983066, -71.332443 41.983029)",,
