osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,lanes,bridge,access
4274702,A5123,primary,30 mph,roundabout,True,False,13.370000000000001,"LINESTRING (-0.9035669 52.2308884, -0.9036343 52.2308898, -0.9036999 52.2309038, -0.9037483 52.2309249)",,,,
4274703,A5123,primary,30 mph,,True,False,104.313,"LINESTRING (-0.9013291 52.2348675, -0.9015371 52.2348459, -0.9017608 52.2348209, -0.9019716 52.2347775, -0.9021423 52.2347313, -0.9025636 52.2345828, -0.9027342 52.2345209)",Towcester Road,,,
600834658,,trunk,30 mph,roundabout,True,False,30.967000000000002,"LINESTRING (-0.9013291 52.2348675, -0.9014054 52.2348735, -0.9014843 52.2348934, -0.901552 52.2349263, -0.9015997 52.2349668, -0.9016234 52.2350019, -0.9016351 52.2350395)",,,,
"[491371546, 4274700, 491371548]",A508,trunk,30 mph,,True,False,40.295,"LINESTRING (-0.8964745 52.2309866, -0.8965151 52.2310416, -0.896533 52.2312081, -0.8965732 52.231341)",Cotton End,1,,
618536736,A428,trunk,30 mph,,True,False,60.946,"LINESTRING (-0.8973781 52.2337736, -0.8974743 52.2337925, -0.8977613 52.233845, -0.8982379 52.2339255)",St Peters Way,,,
782055724,A508,trunk,30 mph,,True,False,29.241,"LINESTRING (-0.8973781 52.2337736, -0.8973903 52.2338779, -0.8974088 52.2340359)",Bridge Street,,,
61218060,,residential,,,True,False,45.78300000000001,"LINESTRING (-0.8965056 52.2349913, -0.8964295 52.2350273, -0.8964043 52.2350364, -0.8962526 52.2350914, -0.8960793 52.2351313, -0.8958939 52.2351282)",Saint John's Street,,,
470239071,A508,trunk,30 mph,,True,False,24.23,"LINESTRING (-0.8965056 52.2349913, -0.8963635 52.2349744, -0.8963117 52.234959, -0.8961968 52.2348967)",Cattle Market Road,,,
470239071,A508,trunk,30 mph,,True,False,59.007999999999996,"LINESTRING (-0.8961553 52.234502, -0.8961594 52.2344622, -0.8961643 52.2344144, -0.8961712 52.2343468, -0.8961704 52.2341441, -0.8961692 52.2341352, -0.8961475 52.2339722)",Cattle Market Road,,,
4274699,A508,trunk,30 mph,,True,False,25.644,"LINESTRING (-0.8961899 52.2337988, -0.8963404 52.2335874)",Cattle Market Road,,,
4274697,A428,trunk,30 mph,,True,False,81.344,"LINESTRING (-0.8961899 52.2337988, -0.8968277 52.2337547, -0.8968978 52.233754, -0.8970955 52.233752, -0.8972604 52.2337646, -0.8973781 52.2337736)",Victoria Promenade,,,
"[118609760, 191260507]",A428,trunk,30 mph,,True,False,235.94400000000002,"LINESTRING (-0.8982379 52.2339255, -0.8986098 52.2339805, -0.89894 52.2340357, -0.8990052 52.2340466, -0.8993432 52.2341163, -0.8994583 52.2341451, -0.8996277 52.2341875, -0.8996703 52.2341981, -0.8999389 52.2342867, -0.9000516 52.2343363, -0.9002528 52.2344249, -0.9005398 52.2345676, -0.9007886 52.234718, -0.9008515 52.2347632, -0.9009365 52.2348082, -0.9010177 52.2348407, -0.9011024 52.2348564, -0.9012566 52.2348728)",St Peters Way,,,
