osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes
985682069,Shaker Boulevard,primary,True,False,33.559999999999995,"LINESTRING (-81.5361352 41.4775459, -81.5360536 41.4775449, -81.5357945 41.4775485, -81.5357325 41.4775509)",SR 87,35 mph,2
11803438,Almar Drive,residential,False,False,14.114,"LINESTRING (-81.536391 41.4713313, -81.5362216 41.4713305)",,,
11795800,Somerset Drive,residential,False,True,382.824,"LINESTRING (-81.532042 41.471879, -81.532316 41.472098, -81.532608 41.472276, -81.532917 41.472413, -81.533192 41.472468, -81.533466 41.472509, -81.533813 41.472536, -81.53416 41.472604, -81.534507 41.4727, -81.534799 41.472823, -81.535091 41.472987, -81.5351049 41.4729984, -81.5353091 41.4731415, -81.5358778 41.4735812)",,,
11803438,Almar Drive,residential,False,True,364.04200000000003,"LINESTRING (-81.532042 41.471879, -81.532645 41.471579, -81.532994 41.471428, -81.533357 41.47136, -81.533758 41.471319, -81.5357301 41.4713282, -81.5362216 41.4713305)",,,
"[11796456, 11803298]","['Kingsley Road', 'Marchmont Road']",residential,False,False,243.89000000000004,"LINESTRING (-81.5416946 41.473917, -81.5416938 41.4738548, -81.541681 41.4737294, -81.5416684 41.4726221, -81.541668 41.472586, -81.541584 41.472466, -81.541392 41.472356, -81.541135 41.472345, -81.5408476 41.4723527, -81.5406649 41.4723576)",,,
11796456,Kingsley Road,residential,False,True,366.772,"LINESTRING (-81.5416946 41.473917, -81.5416929 41.473995, -81.5416997 41.476387, -81.5416878 41.476486, -81.5416761 41.476554, -81.5416508 41.4766163, -81.5416096 41.476684, -81.5415629 41.4767492, -81.5415133 41.4768178, -81.5414416 41.4768891, -81.5413695 41.4769495, -81.5412848 41.4770104, -81.5411695 41.4770796)",,,
118240047,South Woodland Road,tertiary,False,False,106.447,"LINESTRING (-81.5416946 41.473917, -81.5410945 41.4739098, -81.5404172 41.4738977)",CR 21,,
118240047,South Woodland Road,tertiary,False,False,106.139,"LINESTRING (-81.5391389 41.4738824, -81.5378651 41.4738669)",CR 21,,
118240047,South Woodland Road,tertiary,False,True,106.515,"LINESTRING (-81.5391389 41.4738824, -81.5398291 41.4738904, -81.5402764 41.4738945, -81.5404172 41.4738977)",CR 21,,
985682071,Falmouth Road,residential,False,False,213.555,"LINESTRING (-81.5391389 41.4738824, -81.5391388 41.4738151, -81.539108 41.471962)",,25 mph,
985682071,Falmouth Road,residential,False,True,377.34400000000005,"LINESTRING (-81.5391389 41.4738824, -81.5391409 41.4739606, -81.5391488 41.475864, -81.5391402 41.4759526, -81.5391279 41.4760378, -81.5391091 41.4761151, -81.5390896 41.4761944, -81.5390486 41.4763123, -81.5390059 41.4764085, -81.5389616 41.4764891, -81.5389127 41.4765721, -81.5388505 41.4766591, -81.5387754 41.4767466, -81.5387107 41.4768176, -81.5386403 41.4768832, -81.5385508 41.4769647, -81.5384381 41.4770462, -81.5383618 41.477104)",,25 mph,
11802012,Boyce Road,residential,False,False,138.669,"LINESTRING (-81.5343764 41.4763981, -81.5344402 41.4763361, -81.534492 41.4762745, -81.5345418 41.4761994, -81.5345837 41.4761101, -81.5346108 41.476025, -81.5346259 41.475946, -81.5346341 41.4758528, -81.5346308 41.4757623, -81.5346227 41.4756881, -81.5346075 41.4756094, -81.5345838 41.4755395, -81.5345468 41.4754698, -81.5345046 41.4753957, -81.5344513 41.4753206, -81.5343788 41.4752372)",,,
11806937,Fayette Road,residential,False,False,92.5,"LINESTRING (-81.5343764 41.4763981, -81.5338193 41.4759774, -81.5335979 41.475805)",,,
11806937,Fayette Road,residential,False,True,172.726,"LINESTRING (-81.5343764 41.4763981, -81.5344187 41.4764336, -81.5350258 41.4769111, -81.535286 41.4771179, -81.5356759 41.4774134, -81.535703 41.4774445, -81.5357194 41.4774783, -81.5357289 41.4775101, -81.5357325 41.4775509)",,,
11803298,Marchmont Road,residential,False,False,105.40099999999998,"LINESTRING (-81.539108 41.471962, -81.5389047 41.4719602, -81.5383802 41.4719557, -81.5380908 41.4719532, -81.537843 41.471951)",,,
11803298,Marchmont Road,residential,False,True,99.866,"LINESTRING (-81.539108 41.471962, -81.539365 41.471962, -81.539617 41.471999, -81.539856 41.472099, -81.5398762 41.4721085, -81.540204 41.472263)",,,
985682071,Falmouth Road,residential,False,True,213.555,"LINESTRING (-81.539108 41.471962, -81.5391388 41.4738151, -81.5391389 41.4738824)",,25 mph,
11803298,Marchmont Road,residential,False,True,81.736,"LINESTRING (-81.536862 41.471957, -81.537843 41.471951)",,,
11806937,Fayette Road,residential,False,False,172.726,"LINESTRING (-81.5357325 41.4775509, -81.5357289 41.4775101, -81.5357194 41.4774783, -81.535703 41.4774445, -81.5356759 41.4774134, -81.535286 41.4771179, -81.5350258 41.4769111, -81.5344187 41.4764336, -81.5343764 41.4763981)",,,
82748413,,primary_link,True,False,24.924999999999997,"LINESTRING (-81.5370755 41.4777013, -81.5370607 41.477668, -81.5370525 41.4776363, -81.5370525 41.4776123, -81.5370603 41.4775823, -81.5370742 41.4775559, -81.5370918 41.4775344, -81.5371251 41.4774927)",,,
985682070,Shaker Boulevard,primary,True,False,66.872,"LINESTRING (-81.5370755 41.4777013, -81.536955 41.4776442, -81.5368687 41.4776099, -81.5367801 41.4775844, -81.5366891 41.4775679, -81.5365817 41.4775576, -81.5364199 41.4775522, -81.5363163 41.4775499)",SR 87,35 mph,2
11803438,Almar Drive,residential,False,True,14.114,"LINESTRING (-81.5362216 41.4713305, -81.536391 41.4713313)",,,
11803438,Almar Drive,residential,False,False,364.042,"LINESTRING (-81.5362216 41.4713305, -81.5357301 41.4713282, -81.533758 41.471319, -81.533357 41.47136, -81.532994 41.471428, -81.532645 41.471579, -81.532042 41.471879)",,,
650979061,Warrensville Center Road,primary,True,False,135.797,"LINESTRING (-81.5362216 41.4713305, -81.5362146 41.4718497, -81.5362128 41.4719842, -81.5362052 41.4725517)",CR 4,35 mph,2
11793590,Shaker Glen,residential,False,False,14.49,"LINESTRING (-81.5362052 41.4725517, -81.5363787 41.4725607)",,,
"[260057461, 650979061]",Warrensville Center Road,primary,True,False,102.172,"LINESTRING (-81.5362052 41.4725517, -81.5361876 41.4729234, -81.5361627 41.47347)",CR 4,35 mph,2
11787690,West Byron Road,residential,False,False,214.012,"LINESTRING (-81.536151 41.4738474, -81.5361002 41.4739048, -81.5360461 41.4739612, -81.535987 41.4740175, -81.5359243 41.4740722, -81.535621 41.4743026, -81.5343788 41.4752372)",,,
11795800,Somerset Drive,residential,False,False,37.619,"LINESTRING (-81.536151 41.4738474, -81.5361265 41.4738071, -81.5361013 41.473772, -81.5360686 41.473738, -81.5359649 41.4736486, -81.5358778 41.4735812)",,,
192806881,Warrensville Center Road,primary,True,False,411.29999999999995,"LINESTRING (-81.536151 41.4738474, -81.5361405 41.4740125, -81.5361405 41.4740602, -81.5361413 41.4750256, -81.5361449 41.4753337, -81.5361371 41.4758147, -81.5361358 41.4758966, -81.5361429 41.4774267, -81.5361352 41.4775459)",CR 4,35 mph,
240569732,South Woodland Road,secondary,False,True,11.63,"LINESTRING (-81.536151 41.4738474, -81.5362163 41.4738474, -81.5362906 41.4738477)",CR 21,,
522968712,Shaker Boulevard,primary,True,False,15.094,"LINESTRING (-81.5363163 41.4775499, -81.5361352 41.4775459)",SR 87,35 mph,2
11807033,Falmouth Road,residential,False,False,69.281,"LINESTRING (-81.5363163 41.4775499, -81.5363655 41.4775194, -81.5363954 41.4775063, -81.5364229 41.4774968, -81.5364523 41.4774926, -81.5364807 41.4774909, -81.5371251 41.4774927)",,25 mph,
"[278439044, 1050942006]",Warrensville Center Road,primary,True,False,411.69,"LINESTRING (-81.5363163 41.4775499, -81.5363184 41.4774206, -81.5363149 41.4769643, -81.5363069 41.475898, -81.5363032 41.4753337, -81.5362959 41.4750297, -81.5362919 41.4746762, -81.5362888 41.4744001, -81.5362844 41.474012, -81.5362841 41.4739889, -81.5362906 41.4738477)",CR 4,35 mph,"['3', '2']"
11807033,Falmouth Road,residential,False,True,69.281,"LINESTRING (-81.5371251 41.4774927, -81.5364807 41.4774909, -81.5364523 41.4774926, -81.5364229 41.4774968, -81.5363954 41.4775063, -81.5363655 41.4775194, -81.5363163 41.4775499)",,25 mph,
985682071,Falmouth Road,residential,False,False,115.38900000000001,"LINESTRING (-81.5371251 41.4774927, -81.5373651 41.4774912, -81.5374634 41.4774817, -81.5375578 41.4774674, -81.5376522 41.4774489, -81.5377583 41.4774216, -81.5378542 41.4773796, -81.5380052 41.477316, -81.5381311 41.477248, -81.5382371 41.4771854, -81.5383618 41.477104)",,25 mph,
260057461,Warrensville Center Road,primary,True,False,41.978,"LINESTRING (-81.5361627 41.47347, -81.5361521 41.4737469, -81.536151 41.4738474)",CR 4,35 mph,
985692663,,secondary_link,True,False,28.573999999999998,"LINESTRING (-81.5361627 41.47347, -81.5360851 41.4735347, -81.536057 41.473555, -81.536024 41.473571, -81.5359871 41.4735797, -81.5359394 41.4735844, -81.5358778 41.4735812)",,,
11795800,Somerset Drive,residential,False,False,382.824,"LINESTRING (-81.5358778 41.4735812, -81.5353091 41.4731415, -81.5351049 41.4729984, -81.535091 41.472987, -81.534799 41.472823, -81.534507 41.4727, -81.53416 41.472604, -81.533813 41.472536, -81.533466 41.472509, -81.533192 41.472468, -81.532917 41.472413, -81.532608 41.472276, -81.532316 41.472098, -81.532042 41.471879)",,,
11795800,Somerset Drive,residential,False,True,37.619,"LINESTRING (-81.5358778 41.4735812, -81.5359649 41.4736486, -81.5360686 41.473738, -81.5361013 41.473772, -81.5361265 41.4738071, -81.536151 41.4738474)",,,
