osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,ref,bridge,access
"[50593953, 698825174]",True,"['1', '2']",motorway_link,30 mph,False,134.62199999999999,"LINESTRING (-95.9420898 41.2613618, -95.942093 41.2612998, -95.9420928 41.2612769, -95.9420904 41.2612348, -95.9420882 41.2612094, -95.9420813 41.2611555, -95.9420719 41.261105, -95.942056 41.261042, -95.9420444 41.2610068, -95.9420268 41.2609652, -95.9420181 41.2609492, -95.9419937 41.2609112, -95.941973 41.260884, -95.9419462 41.2608545, -95.9419092 41.26082, -95.9418897 41.2608035, -95.9418587 41.2607806, -95.9418325 41.2607633, -95.9417933 41.2607403, -95.9417715 41.2607301, -95.9417255 41.2607121, -95.9416916 41.2607013, -95.941657 41.2606939, -95.941621 41.2606878, -95.9416017 41.260686, -95.941577 41.2606843, -95.9415444 41.2606827, -95.9412729 41.260678, -95.9412298 41.2606772, -95.9411177 41.2606692)",,,,
50593961,True,2,motorway_link,30 mph,False,116.433,"LINESTRING (-95.9420898 41.2613618, -95.9421869 41.2611636, -95.9422153 41.2611017, -95.9422344 41.2610587, -95.9422605 41.2609949, -95.9422741 41.2609591, -95.9422948 41.2608998, -95.9423145 41.2608378, -95.9423373 41.2607682, -95.9423575 41.2607035, -95.9423755 41.2606404, -95.9423827 41.2606114, -95.9423884 41.2605843, -95.9423958 41.2605435, -95.9424253 41.2603495)",,,,
"[698836006, 452965550]",True,"['4', '5']",secondary,30 mph,False,68.077,"LINESTRING (-95.9424253 41.2603495, -95.9424249 41.2602842, -95.9424247 41.2601576, -95.9424244 41.2599336, -95.9424235 41.2599063, -95.9424226 41.2598893, -95.9424203 41.2598609, -95.9423823 41.2597407)",North 20th Street,,,
14074059,True,1,motorway_link,,False,31.092999999999996,"LINESTRING (-95.9347807 41.2627078, -95.934617 41.2627117, -95.9344088 41.26271)",,,,
187593167,False,2,tertiary,,False,31.348,"LINESTRING (-95.9347807 41.2627078, -95.9348969 41.2627029, -95.9350506 41.262692, -95.9351542 41.2626831)",Chicago Street,,,
699148259,True,1,secondary,25 mph,False,27.108,"LINESTRING (-95.9347807 41.2627078, -95.9347607 41.262651, -95.9347371 41.2625915, -95.9346833 41.2624754)",North 14th Street,,,
187593167,False,2,tertiary,,True,56.875,"LINESTRING (-95.9358329 41.2626574, -95.9356169 41.2626542, -95.9355537 41.2626561, -95.9355116 41.2626582, -95.9352409 41.2626757, -95.9351542 41.2626831)",Chicago Street,,,
"[391581676, 944048630]",False,"['3', '2']",tertiary,,False,109.715,"LINESTRING (-95.9358329 41.2626574, -95.9361075 41.2626622, -95.9361937 41.2626637, -95.9365514 41.2626699, -95.9369862 41.262673, -95.9371453 41.2626741)",Chicago Street,,,
850960327,False,3,tertiary,,False,111.095,"LINESTRING (-95.9332286 41.2544198, -95.9333867 41.2544209, -95.9334158 41.2544211, -95.9338128 41.2544238, -95.9344198 41.254428, -95.9345575 41.254429)",Jackson Street,,,
1208877001,True,4,primary,25 mph,False,116.967,"LINESTRING (-95.9332286 41.2544198, -95.9332277 41.2545262, -95.9332243 41.2549482, -95.9332209 41.2553729, -95.9332201 41.2554717)",South 13th Street,,,
187887443,False,3,tertiary,,False,110.877,"LINESTRING (-95.9345575 41.254429, -95.9347018 41.2544296, -95.9353349 41.2544325, -95.9357512 41.2544363, -95.9358838 41.2544375)",Jackson Street,,,
850960327,False,3,tertiary,,True,111.09499999999998,"LINESTRING (-95.9345575 41.254429, -95.9344198 41.254428, -95.9338128 41.2544238, -95.9334158 41.2544211, -95.9333867 41.2544209, -95.9332286 41.2544198)",Jackson Street,,,
187887443,False,3,tertiary,,True,110.877,"LINESTRING (-95.9358838 41.2544375, -95.9357512 41.2544363, -95.9353349 41.2544325, -95.9347018 41.2544296, -95.9345575 41.254429)",Jackson Street,,,
