osmid,oneway,lanes,ref,highway,reversed,length,junction,geometry,name
10016014,True,2,US 180,primary,False,14.046,,"LINESTRING (-97.7967531 32.7590695, -97.7968918 32.759118)",
145186550,True,2,US 180;FM 51,primary,False,29.601,circular,"LINESTRING (-97.7968918 32.759118, -97.7970392 32.7591551, -97.797196 32.7591916)",
145186553,True,2,US 180,primary,False,63.384,,"LINESTRING (-97.7979797 32.7590513, -97.7980999 32.7590341, -97.7981861 32.7590218, -97.7985241 32.7590218, -97.7986425 32.7589757)",
562606333,True,,,residential,False,60.218999999999994,,"LINESTRING (-97.7979797 32.7590513, -97.7980493 32.7591447, -97.7980498 32.7592101, -97.798051 32.7593748, -97.798052 32.7595045, -97.7980701 32.7595744)",York Avenue
28541563,False,4,US 180,primary,False,52.506,,"LINESTRING (-97.7986425 32.7589757, -97.799204 32.7589773)",Palo Pinto Street
28541566,True,2,US 180,primary,False,67.835,,"LINESTRING (-97.7986425 32.7589757, -97.7985294 32.7589282, -97.7982008 32.7589248, -97.7981017 32.7589102, -97.7980708 32.7589056, -97.7979383 32.758872)",
28541566,True,2,US 180,primary,False,17.964,,"LINESTRING (-97.7979383 32.758872, -97.7977658 32.7588009)",
10024225,False,,,residential,False,111.26899999999999,,"LINESTRING (-97.7954679 32.7595521, -97.7960397 32.7595643, -97.7965298 32.7595699, -97.7966567 32.7595572)",Trinity Avenue
10024225,False,,,residential,True,138.49599999999998,,"LINESTRING (-97.7954679 32.7595521, -97.7949631 32.7595648, -97.7948457 32.7595678, -97.7943499 32.7595736, -97.7939881 32.7595959)",Trinity Avenue
667705975,False,,,residential,False,113.178,,"LINESTRING (-97.7954679 32.7595521, -97.7954638 32.7597173, -97.7954578 32.7599615, -97.7954735 32.7605697)",North Elm Street
667705975,False,,,residential,True,60.544,,"LINESTRING (-97.7954679 32.7595521, -97.7954739 32.7594155, -97.7954783 32.7593144, -97.795495 32.7590081)",North Elm Street
