osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,bridge,access,tunnel,junction
"[1051008809, 1051008810, 121640396]",True,"['1', '3', '2']",motorway_link,False,101.84,"LINESTRING (-73.7829025 40.9147887, -73.7824645 40.9152316, -73.7824118 40.9152796, -73.7823644 40.9153148, -73.7823208 40.9153384, -73.7823107 40.9153439, -73.7822579 40.915366, -73.7822288 40.915375, -73.7821996 40.915384, -73.7821308 40.9153953, -73.7820594 40.9153982)",,,,,,
23467960,True,1,motorway_link,False,46.039,"LINESTRING (-73.7812014 40.9152712, -73.781702 40.9154395)",,,,,,
420871514,False,,secondary,True,13.034,"LINESTRING (-73.7812014 40.9152712, -73.7811245 40.915373)",Garden Street,,,,,
667551597,False,,secondary,False,13.868,"LINESTRING (-73.7812014 40.9152712, -73.7812844 40.9151634)",Garden Street,,,,,
23468143,True,2,secondary,False,35.994,"LINESTRING (-73.7810043 40.9156835, -73.7810202 40.9156287, -73.7810402 40.9155737, -73.7811245 40.915373)",Cross Westchester Avenue,,,,,
118714411,True,1,motorway_link,False,73.21300000000001,"LINESTRING (-73.7810043 40.9156835, -73.781028 40.9156342, -73.7810507 40.9156013, -73.7810793 40.9155679, -73.7811131 40.9155343, -73.7811642 40.9154951, -73.7812066 40.9154713, -73.7812529 40.91545, -73.7813018 40.9154331, -73.781352 40.91542, -73.7814052 40.9154118, -73.7814614 40.9154067, -73.781521 40.9154068, -73.7815798 40.9154113, -73.7816399 40.9154224, -73.781702 40.9154395)",,,,,,
420871514,False,,secondary,False,13.034,"LINESTRING (-73.7811245 40.915373, -73.7812014 40.9152712)",Garden Street,,,,,
118714322,False,,secondary,False,79.38,"LINESTRING (-73.7815966 40.9147675, -73.7817428 40.9145756, -73.7820108 40.9142415, -73.7820513 40.914196, -73.7820905 40.9141596)",Garden Street,,,,,
"[118714322, 420871500]",False,,secondary,True,51.247,"LINESTRING (-73.7815966 40.9147675, -73.7815092 40.9148801, -73.7812844 40.9151634)",Garden Street,,,,,
666527517,True,2,primary,False,41.446,"LINESTRING (-73.7825197 40.9113878, -73.7825992 40.9112935, -73.7827452 40.9111201, -73.7827813 40.9110719)",Huguenot Street,US 1,,,,
667597517,True,4,primary,False,84.31,"LINESTRING (-73.7786687 40.9134003, -73.7788143 40.9133798, -73.7789684 40.9133576, -73.7792266 40.9133007, -73.7794755 40.9132263, -73.7796223 40.913175)",Huguenot Street,US 1,,,,
23470451,True,,primary_link,False,44.714,"LINESTRING (-73.7785741 40.9137612, -73.7785294 40.9136035, -73.7785312 40.9135434, -73.7785628 40.9134839, -73.7785797 40.913466, -73.7786007 40.9134437, -73.7786687 40.9134003)",,,,,,
667597518,True,4,secondary,False,44.086,"LINESTRING (-73.7785741 40.9137612, -73.7783859 40.9135077, -73.7783627 40.9134692, -73.7783279 40.9134114)",Cedar Street,,,,,
"[23474387, 121640395]",False,,residential,False,152.827,"LINESTRING (-73.7849519 40.9122984, -73.7853432 40.9122221, -73.7854398 40.9125854, -73.7854907 40.9128153, -73.7855944 40.9131463, -73.7856081 40.9132173, -73.7856183 40.9132702)","['Station Plaza', 'Grand Street']",,,,,
23474660,False,,residential,False,127.68799999999999,"LINESTRING (-73.787788 40.913928, -73.7880232 40.9145433, -73.788064 40.9146653, -73.78815 40.9148749, -73.7882097 40.9150311)",Guion Place,,,,,
"[23529467, 23474660]",False,,residential,True,222.59,"LINESTRING (-73.787788 40.913928, -73.7876819 40.9138293, -73.7875962 40.9135335, -73.7875591 40.9134726, -73.7875156 40.9134413, -73.7874627 40.9134176, -73.787317 40.9133436, -73.7872134 40.9132941, -73.7871409 40.9132488, -73.7870959 40.9131957, -73.7870701 40.9131118, -73.7869772 40.9128648, -73.786894 40.9125822, -73.7868726 40.9125343, -73.7867349 40.9125597, -73.786672 40.9125713, -73.7863989 40.9126295)","['Guion Place', 'Van Guilder Avenue']",,,,,
23538305,False,,tertiary,True,42.66,"LINESTRING (-73.787788 40.913928, -73.7873944 40.9140008, -73.7872969 40.9140246)",Lockwood Avenue,,,,,
23474660,False,,residential,False,97.963,"LINESTRING (-73.7882097 40.9150311, -73.788252 40.915199, -73.788384 40.915542, -73.788509 40.915882)",Guion Place,,,,,
