osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,ref
816498800,True,Northeast 8th Street,secondary,30 mph,False,12.855,,"LINESTRING (-122.190899 47.6174125, -122.1910705 47.6174128)",,
967452420,True,,motorway_link,,False,32.237,2,"LINESTRING (-122.1883167 47.6172373, -122.1883396 47.6175268)",,
6344733,False,Northeast 2nd Place,residential,,False,190.509,,"LINESTRING (-122.1962264 47.6124085, -122.196118 47.6124082, -122.1960982 47.6124082, -122.1959111 47.6124077, -122.1953809 47.6124062, -122.1943793 47.6124035, -122.1938162 47.6124019, -122.193794 47.6124018, -122.193685 47.6124007)",,
427906736,False,108th Avenue Northeast,secondary,,False,46.082,3,"LINESTRING (-122.1962264 47.6124085, -122.1962285 47.6122564, -122.196231 47.6120762, -122.1962322 47.6119941)",,
"[427906736, 612769226, 612769227, 427906730]",False,108th Avenue Northeast,secondary,,True,153.423,"['4', '3', '2']","LINESTRING (-122.1962264 47.6124085, -122.196224 47.6125823, -122.196226 47.6127165, -122.1962289 47.6128067, -122.1962306 47.6128638, -122.1962327 47.6129729, -122.1962353 47.6130626, -122.1962373 47.6131571, -122.1962391 47.6132255, -122.1962404 47.6132812, -122.196249 47.6136741, -122.1962523 47.6137881)",,
6483801,False,111th Avenue Northeast,unclassified,,False,61.927,,"LINESTRING (-122.1923147 47.6123879, -122.1923068 47.6129448)",,
6483801,False,111th Avenue Northeast,unclassified,,True,43.771,,"LINESTRING (-122.1923147 47.6123879, -122.1923133 47.612368, -122.1922917 47.6120941, -122.192291 47.6120887, -122.1922841 47.6119948)",,
693785292,False,Northeast 2nd Place,residential,,True,94.531,,"LINESTRING (-122.1923147 47.6123879, -122.1924027 47.6123888, -122.1935043 47.6124001, -122.193524 47.6124003, -122.1935756 47.6124015)",,
"[427906878, 427906873, 747873742, 30832175]",False,Main Street,secondary,30 mph,True,160.297,"['4', '5']","LINESTRING (-122.194052 47.6101081, -122.1942046 47.610108, -122.1944181 47.6101079, -122.1947263 47.6101077, -122.1949356 47.6101076, -122.1954501 47.6101073, -122.1956911 47.6101072, -122.19603 47.610107, -122.1961903 47.6101069)",,
655613873,False,Main Street,secondary,30 mph,False,34.468,5,"LINESTRING (-122.194052 47.6101081, -122.193725 47.6101082, -122.1935922 47.6101083)",,
963173905,False,Main Street,secondary,30 mph,True,47.701,5,"LINESTRING (-122.197456 47.6101114, -122.1980923 47.6101136)",,
6379315,False,107th Avenue Northeast,tertiary,,False,209.40300000000002,,"LINESTRING (-122.197456 47.6101114, -122.19746 47.6102217, -122.1974606 47.6102364, -122.1974655 47.6103593, -122.1974736 47.6105846, -122.1974754 47.6106352, -122.197491 47.6110769, -122.197494 47.6111525, -122.1974947 47.6111966, -122.1974964 47.6112203, -122.1974999 47.6112853, -122.1975016 47.6113136, -122.1975086 47.6114191, -122.197512 47.6114601, -122.1975368 47.6118865, -122.197538 47.611907, -122.1975439 47.6119936)",,
"[963173906, 427906885]",False,Main Street,secondary,30 mph,False,94.884,"['4', '5']","LINESTRING (-122.197456 47.6101114, -122.1971125 47.6101101, -122.19631 47.6101073, -122.1961903 47.6101069)",,
623957744,False,Northeast 2nd Street,tertiary,30 mph,False,50.584,3,"LINESTRING (-122.1975439 47.6119936, -122.1982187 47.6119933)",,
6379315,False,107th Avenue Northeast,tertiary,,True,209.403,,"LINESTRING (-122.1975439 47.6119936, -122.197538 47.611907, -122.1975368 47.6118865, -122.197512 47.6114601, -122.1975086 47.6114191, -122.1975016 47.6113136, -122.1974999 47.6112853, -122.1974964 47.6112203, -122.1974947 47.6111966, -122.197494 47.6111525, -122.197491 47.6110769, -122.1974754 47.6106352, -122.1974736 47.6105846, -122.1974655 47.6103593, -122.1974606 47.6102364, -122.19746 47.6102217, -122.197456 47.6101114)",,
623957744,False,Northeast 2nd Street,tertiary,30 mph,True,98.327,3,"LINESTRING (-122.1975439 47.6119936, -122.1971563 47.6119937, -122.196366 47.611994, -122.1962322 47.6119941)",,
55481045,True,Northeast 8th Street,secondary,30 mph,False,57.332,3,"LINESTRING (-122.1856795 47.6173552, -122.1864442 47.6173668)",,
428073491,False,116th Avenue Northeast,secondary,30 mph,True,13.577,4,"LINESTRING (-122.1856795 47.6173552, -122.1856781 47.6172331)",,
513503499,False,108th Avenue Northeast,secondary,,False,11.687,5,"LINESTRING (-122.1963333 47.6173629, -122.1963348 47.617468)",,
