osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed
24112970,Walter Street,residential,False,False,219.43,,,"LINESTRING (-73.5926648 40.705598, -73.59007 40.705756)",
420323492,Uniondale Avenue,tertiary,False,False,14.394,2,CR 188,"LINESTRING (-73.5926648 40.705598, -73.592679 40.705469)",
420323492,Uniondale Avenue,tertiary,False,True,108.84100000000001,2,CR 188,"LINESTRING (-73.5926648 40.705598, -73.5926387 40.7059219, -73.5926357 40.7059586, -73.5926316 40.70601, -73.5926195 40.7061602, -73.5925978 40.7064287, -73.592593 40.7064879, -73.592586 40.706575)",
24112970,Walter Street,residential,False,True,219.43,,,"LINESTRING (-73.59007 40.705756, -73.5926648 40.705598)",
24123694,Armond Street,residential,False,True,34.153,,,"LINESTRING (-73.59007 40.705756, -73.590105 40.706062)",
24135506,Midland Street,residential,False,True,112.43,,,"LINESTRING (-73.589297 40.711267, -73.59062 40.711138)",
24119479,New York Avenue,residential,False,False,156.43099999999998,,,"LINESTRING (-73.589297 40.711267, -73.5892571 40.7110348, -73.5891417 40.710364, -73.5891268 40.7102774, -73.589057 40.709872)",
24135506,Midland Street,residential,False,False,76.17800000000001,,,"LINESTRING (-73.589297 40.711267, -73.5891891 40.7112839, -73.588412 40.711406)",
24119479,New York Avenue,residential,False,True,156.431,,,"LINESTRING (-73.589057 40.709872, -73.5891268 40.7102774, -73.5891417 40.710364, -73.5892571 40.7110348, -73.589297 40.711267)",
662363850,Front Street,primary,False,False,76.323,2,NY 102,"LINESTRING (-73.589057 40.709872, -73.5890116 40.7098761, -73.5887241 40.7099024, -73.5885631 40.7099166, -73.5884346 40.7099285, -73.588158 40.709954)",
662363850,Front Street,primary,False,True,113.507,2,NY 102,"LINESTRING (-73.589057 40.709872, -73.5892171 40.7098574, -73.589551 40.7098269, -73.5899962 40.7097863, -73.5901628 40.7097711, -73.590394 40.70975)",
24131366,Newport Avenue,residential,False,False,98.95,,,"LINESTRING (-73.593616 40.708754, -73.593564 40.707865)",
24119498,Terrell Place,residential,False,False,102.024,,,"LINESTRING (-73.593616 40.708754, -73.5929771 40.7087773, -73.592407 40.708798)",
24131366,Newport Avenue,residential,False,True,76.703,,,"LINESTRING (-73.593616 40.708754, -73.5936303 40.7089773, -73.59366 40.709443)",
24119498,Terrell Place,residential,False,True,102.024,,,"LINESTRING (-73.592407 40.708798, -73.5929771 40.7087773, -73.593616 40.708754)",
420323492,Uniondale Avenue,tertiary,False,False,100.814,2,CR 188,"LINESTRING (-73.592407 40.708798, -73.5924185 40.7086536, -73.5924194 40.7086418, -73.5924282 40.7085313, -73.5924446 40.7083256, -73.5924457 40.7083117, -73.592479 40.707893)",
"[420323498, 420323492, 1113645334]",Uniondale Avenue,tertiary,False,True,84.743,"['3', '2']",CR 188,"LINESTRING (-73.592407 40.708798, -73.5923846 40.7090859, -73.5923732 40.7092318, -73.5923675 40.709305, -73.592358 40.709427, -73.592356 40.709559)",
24131221,Pembroke Street,residential,False,False,4.78,,,"LINESTRING (-73.59065 40.7135, -73.590619 40.713464)",
24131224,Pembroke Street,residential,False,True,77.642,,,"LINESTRING (-73.59065 40.7135, -73.589885 40.713889)",
24119676,Ruxton Street,residential,False,False,85.116,,,"LINESTRING (-73.590619 40.713464, -73.590061 40.712826)",
24131221,Pembroke Street,residential,False,True,4.78,,,"LINESTRING (-73.590619 40.713464, -73.59065 40.7135)",
24131222,Pembroke Street,residential,False,False,116.627,,,"LINESTRING (-73.590619 40.713464, -73.5919929 40.7133391)",
24119676,Ruxton Street,residential,False,True,85.116,,,"LINESTRING (-73.590061 40.712826, -73.590619 40.713464)",
24119900,Tulsa Street,residential,False,False,88.247,,,"LINESTRING (-73.590061 40.712826, -73.589022 40.712924)",
24119900,Tulsa Street,residential,False,True,69.655,,,"LINESTRING (-73.590061 40.712826, -73.590881 40.712748)",
24122434,Ruxton Place,residential,False,False,105.508,,,"LINESTRING (-73.590061 40.712826, -73.589986 40.712743, -73.589964 40.712696, -73.5899341 40.7125177, -73.589831 40.711904)",
24124842,Midwood Street,residential,False,True,56.206,,,"LINESTRING (-73.591813 40.707868, -73.592479 40.707893)",
24119808,Lowell Road,residential,False,False,351.472,,,"LINESTRING (-73.591813 40.707868, -73.591866 40.707285, -73.591871 40.707076, -73.59186 40.706999, -73.591836 40.706911, -73.591757 40.706779, -73.591667 40.706691, -73.591553 40.706614, -73.59138 40.706536, -73.591236 40.706503, -73.591135 40.706492, -73.589735 40.706435, -73.58918 40.706413)",
24124842,Midwood Street,residential,False,False,76.287,,,"LINESTRING (-73.591813 40.707868, -73.591076 40.707839, -73.590909 40.707842)",
24133635,1st Place,residential,False,True,92.565,,,"LINESTRING (-73.58918 40.706413, -73.589115 40.707244)",
24119808,Lowell Road,residential,False,True,351.4720000000001,,,"LINESTRING (-73.58918 40.706413, -73.589735 40.706435, -73.591135 40.706492, -73.591236 40.706503, -73.59138 40.706536, -73.591553 40.706614, -73.591667 40.706691, -73.591757 40.706779, -73.591836 40.706911, -73.59186 40.706999, -73.591871 40.707076, -73.591866 40.707285, -73.591813 40.707868)",
24133635,1st Place,residential,False,False,142.969,,,"LINESTRING (-73.58918 40.706413, -73.5891955 40.7060801, -73.589197 40.706048, -73.589091 40.705131)",
24119900,Tulsa Street,residential,False,False,104.024,,,"LINESTRING (-73.593001 40.712546, -73.591777 40.712666)",
24131142,Uniondale Avenue,tertiary,False,True,104.05,2,CR 188,"LINESTRING (-73.593001 40.712546, -73.5929053 40.7122241, -73.5928369 40.7119938, -73.5927946 40.7118513, -73.5927881 40.7118294, -73.5927341 40.7116324)",
