osmid,oneway,name,highway,reversed,length,maxspeed,geometry,lanes,ref,bridge
10654924,True,Linden Street,residential,False,120.171,,"LINESTRING (-75.7926934 41.3303375, -75.7938258 41.3296705)",,,
1177168329,False,Susquehanna Avenue,residential,True,313.98600000000005,20 mph,"LINESTRING (-75.7926934 41.3303375, -75.7925764 41.3288398, -75.7925737 41.3287249, -75.792577 41.3286137, -75.7925905 41.328515, -75.7926153 41.3284047, -75.7927675 41.3278745, -75.7927983 41.3278017, -75.7928436 41.3277216, -75.792869 41.3276768, -75.7929375 41.3275555)",,,
10654924,True,Linden Street,residential,False,86.918,,"LINESTRING (-75.7938258 41.3296705, -75.7942406 41.3294266, -75.7946454 41.3291886)",,,
10667086,False,Exeter Avenue,secondary,True,166.576,30 mph,"LINESTRING (-75.7946454 41.3291886, -75.7944175 41.3289677, -75.7936127 41.3281872, -75.7935571 41.328129, -75.7935128 41.3280792, -75.7934803 41.3280353, -75.7934551 41.3279893)",2,PA 92,
10655899,True,Kennedy Boulevard,primary,False,148.543,25 mph,"LINESTRING (-75.791547 41.3231827, -75.791667 41.3230347, -75.7919637 41.3226689, -75.7920959 41.3225059, -75.7924605 41.3220365)",2,,
10660468,False,Water Street,tertiary,True,47.775999999999996,,"LINESTRING (-75.791547 41.3231827, -75.7913559 41.3231097, -75.791037 41.322988)",,,
"[10660002, 876239556, 322445812]",False,Water Street,tertiary,"[False, True]",376.80899999999997,,"LINESTRING (-75.791547 41.3231827, -75.7917248 41.3232504, -75.7918372 41.3233356, -75.7919546 41.3234724, -75.7940593 41.3255096, -75.7943814 41.3257999)",,,yes
10662178,False,Dock Street,residential,True,67.109,,"LINESTRING (-75.7924605 41.3220365, -75.7922521 41.3219559, -75.7921051 41.321899, -75.7917457 41.3217607)",,,
163903476,False,Defoe Street,residential,False,129.499,,"LINESTRING (-75.7856735 41.3218328, -75.785631 41.3218998, -75.7856176 41.3219209, -75.7854015 41.3222611, -75.785006 41.322884)",,,
481067969,False,William Street,primary,True,124.624,35 mph,"LINESTRING (-75.7856735 41.3218328, -75.7857454 41.3218591, -75.7864171 41.3221047, -75.7870152 41.3223235)",2,US 11,
163903457,True,Charles Street,residential,False,42.854,,"LINESTRING (-75.7909824 41.3219615, -75.7905047 41.3218207)",,,
532634102,True,South Main Street,primary,False,84.899,25 mph,"LINESTRING (-75.7909824 41.3219615, -75.790532 41.322646)",2,,
532535000,False,Luzerne Avenue,tertiary,True,78.885,,"LINESTRING (-75.7943814 41.3257999, -75.794982 41.3263475)",,,
10665485,False,Susquehanna Avenue,residential,False,231.048,20 mph,"LINESTRING (-75.7943814 41.3257999, -75.7940395 41.3260655, -75.7939651 41.3261367, -75.793894 41.3262127, -75.7938135 41.3263074, -75.79333 41.3269426, -75.7932301 41.3270738, -75.7931848 41.3271334, -75.7931289 41.3272171, -75.7930179 41.3274134, -75.7930049 41.3274364, -75.7929375 41.3275555)",,,
"[10660002, 876239556, 322445812]",False,Water Street,tertiary,"[False, True]",376.80899999999997,,"LINESTRING (-75.7943814 41.3257999, -75.7940593 41.3255096, -75.7919546 41.3234724, -75.7918372 41.3233356, -75.7917248 41.3232504, -75.791547 41.3231827)",,,yes
10660468,False,Water Street,tertiary,False,54.466,,"LINESTRING (-75.7904496 41.3227751, -75.791037 41.322988)",,,
163903649,True,North Main Street,primary,False,84.388,25 mph,"LINESTRING (-75.7904496 41.3227751, -75.7903664 41.3229131, -75.7900563 41.3233884, -75.7900106 41.3234586)",2,,
10660468,False,Water Street,tertiary,True,54.466,,"LINESTRING (-75.791037 41.322988, -75.7904496 41.3227751)",,,
10660468,False,Water Street,tertiary,False,47.775999999999996,,"LINESTRING (-75.791037 41.322988, -75.7913559 41.3231097, -75.791547 41.3231827)",,,
163903471,True,Cron Street,residential,False,85.46799999999999,,"LINESTRING (-75.791037 41.322988, -75.791032 41.3230481, -75.7909919 41.323111, -75.7906958 41.3235752, -75.7906849 41.3235922, -75.7906245 41.323687)",,,
163903770,False,Wharf Street,residential,False,149.12199999999999,,"LINESTRING (-75.791037 41.322988, -75.791041 41.322953, -75.791178 41.322739, -75.791191 41.32272, -75.79127 41.322571, -75.791455 41.322199, -75.791489 41.3221452, -75.7915536 41.322046, -75.7917457 41.3217607)",,,
369747448,False,North Main Street,primary,True,24.68,35 mph,"LINESTRING (-75.7882127 41.3285909, -75.788334 41.3283885)",2,,
163903587,False,Lambert Street,residential,False,229.031,,"LINESTRING (-75.7882127 41.3285909, -75.7874728 41.3286497, -75.786169 41.328749, -75.786032 41.328759, -75.785484 41.3288)",,,
369747448,False,North Main Street,primary,False,93.084,35 mph,"LINESTRING (-75.7882127 41.3285909, -75.7880307 41.3289194, -75.7877788 41.329362)",2,,
163903671,False,Parsonage Street,tertiary,False,173.14000000000001,,"LINESTRING (-75.7877788 41.329362, -75.787649 41.329378, -75.787381 41.329434, -75.787124 41.329489, -75.786394 41.329651, -75.786185 41.329699, -75.785812 41.329787, -75.785787 41.329792)",,,
369747448,False,North Main Street,primary,True,93.084,35 mph,"LINESTRING (-75.7877788 41.329362, -75.7880307 41.3289194, -75.7882127 41.3285909)",2,,
532634102,True,South Main Street,primary,False,47.417,25 mph,"LINESTRING (-75.7912369 41.3215803, -75.7909824 41.3219615)",2,,
10662178,False,Dock Street,residential,False,46.986999999999995,,"LINESTRING (-75.7912369 41.3215803, -75.7914299 41.3216487, -75.7917457 41.3217607)",,,
804093702,False,,unclassified,False,40.849000000000004,,"LINESTRING (-75.7912369 41.3215803, -75.7911277 41.321553, -75.7909354 41.3214892, -75.7907902 41.3214322)",,,
10662178,False,Dock Street,residential,False,67.109,,"LINESTRING (-75.7917457 41.3217607, -75.7921051 41.321899, -75.7922521 41.3219559, -75.7924605 41.3220365)",,,
10662178,False,Dock Street,residential,True,46.986999999999995,,"LINESTRING (-75.7917457 41.3217607, -75.7914299 41.3216487, -75.7912369 41.3215803)",,,
