osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,ref,bridge,tunnel,junction
45739635,True,Place de la République,residential,30,yes,False,131.86599999999999,"LINESTRING (2.3750307 51.0328762, 2.3751031 51.0327948, 2.375186 51.0327015, 2.3752048 51.0326787, 2.3752126 51.0326607, 2.3752187 51.0326417, 2.3752203 51.0326215, 2.3752177 51.0326035, 2.3752041 51.0325512, 2.3751998 51.0325314, 2.3751984 51.0325117, 2.3751996 51.0324932, 2.3752027 51.0324742, 2.3752089 51.0324547, 2.3752233 51.0324229, 2.3752625 51.0323438, 2.3752881 51.0322921, 2.3754645 51.0319267, 2.3754929 51.031861, 2.3755046 51.031834, 2.3755181 51.0318054, 2.3755285 51.0317828, 2.3755477 51.031753)",,,,,
553849404,False,Boulevard Alexandre III,residential,30,yes,False,97.93300000000002,"LINESTRING (2.3750307 51.0328762, 2.3749738 51.03285, 2.3749324 51.0328306, 2.3748957 51.0328158, 2.374849 51.0327977, 2.3747436 51.0327583, 2.3745789 51.0327023, 2.3742712 51.0325903, 2.3740758 51.0325185, 2.3739529 51.0324736, 2.3738252 51.032429)",2,,,,
553849404,False,Boulevard Alexandre III,residential,30,yes,True,33.230000000000004,"LINESTRING (2.3750307 51.0328762, 2.3750669 51.0328934, 2.3750976 51.0329084, 2.3751404 51.0329305, 2.3752105 51.0329685, 2.3753131 51.0330262, 2.3753903 51.0330713)",2,,,,
116993387,True,Rue Dampierre,residential,30,yes,False,105.33500000000001,"LINESTRING (2.3730111 51.0321954, 2.3730445 51.0321295, 2.3731195 51.0319819, 2.3731451 51.0319242, 2.3731574 51.0318977, 2.373392 51.0313283, 2.3734118 51.0312825)",5,,,,
1095468737,True,Boulevard Alexandre III,residential,30,yes,False,62.924,"LINESTRING (2.3730111 51.0321954, 2.3731853 51.0322346, 2.3733231 51.0322659, 2.3733761 51.0322769, 2.3734197 51.0322886, 2.373468 51.0323021, 2.3735341 51.0323206, 2.3736033 51.0323398, 2.3736742 51.0323629, 2.3737228 51.032381, 2.3737581 51.0323949, 2.3738252 51.032429)",1,,,,
175412350,False,Rue Clemenceau,residential,30,yes,True,17.094,"LINESTRING (2.376523 51.0354746, 2.3765432 51.0353214)",,,,,
233709538,True,Rue de l'Amiral Ronarc'h,residential,30,yes,False,90.407,"LINESTRING (2.376523 51.0354746, 2.3763578 51.0354761, 2.3752304 51.0354929)",,,,,
"[352977510, 352977511]",False,Rue Clemenceau,"['residential', 'living_street']","['20', '30']",yes,False,64.51400000000001,"LINESTRING (2.376523 51.0354746, 2.3765192 51.0355289, 2.3765157 51.0355875, 2.376515 51.0356385, 2.3765144 51.0356795, 2.3765142 51.0357165, 2.3765158 51.0357656, 2.3765184 51.035812, 2.3765195 51.0358586, 2.3765221 51.0359029, 2.3765249 51.0359351, 2.3765288 51.0359613, 2.376533 51.0359837, 2.3765388 51.0360124, 2.3765497 51.0360535)",,,,,
352977511,False,Rue Clemenceau,residential,30,yes,False,4.985,"LINESTRING (2.3765497 51.0360535, 2.3765584 51.036098)",,,,,
"[352977510, 352977511]",False,Rue Clemenceau,"['residential', 'living_street']","['20', '30']",yes,True,64.514,"LINESTRING (2.3765497 51.0360535, 2.3765388 51.0360124, 2.376533 51.0359837, 2.3765288 51.0359613, 2.3765249 51.0359351, 2.3765221 51.0359029, 2.3765195 51.0358586, 2.3765184 51.035812, 2.3765158 51.0357656, 2.3765142 51.0357165, 2.3765144 51.0356795, 2.376515 51.0356385, 2.3765157 51.0355875, 2.3765192 51.0355289, 2.376523 51.0354746)",,,,,
