osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,bridge,ref,width,tunnel
24706934,True,1,motorway_link,False,126.229,"LINESTRING (-118.2376287 34.055566, -118.2377497 34.0555823, -118.237778 34.0555793, -118.2378587 34.055571, -118.2379292 34.055529, -118.237966 34.0554759, -118.2379979 34.0553763, -118.2380357 34.0552884, -118.238107 34.0552077, -118.2381777 34.0551672, -118.238263 34.0551275, -118.2383382 34.0551118, -118.2384093 34.0551074, -118.238472 34.0551103, -118.238546 34.0551226, -118.2385978 34.0551379, -118.2386831 34.0551694)",,,,,,
405178807,False,6,primary,True,62.974,"LINESTRING (-118.2376287 34.055566, -118.2375373 34.0560102, -118.2375304 34.0560411, -118.2375106 34.0561238)",North Alameda Street,,,,,
"[405178816, 405178818, 405178815]",False,"['7', '6']",primary,False,81.333,"LINESTRING (-118.2376287 34.055566, -118.2376833 34.0553046, -118.2377299 34.0550733, -118.2377581 34.0549236, -118.2377758 34.0548448)",North Alameda Street,,,,,
"[206346809, 405168267, 399313004]",False,5,secondary,False,174.92700000000002,"LINESTRING (-118.2466077 34.0543334, -118.2466956 34.0542382, -118.2471187 34.053784, -118.2472354 34.0536615, -118.2474636 34.0534185, -118.2476719 34.0532106, -118.2477844 34.053099)",South Hill Street,,,,,
"[399313000, 399313001, 382210638, 382212884, 382212887, 405180828]",False,5,secondary,True,309.04,"LINESTRING (-118.2466077 34.0543334, -118.2465027 34.0544419, -118.2462193 34.0547369, -118.2459422 34.0550202, -118.2459226 34.055042, -118.2458261 34.0551495, -118.2456868 34.0552992, -118.2455796 34.0554128, -118.245524 34.0554717, -118.2454701 34.0555299, -118.2453586 34.0556503, -118.245215 34.0558027, -118.2450563 34.0559724, -118.244944 34.0560924, -118.2446285 34.0563973, -118.2445934 34.0564282, -118.244506 34.0564977)",North Hill Street,25 mph,,,,
"[399313016, 382210034]",False,5,primary,False,125.19300000000001,"LINESTRING (-118.2466077 34.0543334, -118.2465101 34.05427, -118.2461809 34.0540541, -118.2456394 34.0537036, -118.2455373 34.0536398)",West 1st Street,25 mph,,,,
"[399313017, 381458682]",False,5,primary,True,125.312,"LINESTRING (-118.2466077 34.0543334, -118.2467263 34.0544072, -118.2468429 34.0544788, -118.2469834 34.0545656, -118.2469994 34.0545755, -118.247158 34.0546743, -118.2475186 34.0548989, -118.2475657 34.0549285, -118.2476962 34.0550092)",West 1st Street,25 mph,,,,
"[399313016, 382210034]",False,5,primary,True,125.193,"LINESTRING (-118.2455373 34.0536398, -118.2456394 34.0537036, -118.2461809 34.0540541, -118.2465101 34.05427, -118.2466077 34.0543334)",West 1st Street,25 mph,,,,
"[382237280, 405180170]",False,5,secondary,True,173.643,"LINESTRING (-118.2455373 34.0536398, -118.2456306 34.0535343, -118.2457779 34.053372, -118.246621 34.0524723, -118.2466877 34.0524029)",South Broadway,,,,,
"[405180169, 382248461, 398815190]",False,5,secondary,False,292.71200000000005,"LINESTRING (-118.2455373 34.0536398, -118.2454391 34.0537483, -118.2451828 34.0540081, -118.2448688 34.0543461, -118.2445628 34.0546879, -118.2444963 34.0547572, -118.2444644 34.0547892, -118.2442139 34.055055, -118.2441592 34.0551137, -118.2440651 34.0552167, -118.243677 34.0556395, -118.243595 34.0557227)",North Broadway,,,,,
"[1131104906, 382215621]",False,"['5', '6']",primary,False,124.074,"LINESTRING (-118.2455373 34.0536398, -118.2454416 34.0535719, -118.2450807 34.0533436, -118.2445801 34.0530264, -118.244473 34.0529563)",West 1st Street,25 mph,,,,
"[405180176, 382212891, 405180173]",False,5,secondary,False,120.29799999999999,"LINESTRING (-118.243595 34.0557227, -118.243678 34.0557907, -118.2439425 34.056016, -118.2440815 34.0561347, -118.2443829 34.0563882, -118.244417 34.0564186, -118.244506 34.0564977)",West Temple Street,35 mph,,,,
"[382251676, 405180174]",False,"['5', '6']",secondary,True,127.75900000000001,"LINESTRING (-118.243595 34.0557227, -118.243505 34.0556382, -118.2429409 34.0551506, -118.242757 34.0549917, -118.24264 34.0548897)",West Temple Street,25 mph,,,,
