osmid,oneway,lanes,highway,junction,reversed,length,geometry,maxspeed,ref,name
"[6087219, 1004011268, 977870491]",True,"['1', '2']",motorway_link,spui,False,121.83499999999998,"LINESTRING (-76.904998 38.804113, -76.905112 38.804276, -76.9051315 38.8043068, -76.9051901 38.8043994, -76.905255 38.804502, -76.905367 38.804699, -76.905406 38.80477, -76.905438 38.804814, -76.905491 38.804865, -76.905552 38.80491, -76.905609 38.804941, -76.9057719 38.8049668)",,,
513497323,True,,motorway_link,spui,False,175.947,"LINESTRING (-76.904998 38.804113, -76.90524 38.804575, -76.905311 38.80474, -76.905386 38.804974, -76.905397 38.805047, -76.905393 38.805108, -76.905386 38.805161, -76.905364 38.805214, -76.905336 38.805262, -76.905286 38.805326, -76.90506 38.805565)",,,
485840347,True,2,motorway_link,spui,False,16.158,"LINESTRING (-76.905957 38.804994, -76.9057797 38.805039)",35 mph,,
469112098,True,4,secondary,,False,17.414,"LINESTRING (-76.905957 38.804994, -76.906033 38.804922, -76.9060864 38.8048742)",35 mph,MD 337,Allentown Road
6098985,True,,motorway_link,spui,False,69.465,"LINESTRING (-76.906629 38.805125, -76.906573 38.805044, -76.906524 38.804991, -76.906489 38.804955, -76.906452 38.804912, -76.906425 38.804878, -76.906408 38.804849, -76.906396 38.804813, -76.90639 38.804778, -76.906386 38.804741, -76.906392 38.804687, -76.90641 38.804553)",,,
485840347,True,2,motorway_link,spui,False,62.571,"LINESTRING (-76.906629 38.805125, -76.90657 38.805082, -76.906521 38.805052, -76.906455 38.805024, -76.906385 38.805004, -76.906275 38.804991, -76.9061272 38.8049924, -76.905957 38.804994)",35 mph,,
"[961620855, 6101375]",True,"['1', '2']",motorway_link,,False,213.81699999999998,"LINESTRING (-76.907786 38.806903, -76.907613 38.806491, -76.907562 38.806376, -76.90754 38.806281, -76.907534 38.806122, -76.90755 38.806013, -76.907575 38.805935, -76.907604 38.805863, -76.9076367 38.8058063, -76.907649 38.805785, -76.907707 38.805715, -76.907771 38.805656, -76.907838 38.805596, -76.907975 38.805508, -76.9083809 38.8052928)",,,
"[695877080, 935330585]",True,"['3', '2']",motorway_link,spui,False,221.86399999999998,"LINESTRING (-76.907786 38.806903, -76.907563 38.806561, -76.907361 38.806233, -76.9071712 38.8059281, -76.907084 38.805788, -76.906952 38.805558, -76.906853 38.805414, -76.906755 38.805275, -76.90668 38.805182, -76.906629 38.805125)",35 mph,,
695997820,False,,secondary,,False,68.25,"LINESTRING (-76.910383 38.800589, -76.9106295 38.8004149, -76.910805 38.800291, -76.910962 38.800173)",,,Allentown Road
"[699130617, 756423130, 756423131]",False,,secondary,,True,186.488,"LINESTRING (-76.910383 38.800589, -76.910187 38.800756, -76.909667 38.801209, -76.909552 38.801314, -76.909437 38.801419, -76.9094237 38.8014314, -76.9093726 38.8014788, -76.909137 38.801697, -76.908966 38.801851)",,,Allentown Road
6121858,False,,residential,,False,170.57,"LINESTRING (-76.9102048 38.8049004, -76.910117 38.804852, -76.910024 38.804769, -76.909792 38.804517, -76.909593 38.804306, -76.909298 38.80398, -76.909153 38.803835, -76.909019 38.803682)",,,Camp Springs Avenue
804532416,False,,residential,,False,30.841,"LINESTRING (-76.9102048 38.8049004, -76.9102987 38.8047813, -76.9104194 38.8046809)",,,Trueman Drive
804532416,False,,residential,,True,80.137,"LINESTRING (-76.9102048 38.8049004, -76.9102288 38.8049898, -76.9100115 38.8054204, -76.9099244 38.8055726)",,,Trueman Drive
"[469084209, 92191770, 1072938027, 1051451932]",True,"['4', '2']",secondary,,False,342.40400000000005,"LINESTRING (-76.90506 38.805565, -76.90494 38.805656, -76.904825 38.805738, -76.9047 38.805822, -76.9046759 38.805838, -76.904549 38.805922, -76.904326 38.806057, -76.904149 38.806167, -76.9041057 38.8061923, -76.9040704 38.806213, -76.9040298 38.8062368, -76.903961 38.806277, -76.9039231 38.806299, -76.90382 38.806359, -76.903696 38.806426, -76.90353 38.806503, -76.903278 38.806599, -76.9031392 38.8066468, -76.90297 38.806692, -76.9028636 38.8067213, -76.9027502 38.8067487, -76.9026154 38.8067738, -76.902441 38.8068042, -76.9021695 38.8068414, -76.9016118 38.8069142)","['35 mph', '40 mph']",MD 337,Allentown Road
6096753,True,1,motorway_link,,False,65.57000000000001,"LINESTRING (-76.906489 38.804278, -76.9063509 38.8043342, -76.9062396 38.8043531, -76.9060907 38.8043531, -76.9059861 38.8043301, -76.90588 38.804276, -76.905797 38.804229)",55 mph,,
92191588,True,3,secondary,,False,53.00699999999999,"LINESTRING (-76.906489 38.804278, -76.906296 38.804465, -76.9062343 38.8045267, -76.90619 38.804571, -76.906105 38.804649)",,,Allentown Road
1249437990,True,3,secondary,,False,32.981,"LINESTRING (-76.906105 38.804649, -76.9058642 38.8048787)",,,Allentown Road
6096756,True,2,motorway_link,,False,54.105999999999995,"LINESTRING (-76.906105 38.804649, -76.906039 38.804517, -76.905946 38.804405, -76.905883 38.804341, -76.90584 38.804294, -76.905797 38.804229)",,,
695997820,False,,secondary,,True,68.25,"LINESTRING (-76.910962 38.800173, -76.910805 38.800291, -76.9106295 38.8004149, -76.910383 38.800589)",,,Allentown Road
50918242,True,3,secondary,,False,100.561,"LINESTRING (-76.90641 38.804553, -76.906773 38.804183, -76.9070039 38.8039469, -76.9070586 38.8038117)",,,Allentown Road
695877078,False,,secondary,,False,200.63299999999998,"LINESTRING (-76.9083809 38.8052928, -76.9083177 38.8052245, -76.9078519 38.8047045, -76.9078103 38.8046582, -76.9077398 38.8045799, -76.9074465 38.804253, -76.9070586 38.8038117)",,,Old Branch Avenue
695877079,False,,tertiary,,True,276.155,"LINESTRING (-76.9083809 38.8052928, -76.9087999 38.8057482, -76.9092302 38.8062082, -76.9092937 38.8062734, -76.9093874 38.8063634, -76.9094731 38.8064397, -76.909522 38.80648, -76.9095942 38.8065393, -76.9096986 38.8066257, -76.909952 38.8068139, -76.9104477 38.8071711)",,,Old Branch Avenue
"[695997808, 6109159]",False,,tertiary,,True,429.163,"LINESTRING (-76.908966 38.801851, -76.9084686 38.8015256, -76.9083375 38.8014437, -76.9081941 38.8013458, -76.90813 38.801304, -76.9080647 38.8012616, -76.9080362 38.8012431, -76.907665 38.801002, -76.907575 38.800952, -76.9075511 38.8009399, -76.907496 38.800912, -76.907394 38.800864, -76.907303 38.800827, -76.9072815 38.8008199, -76.907154 38.800778, -76.9070654 38.800757, -76.907036 38.80075, -76.9069713 38.8007402, -76.906904 38.80073, -76.906812 38.8007225, -76.906781 38.80072, -76.906607 38.800718, -76.906457 38.800724, -76.906293 38.800748, -76.9062443 38.8007603, -76.906135 38.800788, -76.9060555 38.8008134, -76.9059707 38.8008405, -76.9055861 38.8009634, -76.905409 38.80102, -76.9053648 38.8010374, -76.905287 38.801068, -76.9051397 38.80114, -76.905105 38.801157, -76.9050912 38.801165, -76.90471 38.801386)",,,Allentown Way
