osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed,bridge
9242331,2,Wedgemere Court,residential,11.0,False,True,64.078,"LINESTRING (-71.24895 42.14949, -71.2492678 42.1489641)",,,
9242331,2,Wedgemere Court,residential,11.0,False,False,52.027,"LINESTRING (-71.24895 42.14949, -71.248959 42.14957, -71.24896 42.149593, -71.248959 42.149612, -71.24895 42.14963, -71.248939 42.149651, -71.248909 42.14967, -71.24886 42.14967, -71.248841 42.14965, -71.24882 42.149641, -71.24882 42.149582, -71.248829 42.14956, -71.248854 42.149544, -71.248878 42.14953, -71.24895 42.14949)",,,
9242331,2,Wedgemere Court,residential,11.0,False,True,52.026999999999994,"LINESTRING (-71.24895 42.14949, -71.248878 42.14953, -71.248854 42.149544, -71.248829 42.14956, -71.24882 42.149582, -71.24882 42.149641, -71.248841 42.14965, -71.24886 42.14967, -71.248909 42.14967, -71.248939 42.149651, -71.24895 42.14963, -71.248959 42.149612, -71.24896 42.149593, -71.248959 42.14957, -71.24895 42.14949)",,,
132222887,2,Common Street,secondary,16.8,False,False,174.475,"LINESTRING (-71.2512228 42.1417814, -71.2512943 42.1418384, -71.2515394 42.1420336, -71.2515903 42.1420741, -71.2516681 42.1421361, -71.252057 42.142446, -71.252294 42.142657, -71.2525407 42.1429094, -71.2526 42.14297)",,,
340207846,2,East Street,secondary,12.2,False,True,225.45299999999997,"LINESTRING (-71.252111 42.14703, -71.2526439 42.1470179, -71.252747 42.1470155, -71.2536253 42.1469954, -71.2537397 42.1469929, -71.2543374 42.1469793, -71.2544358 42.1469725, -71.2545116 42.1469614, -71.2545852 42.1469422, -71.2546577 42.1469145, -71.2547973 42.1468406)",MA 27,35 mph,
461964164,2,East Street,secondary,12.2,False,False,80.11800000000001,"LINESTRING (-71.252111 42.14703, -71.2516358 42.1470425, -71.2513102 42.1470511, -71.2511398 42.1470556)",MA 27,35 mph,
"[644574177, 644574178]",2,Main Street,secondary,18.3,False,False,99.27600000000001,"LINESTRING (-71.252111 42.14703, -71.2516149 42.1477286, -71.25155 42.14782)",MA 1A,,
"[1102859104, 591278061]","['3', '2']",Main Street,secondary,24.4,False,True,174.49900000000002,"LINESTRING (-71.252111 42.14703, -71.2521749 42.1469494, -71.2526379 42.1463695, -71.2527167 42.1462709, -71.2529489 42.14598, -71.2531151 42.1457717, -71.2531456 42.1457329, -71.2531879 42.145679)",MA 1A,35 mph,
9242377,2,Maple Street,residential,11.3,False,True,214.68099999999998,"LINESTRING (-71.248469 42.1480379, -71.250221 42.148589, -71.250243 42.148596, -71.2503477 42.1486276, -71.2505053 42.1486751, -71.250654 42.14872, -71.250726 42.148741, -71.25086 42.1488)",,,
9242618,2,School Street,tertiary,12.2,False,False,71.057,"LINESTRING (-71.248469 42.1480379, -71.2481945 42.1485886, -71.2481702 42.1486373)",,,
9242618,2,School Street,tertiary,12.2,False,True,107.827,"LINESTRING (-71.248469 42.1480379, -71.2487718 42.147417, -71.2488214 42.1472859, -71.248821 42.147256, -71.2488185 42.1472083, -71.2488168 42.1471763, -71.2488135 42.1471127)",,,
