osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,tunnel,bridge
1106771063,True,Grant Street,residential,False,93.883,"LINESTRING (-99.5046254 27.502816, -99.5036738 27.5027956)",,,,,
32029072,True,San Bernardo Avenue,residential,False,78.58,"LINESTRING (-99.5046254 27.502816, -99.5046234 27.5029336, -99.5046132 27.5035226)",,,,,
1106771063,True,Grant Street,residential,False,102.771,"LINESTRING (-99.5056674 27.5028164, -99.5046254 27.502816)",,,,,
32029062,True,San Agustin Avenue,residential,False,80.421,"LINESTRING (-99.5056674 27.5028164, -99.505668 27.5028966, -99.5056611 27.5034474, -99.5056599 27.5035396)",,,,,
1212607776,True,Grant Street,residential,False,95.05,"LINESTRING (-99.5075677 27.5028617, -99.5085314 27.5028564)",,,,,
833093794,True,Convent Avenue,primary,False,78.788,"LINESTRING (-99.5075677 27.5028617, -99.5075644 27.5030915, -99.5075575 27.5035702)",I 35 Bus,,,,
1212607777,True,Salinas Avenue,tertiary,False,76.981,"LINESTRING (-99.5085314 27.5028564, -99.5085351 27.5021641)",I 35 Bus,,,,
1212607778,True,Grant Street,primary,False,93.943,"LINESTRING (-99.5085314 27.5028564, -99.5094837 27.5028732)",,,,,
510028396,True,Juarez Avenue,residential,False,80.781,"LINESTRING (-99.5094837 27.5028732, -99.5094656 27.5035995)",,,,,
1212607778,True,Grant Street,primary,False,95.298,"LINESTRING (-99.5094837 27.5028732, -99.5104498 27.5028871)",,,,,
30639498,True,Grant Street,residential,False,95.847,"LINESTRING (-99.5104498 27.5028871, -99.5114212 27.5029118)",,,,,
852721358,False,Santa Maria Avenue,primary,True,80.507,"LINESTRING (-99.5104498 27.5028871, -99.5104451 27.5036111)",,2,,,
852721358,False,Santa Maria Avenue,primary,False,79.652,"LINESTRING (-99.5104498 27.5028871, -99.5104597 27.5025034, -99.5104978 27.5021726)",,2,,,
21332329,True,Davis Avenue,residential,False,79.032,"LINESTRING (-99.5114212 27.5029118, -99.5114118 27.5036225)",,,,,
30639498,True,Grant Street,residential,False,93.981,"LINESTRING (-99.5114212 27.5029118, -99.512374 27.5029224)",,,,,
31771639,True,Main Avenue,residential,False,81.378,"LINESTRING (-99.512374 27.5029224, -99.5123836 27.5021906)",,,,,
30639501,True,Iturbide Street,residential,False,103.251,"LINESTRING (-99.5046132 27.5035226, -99.5056599 27.5035396)",,,,,
32029072,True,San Bernardo Avenue,residential,False,78.496,"LINESTRING (-99.5046132 27.5035226, -99.5046147 27.5041802, -99.504634 27.5042254)",,,,,
30639501,True,Iturbide Street,residential,False,88.76,"LINESTRING (-99.5056599 27.5035396, -99.5065597 27.5035541)",,,,,
32029062,True,San Agustin Avenue,residential,False,78.01799999999999,"LINESTRING (-99.5056599 27.5035396, -99.5056593 27.5035958, -99.5056534 27.5041724, -99.5056527 27.5042412)",,,,,
30639501,True,Iturbide Street,residential,False,93.801,"LINESTRING (-99.5075575 27.5035702, -99.5085084 27.5035856)",,,,,
833093794,True,Convent Avenue,primary,False,77.867,"LINESTRING (-99.5075575 27.5035702, -99.5075458 27.5042704)",I 35 Bus,,,,
30639501,True,Iturbide Street,residential,False,94.419,"LINESTRING (-99.5085084 27.5035856, -99.5094656 27.5035995)",,,,,
852721355,True,Salinas Avenue,primary,False,81.115,"LINESTRING (-99.5085084 27.5035856, -99.5085314 27.5028564)",I 35 Bus,,,,
30639501,True,Iturbide Street,residential,False,96.615,"LINESTRING (-99.5094656 27.5035995, -99.5104451 27.5036111)",,,,,
510028396,True,Juarez Avenue,residential,False,77.906,"LINESTRING (-99.5094656 27.5035995, -99.5094596 27.5043001)",,,,,
30639501,True,Iturbide Street,residential,False,95.352,"LINESTRING (-99.5104451 27.5036111, -99.5114118 27.5036225)",,,,,
852721358,False,Santa Maria Avenue,primary,False,80.507,"LINESTRING (-99.5104451 27.5036111, -99.5104498 27.5028871)",,2,,,
852721358,False,Santa Maria Avenue,primary,True,78.29,"LINESTRING (-99.5104451 27.5036111, -99.510433 27.5043151)",,2,,,
21332329,True,Davis Avenue,residential,False,78.693,"LINESTRING (-99.5114118 27.5036225, -99.511411 27.5043302)",,,,,
30639501,True,Iturbide Street,residential,False,95.128,"LINESTRING (-99.5114118 27.5036225, -99.5123088 27.503633, -99.5123742 27.5036476)",,,,,
31771639,True,Main Avenue,residential,False,80.639,"LINESTRING (-99.5123742 27.5036476, -99.512374 27.5029224)",,,,,
649518526,False,Hidalgo Street,residential,False,71.791,"LINESTRING (-99.5027808 27.5049207, -99.5035087 27.504923)",,,,,
833091895,True,San Dario Avenue,trunk,False,77.848,"LINESTRING (-99.5027808 27.5049207, -99.502781 27.5056208)",,6,,,
32029077,True,Hidalgo Street,residential,False,110.573,"LINESTRING (-99.5035087 27.504923, -99.5046298 27.5049299)",,,,,
649518526,False,Hidalgo Street,residential,True,71.791,"LINESTRING (-99.5035087 27.504923, -99.5027808 27.5049207)",,,,,
939666269,True,Santa Ursula Avenue,tertiary,False,78.731,"LINESTRING (-99.5035087 27.504923, -99.5036086 27.5046871, -99.5036467 27.5042323)",,,,,
30735518,False,San Bernardo Avenue,residential,True,79.785,"LINESTRING (-99.5046298 27.5049299, -99.5046364 27.5056474)",,,,,
32029077,True,Hidalgo Street,residential,False,99.627,"LINESTRING (-99.5046298 27.5049299, -99.5056398 27.504945)",,,,,
32029062,True,San Agustin Avenue,residential,False,79.282,"LINESTRING (-99.5056398 27.504945, -99.5056265 27.5056579)",,,,,
32029077,True,Hidalgo Street,residential,False,90.2,"LINESTRING (-99.5056398 27.504945, -99.5065543 27.5049545)",,,,,
32029077,True,Hidalgo Street,residential,False,96.611,"LINESTRING (-99.5065543 27.5049545, -99.5075338 27.5049646)",,,,,
739840766,True,Flores Avenue,residential,False,77.759,"LINESTRING (-99.5065543 27.5049545, -99.506557 27.5042552)",,,,,
32029077,True,Hidalgo Street,residential,False,94.264,"LINESTRING (-99.5075338 27.5049646, -99.5084895 27.5049745)",,,,,
833093794,True,Convent Avenue,primary,False,79.332,"LINESTRING (-99.5075338 27.5049646, -99.5075242 27.505678)",I 35 Bus,,,,
852721354,True,Hidalgo Street,residential,False,94.363,"LINESTRING (-99.5084895 27.5049745, -99.5094462 27.5049844)",,,,,
852721355,True,Salinas Avenue,primary,False,76.658,"LINESTRING (-99.5084895 27.5049745, -99.5084902 27.5042851)",I 35 Bus,,,,
852721352,True,Hidalgo Street,residential,False,97.154,"LINESTRING (-99.5094462 27.5049844, -99.5104312 27.5049946)",,,,,
