osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,tunnel,access,bridge
425003759,True,3,Fairmount Avenue,secondary,35 mph,False,50.126999999999995,"LINESTRING (-76.6006446 39.4059788, -76.6010862 39.406028, -76.6012196 39.406053)",,,,,
424999082,False,2,Virginia Avenue,secondary,,False,10.03,"LINESTRING (-76.6002269 39.3985966, -76.6002214 39.3986867)",,,,,
5281783,False,2,Virginia Avenue,residential,,False,48.754000000000005,"LINESTRING (-76.6002269 39.3985966, -76.6002329 39.3985208, -76.6002578 39.3982075, -76.6002661 39.3981593)",,,,,
"[1059559307, 48983383]",True,"['3', '2']",East Towsontown Boulevard,secondary,,False,93.098,"LINESTRING (-76.6002269 39.3985966, -76.6000597 39.3986132, -76.5998719 39.3986256, -76.59967 39.3986326, -76.599507 39.3986334, -76.5993985 39.3986339, -76.5992394 39.3986298, -76.599146 39.3986249)",,,,,
5281783,False,2,Virginia Avenue,residential,,True,48.754000000000005,"LINESTRING (-76.6002661 39.3981593, -76.6002578 39.3982075, -76.6002329 39.3985208, -76.6002269 39.3985966)",,,,,
5302528,False,,East Susquehanna Avenue,residential,,False,46.182,"LINESTRING (-76.6002661 39.3981593, -76.6000344 39.3981411, -76.5997314 39.3981173)",,,,,
5302528,False,,East Susquehanna Avenue,residential,,True,127.70500000000001,"LINESTRING (-76.6002661 39.3981593, -76.6010412 39.3982073, -76.6015888 39.3982319, -76.6017489 39.3982321)",,,,,
115572470,True,1,,secondary_link,,False,76.635,"LINESTRING (-76.596598 39.400581, -76.596591 39.4003361, -76.5966155 39.4001728, -76.5966658 39.4000085, -76.5966686 39.3999785, -76.5966629 39.3999541, -76.5966571 39.3999352, -76.5966222 39.3999103)",,,,,
199635060,True,2,Fairmount Avenue,secondary,30 mph,False,91.349,"LINESTRING (-76.596598 39.400581, -76.596642 39.400376, -76.596687 39.400214, -76.596736 39.400142, -76.596811 39.400073, -76.596914 39.400017, -76.597136 39.399965)",,,,,
48983381,True,2,East Pennsylvania Avenue,secondary,25 mph,False,144.70600000000002,"LINESTRING (-76.597136 39.399965, -76.5974815 39.3999984, -76.597521 39.4000022, -76.5981801 39.4000659, -76.5988071 39.4001265)",,,,,
192254090,True,2,Towson Roundabout,primary,,False,4.222,"LINESTRING (-76.6027429 39.4017857, -76.6027459 39.4017478)",MD 45,roundabout,,,
141561108,True,2,Towson Roundabout,primary,,False,30.577,"LINESTRING (-76.60228 39.4020834, -76.6025685 39.4019224)",MD 45,roundabout,,,
"[178248046, 424998742]",False,5,East Joppa Road,secondary,35 mph,False,220.87599999999998,"LINESTRING (-76.5998521 39.4020002, -76.599646 39.4020154, -76.5993138 39.40204, -76.5991448 39.4020524, -76.5988749 39.4020724, -76.5985495 39.4020964, -76.5983617 39.4021056, -76.5982756 39.4021098, -76.598151 39.4021145, -76.5980531 39.4021164, -76.5979503 39.4021164, -76.5978267 39.4021137, -76.59771 39.4021084, -76.5975843 39.4020966, -76.5972934 39.4020586)",,,,,
"[178248072, 424998743]",False,"['4', '5']",East Joppa Road,secondary,,True,82.215,"LINESTRING (-76.5998521 39.4020002, -76.5999639 39.4019946, -76.5999765 39.401994, -76.6002942 39.4019781, -76.6008076 39.4019619)",,,,,
"[48983345, 548250930, 548250931, 548250932]",False,"['4', '3']",Virginia Avenue,tertiary,,True,200.65200000000002,"LINESTRING (-76.5998521 39.4020002, -76.599785 39.4019044, -76.5997371 39.4015878, -76.5996931 39.4012632, -76.5996749 39.4011226, -76.5996786 39.4010362, -76.5996894 39.4009762, -76.5997125 39.400877, -76.5997599 39.4007183, -76.5997802 39.4006505, -76.5998851 39.4002998, -76.599903 39.4002323)",,,,,
5297712,False,3,Towson Gate Drive,unclassified,35 mph,False,104.24499999999999,"LINESTRING (-76.5976764 39.4062155, -76.5978587 39.4059637, -76.5982082 39.4054809, -76.5982687 39.4053973)",,,,,
1062579537,False,,Southerly Road,residential,35 mph,False,111.28299999999999,"LINESTRING (-76.5976764 39.4062155, -76.5975576 39.4061716, -76.5975109 39.4061543, -76.5973525 39.4060918, -76.5972069 39.4060344, -76.5970265 39.405961, -76.5968975 39.4058903, -76.5967751 39.4058208, -76.5966483 39.4057362, -76.5965944 39.4056815)",,,,,
547771296,False,2,Towson Gate Drive,unclassified,,False,16.261,"LINESTRING (-76.5982687 39.4053973, -76.5983439 39.4052631)",,,,,
5297712,False,3,Towson Gate Drive,unclassified,35 mph,True,104.245,"LINESTRING (-76.5982687 39.4053973, -76.5982082 39.4054809, -76.5978587 39.4059637, -76.5976764 39.4062155)",,,,,
"[425003760, 425003758, 547771295]",True,"['4', '3']",Fairmount Avenue,secondary,35 mph,False,215.765,"LINESTRING (-76.5982687 39.4053973, -76.5984766 39.4054831, -76.5986952 39.4055686, -76.5988997 39.40564, -76.5991067 39.4057035, -76.5993231 39.405764, -76.5995522 39.4058208, -76.5997831 39.4058691, -76.5999743 39.4059013, -76.6002103 39.4059327, -76.6006446 39.4059788)",,,,,
547771296,False,2,Towson Gate Drive,unclassified,,True,16.261,"LINESTRING (-76.5983439 39.4052631, -76.5982687 39.4053973)",,,,,
5301598,False,2,West Susquehanna Avenue,residential,,False,15.225,"LINESTRING (-76.6081092 39.3984665, -76.6079573 39.398537)",,,,,
"[424999632, 521982419]",True,3,Bosley Avenue,primary,35 mph,False,76.738,"LINESTRING (-76.6081092 39.3984665, -76.6080484 39.398385, -76.6079884 39.3983046, -76.6078664 39.3981411, -76.6076478 39.3978758)",MD 45 Bypass,,,,
326374677,False,2,Virginia Avenue,secondary,,False,97.483,"LINESTRING (-76.6001816 39.399147, -76.5999613 39.400007)",,,,,
5301328,False,3,Virginia Avenue,secondary,,True,51.37,"LINESTRING (-76.6001816 39.399147, -76.600207 39.399003, -76.600217 39.398912, -76.6002214 39.3986867)",,,,,
72781937,False,,Hillen Road,residential,,False,59.275000000000006,"LINESTRING (-76.6001816 39.399147, -76.6000973 39.3991388, -76.6000241 39.3991154, -76.5999503 39.3990675, -76.5997744 39.3989105, -76.5996832 39.3988084)",,,,,
48983382,True,2,East Pennsylvania Avenue,tertiary,,False,108.63900000000001,"LINESTRING (-76.599903 39.4002323, -76.6005232 39.400291, -76.601158 39.400351)",,,,,
326374677,False,2,Virginia Avenue,secondary,,True,25.549,"LINESTRING (-76.599903 39.4002323, -76.5999227 39.4001613, -76.5999613 39.400007)",,,,,
"[48983345, 548250930, 548250931, 548250932]",False,"['4', '3']",Virginia Avenue,tertiary,,False,200.652,"LINESTRING (-76.599903 39.4002323, -76.5998851 39.4002998, -76.5997802 39.4006505, -76.5997599 39.4007183, -76.5997125 39.400877, -76.5996894 39.4009762, -76.5996786 39.4010362, -76.5996749 39.4011226, -76.5996931 39.4012632, -76.5997371 39.4015878, -76.599785 39.4019044, -76.5998521 39.4020002)",,,,,
5301598,False,2,West Susquehanna Avenue,residential,,True,15.225,"LINESTRING (-76.6079573 39.398537, -76.6081092 39.3984665)",,,,,
521982418,False,2,West Susquehanna Avenue,residential,,False,46.923,"LINESTRING (-76.6079573 39.398537, -76.607684 39.3986638, -76.6076748 39.3986681, -76.6075393 39.3987309, -76.6074891 39.3987542)",,,,,
"[326147537, 326368203]",False,2,Baltimore Avenue,residential,,False,122.32000000000001,"LINESTRING (-76.6074891 39.3987542, -76.607447 39.3988624, -76.6074427 39.3988875, -76.6073774 39.3992683, -76.6073735 39.3992931, -76.6073472 39.3994621, -76.6072991 39.3997715, -76.6072882 39.3998418)",,,,,
326368211,False,2,West Susquehanna Avenue,residential,25 mph,True,83.241,"LINESTRING (-76.6074891 39.3987542, -76.6074271 39.3987681, -76.6073684 39.3987675, -76.6072607 39.3987663, -76.6065291 39.3986926)",,,,,
521982418,False,2,West Susquehanna Avenue,residential,,True,46.923,"LINESTRING (-76.6074891 39.3987542, -76.6075393 39.3987309, -76.6076748 39.3986681, -76.607684 39.3986638, -76.6079573 39.398537)",,,,,
118847268,True,2,West Chesapeake Avenue,tertiary,25 mph,False,82.352,"LINESTRING (-76.6072882 39.3998418, -76.6071977 39.3998335, -76.6067642 39.399794, -76.6065649 39.3997758, -76.6063697 39.3997579, -76.6063364 39.3997549)",,,,,
"[326147537, 326368203]",False,2,Baltimore Avenue,residential,,True,122.32000000000001,"LINESTRING (-76.6072882 39.3998418, -76.6072991 39.3997715, -76.6073472 39.3994621, -76.6073735 39.3992931, -76.6073774 39.3992683, -76.6074427 39.3988875, -76.607447 39.3988624, -76.6074891 39.3987542)",,,,,
5301606,True,,Baltimore Avenue,residential,,False,121.257,"LINESTRING (-76.6071226 39.4009538, -76.6071118 39.4010282, -76.607054 39.401488, -76.6069788 39.4020386)",,,,,
"[111762704, 326374673]",True,,Baltimore Avenue,residential,,False,124.428,"LINESTRING (-76.6069788 39.4020386, -76.606881 39.402698, -76.606838 39.402946, -76.6068135 39.4031502)",,,,,
"[326374672, 35457854]",False,2,Allegheny Avenue,unclassified,,True,166.691,"LINESTRING (-76.6069788 39.4020386, -76.6062863 39.401973, -76.6061594 39.4019609, -76.6056831 39.4019158, -76.6051644 39.4018666, -76.6050532 39.4018561)",,,,,
5301663,False,,Courtland Avenue,residential,,False,117.68100000000001,"LINESTRING (-76.6066806 39.3976408, -76.6066414 39.397885, -76.6066299 39.3979815, -76.6066219 39.3980389, -76.606605 39.3981593, -76.6065803 39.398336, -76.6065291 39.3986926)",,,,,
"[75472911, 5301663]",False,,Courtland Avenue,residential,,False,39.451,"LINESTRING (-76.6065291 39.3986926, -76.6064847 39.3989615, -76.6064697 39.3990444)",,,yes,,
5301663,False,,Courtland Avenue,residential,,True,117.681,"LINESTRING (-76.6065291 39.3986926, -76.6065803 39.398336, -76.606605 39.3981593, -76.6066219 39.3980389, -76.6066299 39.3979815, -76.6066414 39.397885, -76.6066806 39.3976408)",,,,,
326368211,False,2,West Susquehanna Avenue,residential,25 mph,False,83.241,"LINESTRING (-76.6065291 39.3986926, -76.6072607 39.3987663, -76.6073684 39.3987675, -76.6074271 39.3987681, -76.6074891 39.3987542)",,,,,
326374685,False,2,West Susquehanna Avenue,residential,25 mph,True,84.63499999999999,"LINESTRING (-76.6065291 39.3986926, -76.6063094 39.398671, -76.6058705 39.3986278, -76.6056521 39.3986064, -76.605552 39.3985965)",,,,,
213205662,True,,Courtland Avenue,residential,,False,68.30499999999999,"LINESTRING (-76.6063364 39.3997549, -76.6063466 39.3996914, -76.6064344 39.3991453)",,,,,
326368207,True,2,West Chesapeake Avenue,tertiary,25 mph,False,81.91300000000001,"LINESTRING (-76.6063364 39.3997549, -76.605837 39.3997052, -76.6054976 39.3996715, -76.6053909 39.3996608)",,,,,
35457855,False,2,Washington Avenue,unclassified,,True,62.058,"LINESTRING (-76.6044068 39.4029632, -76.6047821 39.4026168, -76.6048574 39.4025278)",,,,,
"[72781907, 326374678]",False,,Ware Avenue,residential,,True,136.555,"LINESTRING (-76.6044068 39.4029632, -76.6052481 39.403223, -76.6055215 39.4027391)",,,,,
"[982287629, 982287631]",False,2,Washington Avenue,unclassified,,False,35.419,"LINESTRING (-76.6044068 39.4029632, -76.6043187 39.4030378, -76.6041288 39.4031984)",,,,,
5302526,False,,East Susquehanna Avenue,residential,,False,106.809,"LINESTRING (-76.5992526 39.3977361, -76.5992018 39.3977322, -76.5980156 39.3976417)",,,,,
"[111759840, 923571580]",False,,Maryland Avenue,residential,,False,47.693,"LINESTRING (-76.5992526 39.3977361, -76.5992494 39.397769, -76.5992373 39.3979247, -76.5992183 39.3980866, -76.5992098 39.3981637)",,,,,
5302526,False,,East Susquehanna Avenue,residential,,False,91.404,"LINESTRING (-76.5980156 39.3976417, -76.596957 39.397561)",,,,,
5322703,False,,Centre Avenue,residential,,False,39.786,"LINESTRING (-76.5980156 39.3976417, -76.5979718 39.3979979)",,,,,
5302526,False,,East Susquehanna Avenue,residential,,True,106.809,"LINESTRING (-76.5980156 39.3976417, -76.5992018 39.3977322, -76.5992526 39.3977361)",,,,,
5302526,False,,East Susquehanna Avenue,residential,,True,91.404,"LINESTRING (-76.596957 39.397561, -76.5980156 39.3976417)",,,,,
5313890,False,,Aigburth Avenue,residential,,True,90.45499999999998,"LINESTRING (-76.596957 39.397561, -76.59691 39.397999, -76.5969066 39.398063, -76.596904 39.398161, -76.596908 39.398245, -76.596936 39.398371)",,,,,
5308119,False,4,York Road,secondary,,False,110.592,"LINESTRING (-76.6054268 39.4053018, -76.6054575 39.4053406, -76.6056107 39.4055348, -76.6056564 39.4055928, -76.60578 39.4057494, -76.6060795 39.4061273, -76.6060979 39.4061505)",MD 45,,,,
"[425002515, 5308119]",False,4,York Road,secondary,,True,212.19299999999998,"LINESTRING (-76.6054268 39.4053018, -76.6053647 39.405223, -76.6049229 39.4046629, -76.6047924 39.4044976, -76.6046511 39.4043183, -76.604554 39.4041953, -76.6044689 39.404088, -76.6041398 39.4036731)",MD 45,,,,
5311219,False,,Willow Avenue,residential,,False,68.729,"LINESTRING (-76.6000987 39.3974494, -76.5996952 39.3974195, -76.5993751 39.3973958, -76.5993025 39.3973904)",,,,,
5311219,False,,Willow Avenue,residential,,True,141.024,"LINESTRING (-76.6000987 39.3974494, -76.6005843 39.3974854, -76.6007633 39.3974909, -76.600965 39.397492, -76.6014279 39.3974951, -76.6017375 39.3974972)",,,,,
483565358,True,2,Towson Roundabout,primary,,False,16.683,"LINESTRING (-76.6022105 39.4017653, -76.6020646 39.4018643)",MD 45,roundabout,,,
66983337,False,,Delaware Avenue,residential,,True,106.662,"LINESTRING (-76.6012401 39.4010727, -76.6012377 39.4011177, -76.6012263 39.4011537, -76.6008236 39.4018277, -76.6008076 39.4019619)",,,,,
