osmid,oneway,name,highway,access,reversed,length,geometry,lanes,ref,maxspeed
487757129,False,Central Avenue,secondary,yes,False,108.797,"LINESTRING (-95.8537744 40.6765908, -95.8550643 40.676609)",,,
14168852,False,North 7th Street,residential,yes,False,103.485,"LINESTRING (-95.8537744 40.6765908, -95.8537634 40.677047, -95.8537517 40.6775213)",,,
14175247,False,South 7th Street,residential,yes,True,103.285,"LINESTRING (-95.8537744 40.6765908, -95.8537858 40.6761263, -95.8537972 40.6756621)",,,
207121239,False,1st Avenue,tertiary,yes,False,108.787,"LINESTRING (-95.8537517 40.6775213, -95.8550415 40.6775395)",,,
14168852,False,North 7th Street,residential,yes,False,102.984,"LINESTRING (-95.8537517 40.6775213, -95.8537407 40.677971, -95.853729 40.6784473)",,,
14168852,False,North 7th Street,residential,yes,True,103.485,"LINESTRING (-95.8537517 40.6775213, -95.8537634 40.677047, -95.8537744 40.6765908)",,,
14176956,False,2nd Avenue,residential,yes,False,108.777,"LINESTRING (-95.853729 40.6784473, -95.8550187 40.6784655)",,,
14168852,False,North 7th Street,residential,yes,False,103.251,"LINESTRING (-95.853729 40.6784473, -95.8537177 40.678906, -95.8537062 40.6793757)",,,
14168852,False,North 7th Street,residential,yes,True,102.984,"LINESTRING (-95.853729 40.6784473, -95.8537407 40.677971, -95.8537517 40.6775213)",,,
14176228,False,3rd Avenue,residential,yes,False,108.775,"LINESTRING (-95.8537062 40.6793757, -95.8549959 40.679394)",,,
14168852,False,North 7th Street,residential,yes,False,103.607,"LINESTRING (-95.8537062 40.6793757, -95.853695 40.679831, -95.8536833 40.6803073)",,,
14168852,False,North 7th Street,residential,yes,True,103.251,"LINESTRING (-95.8537062 40.6793757, -95.8537177 40.678906, -95.853729 40.6784473)",,,
207121291,False,4th Avenue,residential,yes,True,108.782,"LINESTRING (-95.8536833 40.6803073, -95.8549731 40.6803255)",,,
14168852,False,North 7th Street,residential,yes,True,103.607,"LINESTRING (-95.8536833 40.6803073, -95.853695 40.679831, -95.8537062 40.6793757)",,,
"[487763530, 14171787]",False,South 9 1/2 Street,residential,yes,"[False, True]",23.353,"LINESTRING (-95.8571509 40.6730732, -95.8570826 40.6730034, -95.8570607 40.6729585, -95.857053 40.6728835)",,,
206925381,False,4th Corso,primary,yes,True,41.79,"LINESTRING (-95.8571509 40.6730732, -95.857328 40.6729696, -95.8574371 40.6729456, -95.8575937 40.6729282)",2,NE 2 Business,
487763526,False,4th Corso,primary,yes,False,38.443,"LINESTRING (-95.8571509 40.6730732, -95.857077 40.6731551, -95.8569076 40.6733359, -95.8568862 40.6733545)",2,NE 2 Business,
