osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction,bridge,maxspeed,tunnel
149951318,Rue de Mulhouse,residential,False,False,42.026,"LINESTRING (4.9485464 49.699107, 4.9484389 49.6994785)",,,,,,
149951319,Rue de la Paix,residential,False,False,64.65299999999999,"LINESTRING (4.9485464 49.699107, 4.9483793 49.6991296, 4.9477767 49.699211, 4.9476662 49.6992251)",,,,,,
149951155,Rue de Thionville,residential,False,False,41.554,"LINESTRING (4.9476662 49.6992251, 4.9476694 49.6995988)",,,,,,
149951319,Rue de la Paix,residential,False,True,64.653,"LINESTRING (4.9476662 49.6992251, 4.9477767 49.699211, 4.9483793 49.6991296, 4.9485464 49.699107)",,,,,,
149762060,Rue Cadeau,tertiary,False,False,103.82,"LINESTRING (4.9380299 49.7066592, 4.9376079 49.706372, 4.9373025 49.7061642, 4.9371248 49.7060858, 4.9369822 49.7060228)",,,,,,
"[306817312, 306817313]","['Avenue du Général Margueritte', 'Place Saint-Vincent de Paul']",secondary,False,False,276.05299999999994,"LINESTRING (4.9380299 49.7066592, 4.9384886 49.7063864, 4.9386624 49.7062804, 4.9387353 49.7062359, 4.939031 49.7060556, 4.9396145 49.7057132, 4.9396512 49.7056922, 4.9397596 49.70563, 4.9400486 49.7054645, 4.9403899 49.705265, 4.940421 49.7052501, 4.9406065 49.7051609, 4.9406385 49.7051501, 4.940757 49.7051087, 4.9409336 49.7050459)",D 5,,,,,
99082843,,secondary,True,False,27.104,"LINESTRING (4.9437693 49.7028702, 4.9437062 49.70289, 4.9436372 49.7028983, 4.9435587 49.7028932, 4.9434861 49.7028735, 4.9434256 49.7028407)",,1,roundabout,,,
365460093,Place Turenne,secondary,True,False,29.521,"LINESTRING (4.9437693 49.7028702, 4.9438048 49.7030155, 4.9437714 49.7031319)",D 5,1,,,,
365455508,,residential,False,True,18.993,"LINESTRING (4.9428004 49.7039107, 4.9429618 49.7040459)",,,,,,
149763093,Place d'Harcourt,secondary,True,False,44.689,"LINESTRING (4.9428004 49.7039107, 4.9429344 49.7037645, 4.942982 49.7037115, 4.9430179 49.7036496, 4.9430516 49.7035664, 4.9430534 49.7035479)",D 5,1,,,,
365594177,Rue Blanpain,secondary,False,True,93.831,"LINESTRING (4.9428004 49.7039107, 4.9423895 49.7041153, 4.9423205 49.7041548, 4.9422695 49.7041905, 4.9421411 49.7043174, 4.941932 49.704526)",D 5,2,,,,
99082843,,secondary,True,False,27.471,"LINESTRING (4.9433723 49.7026744, 4.9433992 49.7026371, 4.9434391 49.702605, 4.9434897 49.70258, 4.9435481 49.7025635, 4.9436108 49.7025566, 4.9436743 49.7025595)",,1,roundabout,,,
"[99090577, 99090589, 99090583]","['Place Turenne', 'Rue Thiers']",secondary,False,False,106.245,"LINESTRING (4.9433723 49.7026744, 4.9431474 49.7026293, 4.9430299 49.7026057, 4.9422045 49.7024402, 4.9419612 49.7023915)",,2,,yes,,
99082843,,secondary,True,False,13.192,"LINESTRING (4.943877 49.7027768, 4.9438527 49.7028131, 4.9438162 49.7028448, 4.9437693 49.7028702)",,1,roundabout,,,
99090573,Rue de la Rochefoucauld,tertiary,False,False,58.459,"LINESTRING (4.943877 49.7027768, 4.9440008 49.702802, 4.9445193 49.7029073, 4.9446525 49.7029344)",,2,,,,
"[365460093, 149763087]","['Place Turenne', ""Place d'Harcourt""]",secondary,True,False,64.813,"LINESTRING (4.9437714 49.7031319, 4.9436517 49.7032969, 4.9436283 49.703323, 4.9435086 49.7034565, 4.9434254 49.7035332, 4.9433387 49.7036088, 4.9433053 49.7036271)",D 5,1,,,,
897609968,Rampe des Capucins,residential,True,False,39.854,"LINESTRING (4.9437714 49.7031319, 4.9439169 49.7031651, 4.9440691 49.7032009, 4.9441968 49.7032626, 4.9442561 49.7032959)",,,,,,
99082843,,secondary,True,False,19.703000000000003,"LINESTRING (4.9434256 49.7028407, 4.9433891 49.7028063, 4.9433666 49.7027673, 4.9433593 49.7027258, 4.9433723 49.7026744)",,1,roundabout,,,
99090576,Avenue Aristide Briand,tertiary,False,True,134.292,"LINESTRING (4.9481356 49.7036188, 4.9488271 49.7037549, 4.9499221 49.7039704)",,2,,,,
186949404,Avenue Aristide Briand,tertiary,True,False,24.124000000000002,"LINESTRING (4.9481356 49.7036188, 4.9479601 49.7036225, 4.9478106 49.7036591)",,1,,,,
99090572,Rue du Château,residential,False,False,41.97,"LINESTRING (4.9458216 49.7031683, 4.9462341 49.7029013)",,,,,,
99090573,Rue de la Rochefoucauld,tertiary,False,True,42.574999999999996,"LINESTRING (4.9458216 49.7031683, 4.9457282 49.7031497, 4.945256 49.7030552)",,2,,,,
186949403,Avenue Aristide Briand,tertiary,False,True,109.607,"LINESTRING (4.9458216 49.7031683, 4.947177 49.7034323, 4.947281 49.7034525)",,2,,,,
149949480,Rue Sainte-Barbe,living_street,True,False,63.598,"LINESTRING (4.9475218 49.7018782, 4.9473873 49.7018324, 4.9468562 49.7015063)",,,,,20,
"[99090585, 365589254]","['Place du Château', 'Rue Sainte-Barbe']",residential,False,False,78.771,"LINESTRING (4.9475218 49.7018782, 4.9476169 49.7019674, 4.947629 49.7020056, 4.9476086 49.702091, 4.9475729 49.7021218, 4.9470643 49.7024082)",,,,,30,
897609972,,residential,False,True,21.394,"LINESTRING (4.9470218 49.7026853, 4.9467889 49.7025656)",,,,,,
146818411,Place Crussy,living_street,False,False,23.329,"LINESTRING (4.9465304 49.7000443, 4.9464822 49.7001897, 4.9464437 49.7002455)",,2,,,20,
"[146818411, 365545308]",Place Crussy,living_street,False,True,24.413,"LINESTRING (4.9465304 49.7000443, 4.9465334 49.6999496, 4.9465382 49.6998248)",,2,,,20,
147477784,Rue de la République,residential,True,False,71.54,"LINESTRING (4.9450074 49.6999792, 4.9459686 49.7001448)",,1,,,,
"[1122787987, 365460086]",Avenue du Maréchal Leclerc,secondary,False,False,45.358000000000004,"LINESTRING (4.9450074 49.6999792, 4.945036 49.6999005, 4.9451664 49.6995845)",,2,,,50,
365460086,Avenue du Maréchal Leclerc,secondary,False,True,60.034000000000006,"LINESTRING (4.9450074 49.6999792, 4.9449782 49.7000428, 4.9448559 49.7003285, 4.9447813 49.7004989)",,2,,,50,
149762060,Rue Cadeau,tertiary,False,True,103.82,"LINESTRING (4.9369822 49.7060228, 4.9371248 49.7060858, 4.9373025 49.7061642, 4.9376079 49.706372, 4.9380299 49.7066592)",,,,,,
365582432,Rue du Dijonval,residential,False,False,57.152,"LINESTRING (4.9369822 49.7060228, 4.9370303 49.7059729, 4.9372083 49.7058092, 4.9373122 49.7057128, 4.9373311 49.7056733, 4.9373017 49.7056379, 4.9372499 49.705593)",,,,,,
345892430,Rue Michelet,residential,False,True,35.193,"LINESTRING (4.9451664 49.6995845, 4.9446928 49.6995049)",,,,,,
1122787987,Avenue du Maréchal Leclerc,secondary,False,False,78.925,"LINESTRING (4.9451664 49.6995845, 4.9454645 49.6989014)",,2,,,50,
"[1122787987, 365460086]",Avenue du Maréchal Leclerc,secondary,False,True,45.358000000000004,"LINESTRING (4.9451664 49.6995845, 4.945036 49.6999005, 4.9450074 49.6999792)",,2,,,50,
345892430,Rue Michelet,residential,False,False,35.193,"LINESTRING (4.9446928 49.6995049, 4.9451664 49.6995845)",,,,,,
149947889,Rue de Bischwiller,residential,False,True,52.161,"LINESTRING (4.9446928 49.6995049, 4.9440958 49.6994249, 4.943983 49.6994086)",,,,,,
149947974,Place Calonne,residential,False,True,103.064,"LINESTRING (4.9446928 49.6995049, 4.9446462 49.6996314, 4.9445507 49.6998891, 4.9443631 49.7004069)",,,,,30,
1122787987,Avenue du Maréchal Leclerc,secondary,False,True,78.925,"LINESTRING (4.9454645 49.6989014, 4.9451664 49.6995845)",,2,,,50,
"[149948786, 365545308]","['Place Crussy', 'Rue de Metz']","['residential', 'living_street']",False,False,135.035,"LINESTRING (4.9454645 49.6989014, 4.9455255 49.6989122, 4.9456197 49.6989171, 4.9462704 49.6990212, 4.946367 49.6990403, 4.9464335 49.6990867, 4.9464549 49.6991435, 4.9464689 49.6993599, 4.9465138 49.6996335)",,,,,20,
149947889,Rue de Bischwiller,residential,False,False,52.161,"LINESTRING (4.943983 49.6994086, 4.9440958 49.6994249, 4.9446928 49.6995049)",,,,,,
380272419,Place Calonne,residential,False,True,23.795,"LINESTRING (4.9440326 49.7003969, 4.9443631 49.7004069)",,,,,,
149947890,Place Calonne,residential,True,False,109.952,"LINESTRING (4.9440326 49.7003969, 4.9440095 49.6999665, 4.9439989 49.6997428, 4.943983 49.6994086)",,1,,,50,
"[187089826, 380272418, 187089827]","['Promenoir de la Corne de Soissons', 'Place Calonne']",residential,False,False,47.856,"LINESTRING (4.9440326 49.7003969, 4.9438603 49.700403, 4.9434526 49.7004069, 4.9433752 49.7004298)",,,,yes,,
149948790,Rue Jules Rousseau,living_street,True,False,55.895,"LINESTRING (4.9485862 49.7011311, 4.9485523 49.7011107, 4.948035 49.7009757, 4.9479935 49.7009639, 4.9479727 49.7009516, 4.9479813 49.7009315, 4.9480026 49.7008902)",,,,,20,
1225911989,Promenoir des Prêtres,residential,True,False,130.831,"LINESTRING (4.9485862 49.7011311, 4.9484393 49.701184, 4.9480199 49.701335, 4.9476269 49.7014764, 4.9475614 49.7015, 4.9474828 49.701549, 4.9474304 49.7016123, 4.9474278 49.7016809, 4.9474467 49.7017445, 4.9475218 49.7018782)",,,,,30,
146818411,Place Crussy,living_street,False,True,23.329,"LINESTRING (4.9464437 49.7002455, 4.9464822 49.7001897, 4.9465304 49.7000443)",,2,,,20,
149948789,Place d'Armes,living_street,True,False,109.35799999999999,"LINESTRING (4.9464437 49.7002455, 4.9466106 49.7003193, 4.9475611 49.7007774, 4.947634 49.7008124, 4.9476692 49.7008275)",,,,,20,
149949102,Rue Gambetta,residential,True,False,78.555,"LINESTRING (4.9464437 49.7002455, 4.9462801 49.7004336, 4.9458182 49.7008228)",,1,,,30,
149948787,Rue Michelet,residential,True,False,29.808,"LINESTRING (4.9465382 49.6998248, 4.9461398 49.6997509)",,,,,,
365545308,Place Crussy,living_street,False,True,21.344,"LINESTRING (4.9465382 49.6998248, 4.9465138 49.6996335)",,,,,20,
"[146818411, 365545308]",Place Crussy,living_street,False,False,24.413,"LINESTRING (4.9465382 49.6998248, 4.9465334 49.6999496, 4.9465304 49.7000443)",,2,,,20,
99090572,Rue du Château,residential,False,False,28.887,"LINESTRING (4.9462341 49.7029013, 4.9465274 49.7027238)",,,,,,
99090572,Rue du Château,residential,False,True,41.97,"LINESTRING (4.9462341 49.7029013, 4.9458216 49.7031683)",,,,,,
149949100,Rue du Rivage,living_street,True,False,20.481,"LINESTRING (4.9462341 49.7029013, 4.9459858 49.7028111)",,,,,,
1073304954,,secondary,True,False,9.365,"LINESTRING (4.9442221 49.7020552, 4.9441105 49.7020118)",,1,roundabout,,30,
