osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,lanes
16253556,College Street,residential,False,False,59.678,"LINESTRING (-83.886492 36.867681, -83.886742 36.868006, -83.886808 36.868083, -83.886858 36.86813)",,,,
16253556,College Street,residential,False,True,48.413,"LINESTRING (-83.886492 36.867681, -83.88634 36.867435, -83.886267 36.867285)",,,,
16255313,Steele Street,residential,False,True,201.93899999999996,"LINESTRING (-83.886492 36.867681, -83.8860232 36.8678666, -83.885886 36.867921, -83.8857717 36.8679632, -83.884857 36.868301, -83.884444 36.868464)",,,,
16253556,College Street,residential,False,False,112.656,"LINESTRING (-83.886858 36.86813, -83.887055 36.868295, -83.887265 36.868462, -83.887473 36.868611, -83.887762 36.868839)",,,,
16253556,College Street,residential,False,True,59.678,"LINESTRING (-83.886858 36.86813, -83.886808 36.868083, -83.886742 36.868006, -83.886492 36.867681)",,,,
16253740,High Street,residential,False,True,139.023,"LINESTRING (-83.886858 36.86813, -83.887156 36.86801, -83.888268 36.867591)",,,,
109677417,High Street,residential,False,False,106.761,"LINESTRING (-83.886858 36.86813, -83.886614 36.868232, -83.885776 36.868545)",,,,
16254339,Johnson Lane,residential,False,False,189.59,"LINESTRING (-83.887762 36.868839, -83.886226 36.870021)",,,,
16253556,College Street,residential,False,False,187.172,"LINESTRING (-83.887762 36.868839, -83.888122 36.869109, -83.888504 36.869428, -83.888641 36.869533, -83.889252 36.870027)",,,,
16253556,College Street,residential,False,True,112.656,"LINESTRING (-83.887762 36.868839, -83.887473 36.868611, -83.887265 36.868462, -83.887055 36.868295, -83.886858 36.86813)",,,,
16253556,College Street,residential,False,True,187.17199999999997,"LINESTRING (-83.889252 36.870027, -83.888641 36.869533, -83.888504 36.869428, -83.888122 36.869109, -83.887762 36.868839)",,,,
16254763,Corgi Lane,residential,False,True,119.92099999999999,"LINESTRING (-83.889252 36.870027, -83.890015 36.869745, -83.890481 36.869584)",,,,
"[16253712, 1206736305, 1206736304]",Pitzer Street,secondary,False,False,429.805,"LINESTRING (-83.89407 36.862255, -83.893922 36.86236, -83.893735 36.862482, -83.893545 36.862599, -83.893514 36.862617, -83.8931461 36.8628345, -83.892396 36.863278, -83.892206 36.863386, -83.892013 36.863488, -83.8916813 36.8636644, -83.8910674 36.8639507, -83.890474 36.864222, -83.8904288 36.8642426, -83.890068 36.864407)",KY 459,yes,,
16255419,Goodman Lane,residential,False,False,62.166,"LINESTRING (-83.89407 36.862255, -83.8941944 36.8623563, -83.8942776 36.8624372, -83.8943608 36.862587, -83.8943938 36.862733)",,,,
"[16254821, 16255774]","['Clark Street', 'Black Street']",residential,False,False,174.992,"LINESTRING (-83.890068 36.864407, -83.890176 36.864613, -83.8902401 36.8647181, -83.89039 36.864964, -83.890444 36.865084, -83.89044 36.865121, -83.89043 36.865138, -83.890405 36.865159, -83.890317 36.865204, -83.8900228 36.8653328, -83.8895919 36.8655266)",,,,
1206736304,Pitzer Street,secondary,False,False,100.65799999999999,"LINESTRING (-83.890068 36.864407, -83.889988 36.864444, -83.889572 36.864611, -83.88937 36.8647, -83.889249 36.864759, -83.889225 36.86478, -83.889206 36.864807, -83.889202 36.864832, -83.8892168 36.8649075)",KY 459,,,
"[1206736304, 1206736305, 16253712]",Pitzer Street,secondary,False,True,429.80500000000006,"LINESTRING (-83.890068 36.864407, -83.8904288 36.8642426, -83.890474 36.864222, -83.8910674 36.8639507, -83.8916813 36.8636644, -83.892013 36.863488, -83.892206 36.863386, -83.892396 36.863278, -83.8931461 36.8628345, -83.893514 36.862617, -83.893545 36.862599, -83.893735 36.862482, -83.893922 36.86236, -83.89407 36.862255)",KY 459,yes,,
16254741,Sycamore Drive,residential,False,False,76.502,"LINESTRING (-83.8892168 36.8649075, -83.8895919 36.8655266)",,,,
16254741,Sycamore Drive,residential,False,True,78.791,"LINESTRING (-83.8892168 36.8649075, -83.888838 36.864267)",,,,
16253870,Daniel Boone Drive,secondary,False,False,124.04499999999999,"LINESTRING (-83.8892168 36.8649075, -83.889216 36.864983, -83.889196 36.865018, -83.889167 36.865044, -83.8891041 36.8650791, -83.8889473 36.8651536, -83.8887792 36.8652335, -83.888589 36.865324, -83.8881144 36.8655171)",KY 459,,,
1206736304,Pitzer Street,secondary,False,True,100.658,"LINESTRING (-83.8892168 36.8649075, -83.889202 36.864832, -83.889206 36.864807, -83.889225 36.86478, -83.889249 36.864759, -83.88937 36.8647, -83.889572 36.864611, -83.889988 36.864444, -83.890068 36.864407)",KY 459,,,
16253740,High Street,residential,False,False,90.326,"LINESTRING (-83.890681 36.86626, -83.8905765 36.8664015, -83.8904128 36.866623, -83.8903683 36.8666642, -83.8903031 36.8667246, -83.8902044 36.8668132, -83.8900534 36.8668793)",,,,
16254741,Sycamore Drive,residential,False,False,137.08499999999998,"LINESTRING (-83.890681 36.86626, -83.8914107 36.8665713, -83.891752 36.866717, -83.891899 36.86681, -83.891994 36.866892)",,,,
16254741,Sycamore Drive,residential,False,True,81.362,"LINESTRING (-83.890681 36.86626, -83.890205 36.866062, -83.8899884 36.8659767, -83.889883 36.8659071)",,,,
16253740,High Street,residential,False,False,90.27300000000001,"LINESTRING (-83.8900534 36.8668793, -83.889819 36.866984, -83.889149 36.867247)",,,,
16253740,High Street,residential,False,True,90.326,"LINESTRING (-83.8900534 36.8668793, -83.8902044 36.8668132, -83.8903031 36.8667246, -83.8903683 36.8666642, -83.8904128 36.866623, -83.8905765 36.8664015, -83.890681 36.86626)",,,,
860868329,Jail Street,residential,False,True,103.38300000000001,"LINESTRING (-83.8900534 36.8668793, -83.8898205 36.8664165, -83.889606 36.8660213)",,,,
638353362,North Main Street,secondary,False,False,63.374,"LINESTRING (-83.889149 36.867247, -83.888831 36.866737)",KY 6,,,
638353362,North Main Street,secondary,False,True,88.364,"LINESTRING (-83.889149 36.867247, -83.889564 36.867969)",KY 6,,,
16253740,High Street,residential,False,False,87.21000000000001,"LINESTRING (-83.889149 36.867247, -83.888603 36.86746, -83.888268 36.867591)",,,,
16253740,High Street,residential,False,True,90.27300000000001,"LINESTRING (-83.889149 36.867247, -83.889819 36.866984, -83.8900534 36.8668793)",,,,
16254024,Harding Street,residential,False,False,168.935,"LINESTRING (-83.885776 36.868545, -83.886226 36.870021)",,,,
109677417,High Street,residential,False,False,113.917,"LINESTRING (-83.885776 36.868545, -83.884868 36.868896, -83.884618 36.868982)",,,,
109677417,High Street,residential,False,True,106.761,"LINESTRING (-83.885776 36.868545, -83.886614 36.868232, -83.886858 36.86813)",,,,
109677409,North Broadway,residential,False,True,59.672000000000004,"LINESTRING (-83.884618 36.868982, -83.884548 36.868745, -83.884501 36.868608, -83.884444 36.868464)",,,,
109677412,North Broadway,residential,False,False,209.85299999999998,"LINESTRING (-83.884618 36.868982, -83.885077 36.870489, -83.885189 36.870813)",,,,
109677417,High Street,residential,False,True,113.917,"LINESTRING (-83.884618 36.868982, -83.884868 36.868896, -83.885776 36.868545)",,,,
16253760,Walnut Street,residential,False,False,60.368,"LINESTRING (-83.888838 36.864267, -83.889441 36.864018)",,,,
16254741,Sycamore Drive,residential,False,False,78.791,"LINESTRING (-83.888838 36.864267, -83.8892168 36.8649075)",,,,
