osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,bridge
17136662,Jefferson Street,residential,False,True,92.807,"LINESTRING (-106.144898 37.5822927, -106.1448948 37.5817906, -106.1449183 37.5814586)",,,,
"[17137386, 17137387, 17137342, 17136807]","['Schaefer Road', 'Broadway Street North', 'Gunbarrel Road']","['residential', 'primary']",False,"[False, True]",1555.7380000000003,"LINESTRING (-106.144898 37.5822927, -106.1448974 37.5835874, -106.1448998 37.5839717, -106.144964 37.585355, -106.1449016 37.5889923, -106.1481687 37.5889963, -106.1484719 37.5889933, -106.1494457 37.5889871, -106.1494712 37.5859107, -106.1494728 37.5852978)","['CR 36', 'US 285']",4,"['35 mph', '45 mph']",
17136645,Madison Street,residential,False,True,147.69,"LINESTRING (-106.1440369 37.5778629, -106.1440334 37.5782472, -106.1440353 37.5791911)",,,,
17137163,3rd Avenue,residential,False,False,116.842,"LINESTRING (-106.1440369 37.5778629, -106.1446761 37.577878, -106.1453624 37.5778867)",,,,
17136645,Madison Street,residential,False,True,82.866,"LINESTRING (-106.1440353 37.5791911, -106.1440117 37.5799361)",,,,
17136645,Madison Street,residential,False,False,147.69,"LINESTRING (-106.1440353 37.5791911, -106.1440334 37.5782472, -106.1440369 37.5778629)",,,,
788084645,2nd Avenue,tertiary,False,True,116.95599999999999,"LINESTRING (-106.1440353 37.5791911, -106.1446817 37.5791991, -106.1453624 37.5791989)",,,,
17136645,Madison Street,residential,False,False,82.866,"LINESTRING (-106.1440117 37.5799361, -106.1440353 37.5791911)",,,,
309508089,Park Avenue,trunk,False,True,133.468,"LINESTRING (-106.1440117 37.5799361, -106.1446466 37.5802024, -106.1453506 37.5804972)",US 160;US 285,4,25 mph,
788084655,Jefferson Street,residential,False,True,145.91,"LINESTRING (-106.1453624 37.5778867, -106.1453624 37.5791989)",,,,
17137163,3rd Avenue,residential,False,False,121.88,"LINESTRING (-106.1453624 37.5778867, -106.1460528 37.5778806, -106.1467454 37.5778797)",,,,
17137163,3rd Avenue,residential,False,True,116.842,"LINESTRING (-106.1453624 37.5778867, -106.1446761 37.577878, -106.1440369 37.5778629)",,,,
788084655,Jefferson Street,residential,False,False,145.91,"LINESTRING (-106.1453624 37.5791989, -106.1453624 37.5778867)",,,,
788084655,Jefferson Street,residential,False,True,144.368,"LINESTRING (-106.1453624 37.5791989, -106.1453506 37.5804972)",,,,
788084645,2nd Avenue,tertiary,False,False,116.95599999999999,"LINESTRING (-106.1453624 37.5791989, -106.1446817 37.5791991, -106.1440353 37.5791911)",,,,
788084645,2nd Avenue,tertiary,False,True,121.192,"LINESTRING (-106.1453624 37.5791989, -106.1460534 37.5792021, -106.1466072 37.5791969, -106.1467376 37.5791957)",,,,
788084655,Jefferson Street,residential,False,False,144.368,"LINESTRING (-106.1453506 37.5804972, -106.1453624 37.5791989)",,,,
