osmid,oneway,lanes,ref,highway,reversed,length,bridge,maxspeed,geometry,name
"[1128435402, 361095682, 1128435403, 534173562]",True,4,NJ 17,trunk,False,316.654,yes,55 mph,"LINESTRING (-74.0715154 40.9426584, -74.0715653 40.9432736, -74.0715689 40.9433116, -74.0716039 40.9436859, -74.0716063 40.9437115, -74.0716636 40.9443228, -74.0716771 40.9444545, -74.0716967 40.9446698, -74.0717048 40.9447584, -74.0717242 40.9449722, -74.0717722 40.9454995)",
11563816,True,,,trunk_link,False,64.20400000000001,,,"LINESTRING (-74.0702556 40.9490665, -74.0704591 40.9491857, -74.0707345 40.9493436, -74.0708789 40.9493977)",
55807770,True,2,,tertiary,False,56.609,,25 mph,"LINESTRING (-74.0702556 40.9490665, -74.070608 40.9490183, -74.0707196 40.949007, -74.070823 40.9489987, -74.0709223 40.9490001)",East Midland Avenue
"[11566065, 534173556, 534173557, 11585774]",False,,,unclassified,False,283.61799999999994,yes,,"LINESTRING (-74.0717722 40.9454995, -74.0711956 40.9455311, -74.0709516 40.9455311, -74.0708345 40.9455183, -74.0708122 40.9455134, -74.0707989 40.9455105, -74.070716 40.9454923, -74.0706749 40.9454823, -74.0705848 40.9454617, -74.0704474 40.9454298, -74.0700953 40.9453396, -74.0700782 40.9453352, -74.0700364 40.9453248, -74.069942 40.9452944, -74.0698969 40.9452589, -74.0698786 40.9452086, -74.0699741 40.9449955, -74.0699923 40.9449549, -74.0700921 40.9447321, -74.0702012 40.9444886, -74.0702366 40.9444095, -74.0702452 40.9443904, -74.0703042 40.9442564, -74.0703139 40.9442344)","['Evelyn Street', 'Powers Drive']"
"[534173563, 1128435404, 1128435405]",True,"['4', '3']",NJ 17,trunk,False,327.23900000000003,,55 mph,"LINESTRING (-74.0717722 40.9454995, -74.0718068 40.9458807, -74.0718379 40.9462236, -74.071843 40.9462798, -74.0719116 40.9470365, -74.0719161 40.9470862, -74.0719251 40.947185, -74.0719362 40.9473049, -74.0719418 40.9473647, -74.0719574 40.9475323, -74.0719707 40.9476752, -74.0719734 40.9477043, -74.0719861 40.9478404, -74.0719981 40.94797, -74.0720044 40.9480203, -74.0720559 40.9484345)",
1124906863,True,1,,tertiary,False,21.519,,25 mph,"LINESTRING (-74.071291 40.9490288, -74.0710699 40.948931)",East Midland Avenue
"[11566065, 534173556, 534173557, 11585774]",False,,,unclassified,True,283.618,yes,,"LINESTRING (-74.0703139 40.9442344, -74.0703042 40.9442564, -74.0702452 40.9443904, -74.0702366 40.9444095, -74.0702012 40.9444886, -74.0700921 40.9447321, -74.0699923 40.9449549, -74.0699741 40.9449955, -74.0698786 40.9452086, -74.0698969 40.9452589, -74.069942 40.9452944, -74.0700364 40.9453248, -74.0700782 40.9453352, -74.0700953 40.9453396, -74.0704474 40.9454298, -74.0705848 40.9454617, -74.0706749 40.9454823, -74.070716 40.9454923, -74.0707989 40.9455105, -74.0708122 40.9455134, -74.0708345 40.9455183, -74.0709516 40.9455311, -74.0711956 40.9455311, -74.0717722 40.9454995)","['Evelyn Street', 'Powers Drive']"
1128435407,True,3,NJ 17,trunk,False,44.771,,55 mph,"LINESTRING (-74.0720559 40.9484345, -74.0720807 40.9488367)",
11562553,True,1,,trunk_link,False,212.68300000000002,,,"LINESTRING (-74.0720559 40.9484345, -74.0719968 40.948732, -74.0719844 40.9487874, -74.0719635 40.9488429, -74.0719276 40.9488935, -74.0718807 40.9489339, -74.0718289 40.9489603, -74.0717605 40.9489759, -74.0716967 40.9489786, -74.0716287 40.9489701, -74.0715637 40.9489527, -74.0712837 40.9488659, -74.0711609 40.948827, -74.0710448 40.9488001, -74.0709152 40.9487792, -74.0707947 40.9487681, -74.0706859 40.9487677, -74.0705593 40.9487774, -74.0703252 40.948792, -74.0701077 40.948806)",
45237408,False,,,trunk_link,False,52.641,,15 mph,"LINESTRING (-74.0708789 40.9493977, -74.0713847 40.9496773)",
