osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,junction,maxspeed
19726596,Court Street,residential,False,True,83.352,"LINESTRING (-72.5788494 44.2620515, -72.5778073 44.2619813)",,,,,
19724074,Governor Davis Avenue,residential,False,True,124.079,"LINESTRING (-72.5788494 44.2620515, -72.5788717 44.2620028, -72.5790672 44.2615645, -72.5792824 44.2610678, -72.579332 44.2609912)",,,,,
"[19726596, 19715239]","['Court Street', 'Greenwood Terrace']",residential,False,"[False, True]",65.97,"LINESTRING (-72.5788494 44.2620515, -72.5789094 44.2620575, -72.5789915 44.2620698, -72.5790123 44.2620922, -72.5790179 44.2621202, -72.579001 44.262163, -72.57896 44.262251, -72.5789415 44.262277, -72.578871 44.262369, -72.578814 44.262424, -72.5787063 44.2624791)",,,,,
19715240,Holmes Court,residential,False,False,49.74300000000001,"LINESTRING (-72.57315 44.264375, -72.5732078 44.2643473, -72.573593 44.264163, -72.573667 44.264124)",,,,,
19724098,Spring Street,residential,False,True,71.897,"LINESTRING (-72.57315 44.264375, -72.5726883 44.2638847, -72.5726465 44.2638383)",,,,,
19715240,Holmes Court,residential,False,True,49.74300000000001,"LINESTRING (-72.573667 44.264124, -72.573593 44.264163, -72.5732078 44.2643473, -72.57315 44.264375)",,,,,
19724667,Hazen Place,residential,False,True,45.17,"LINESTRING (-72.5753543 44.2608788, -72.574867 44.2606709)",,,,,
19723955,Downing Street,residential,False,False,104.002,"LINESTRING (-72.5755306 44.2578043, -72.5745527 44.2584242)",,,,,
671819839,Barre Street,tertiary,False,True,46.424,"LINESTRING (-72.5755306 44.2578043, -72.5751306 44.2575006)",,,,,
671819839,Barre Street,tertiary,False,False,131.172,"LINESTRING (-72.5755306 44.2578043, -72.5757113 44.2579414, -72.5765981 44.2585849, -72.5766834 44.2586468)",,,,,
19723955,Downing Street,residential,False,True,104.002,"LINESTRING (-72.5745527 44.2584242, -72.5755306 44.2578043)",,,,,
19728943,Prospect Street,unclassified,False,False,46.907,"LINESTRING (-72.577091 44.256231, -72.57736 44.256349, -72.5776 44.256443)",,,,,
19724074,Governor Davis Avenue,residential,False,False,124.079,"LINESTRING (-72.579332 44.2609912, -72.5792824 44.2610678, -72.5790672 44.2615645, -72.5788717 44.2620028, -72.5788494 44.2620515)",,,,,
"[19728642, 974110531, 255630417, 255630420, 896946431]",Taylor Street,residential,False,True,206.65699999999998,"LINESTRING (-72.579332 44.2609912, -72.5793705 44.2609126, -72.5795771 44.2604632, -72.5796242 44.2603601, -72.5796742 44.2602535, -72.5797443 44.2601021, -72.5797524 44.2600846, -72.5797967 44.2599889, -72.579818 44.2599428, -72.5798385 44.2598985, -72.579867 44.259837, -72.580073 44.2593958, -72.5801556 44.2592288)",yes,,,,
255630425,State Street,secondary,False,True,178.312,"LINESTRING (-72.579332 44.2609912, -72.579248 44.2609704, -72.5790115 44.2609165, -72.578046 44.2606969, -72.5779659 44.2606791, -72.5778758 44.2606591, -72.5772357 44.2605166, -72.577197 44.260508)",,2,US 2 Business,,
897113028,,secondary,True,False,7.478,"LINESTRING (-72.5719216 44.2628864, -72.5719335 44.2628719, -72.5719418 44.2628561, -72.5719465 44.2628396, -72.5719473 44.2628229)",,1,VT 12,roundabout,
19724095,Spring Street,secondary,True,False,22.825999999999997,"LINESTRING (-72.5718948 44.263088, -72.5718891 44.2630437, -72.5718866 44.2630207, -72.5718868 44.2629989, -72.5718911 44.2629664, -72.5718983 44.2629334, -72.5719216 44.2628864)",,1,VT 12,,
"[161131784, 995435550, 161131782]",Spring Street,secondary,False,False,102.624,"LINESTRING (-72.5718948 44.263088, -72.5721481 44.2633562, -72.5722094 44.2634279, -72.5725377 44.2638108, -72.5725858 44.2638668)",yes,"['3', '2']",VT 12,,
19730519,Elm Street,tertiary,False,True,5.78,"LINESTRING (-72.5725858 44.2638668, -72.5726465 44.2638383)",,2,,,
"[161131784, 161131782, 995435550]",Spring Street,secondary,False,True,102.62400000000001,"LINESTRING (-72.5725858 44.2638668, -72.5725377 44.2638108, -72.5722094 44.2634279, -72.5721481 44.2633562, -72.5718948 44.263088)",yes,"['3', '2']",VT 12,,
