osmid,lanes,name,highway,width,oneway,reversed,length,geometry,maxspeed
8917838,2,Saunders Road,residential,15.2,False,True,211.791,"LINESTRING (-71.046413 42.541717, -71.047072 42.542334, -71.047158 42.542396, -71.047219 42.542428, -71.047276 42.54245, -71.047338 42.54247, -71.047407 42.542478, -71.047503 42.542479, -71.0476 42.542491, -71.047668 42.542505, -71.047736 42.54252, -71.047798 42.54254, -71.047856 42.542569, -71.047922 42.54262, -71.048068 42.542762, -71.048291 42.542922)",
8918415,2,Main Street,secondary,14.0,False,False,147.014,"LINESTRING (-71.046413 42.541717, -71.04605 42.541968, -71.0457137 42.5421953, -71.045288 42.542483, -71.045096 42.542615)",25 mph
8918415,2,Main Street,secondary,14.0,False,True,72.34700000000001,"LINESTRING (-71.046413 42.541717, -71.046796 42.541452, -71.0470622 42.541276)",25 mph
8918409,2,Summer Street,secondary,14.3,False,False,161.087,"LINESTRING (-71.045314 42.537217, -71.0448041 42.536644, -71.0447677 42.5366028, -71.044698 42.536524, -71.044237 42.536005)",
8918409,2,Summer Street,secondary,14.3,False,True,125.64800000000001,"LINESTRING (-71.045314 42.537217, -71.045477 42.537399, -71.04575 42.537674, -71.045921 42.537842, -71.046046 42.537957, -71.046181 42.53808, -71.046229 42.538123)",
8918533,2,Forest Hill Avenue,tertiary,15.5,False,False,99.392,"LINESTRING (-71.045314 42.537217, -71.04494 42.537497, -71.044447 42.537842)",
8918398,2,Carter Road,residential,15.5,False,True,38.92,"LINESTRING (-71.05006 42.542224, -71.049745 42.541962)",
8918526,2,Willard Lane,residential,12.2,False,True,173.69099999999997,"LINESTRING (-71.05006 42.542224, -71.050266 42.542053, -71.0505 42.541868, -71.050586 42.541773, -71.050625 42.54168, -71.050624 42.541587, -71.050591 42.541501, -71.050494 42.541371, -71.050289 42.541221, -71.050002 42.5409737)",
8917966,,Center Village,residential,,False,False,17.487,"LINESTRING (-71.046077 42.540072, -71.04621 42.540195)",
"[8918554, 8918771]",2,"['Lincoln Avenue', 'Arlington Street']",residential,"['12.2', '11.0']",False,"[False, True]",297.96000000000004,"LINESTRING (-71.046077 42.540072, -71.046008 42.540114, -71.045937 42.540162, -71.04588 42.540195, -71.045828 42.540215, -71.045764 42.540221, -71.045692 42.540206, -71.0456 42.540155, -71.045218 42.539854, -71.044888 42.53958, -71.044259 42.539075, -71.043532 42.538488)",
8918771,2,Arlington Street,residential,12.2,False,True,67.796,"LINESTRING (-71.046077 42.540072, -71.046538 42.539793, -71.046713 42.539682)",
8918533,2,Forest Hill Avenue,tertiary,15.5,False,True,169.549,"LINESTRING (-71.042261 42.539678, -71.042534 42.539326, -71.042848 42.539003, -71.0429513 42.5389125, -71.043082 42.538798, -71.043276 42.538658, -71.043461 42.538541, -71.043532 42.538488)",
8918526,2,Willard Lane,residential,12.2,False,False,173.691,"LINESTRING (-71.050002 42.5409737, -71.050289 42.541221, -71.050494 42.541371, -71.050591 42.541501, -71.050624 42.541587, -71.050625 42.54168, -71.050586 42.541773, -71.0505 42.541868, -71.050266 42.542053, -71.05006 42.542224)",
8918533,2,Forest Hill Avenue,tertiary,15.5,False,False,103.845,"LINESTRING (-71.044447 42.537842, -71.044314 42.537935, -71.043941 42.538198, -71.043747 42.538339, -71.043586 42.538446, -71.043532 42.538488)",
8918533,2,Forest Hill Avenue,tertiary,15.5,False,True,99.392,"LINESTRING (-71.044447 42.537842, -71.04494 42.537497, -71.045314 42.537217)",
8918568,2,Howard Avenue,residential,11.0,False,False,276.297,"LINESTRING (-71.044447 42.537842, -71.044589 42.537961, -71.045047 42.538328, -71.045425 42.538637, -71.046316 42.539346, -71.046713 42.539682)",
8918398,2,Carter Road,residential,15.5,False,False,125.905,"LINESTRING (-71.048116 42.540555, -71.048441 42.540849, -71.048846 42.541208, -71.049113 42.541416)",
8918415,2,Main Street,secondary,14.0,False,False,56.381,"LINESTRING (-71.048116 42.540555, -71.047996 42.540628, -71.047602 42.540892)",25 mph
8918415,2,Main Street,secondary,14.0,False,True,106.842,"LINESTRING (-71.048116 42.540555, -71.04836 42.540373, -71.0485369 42.5402487, -71.048679 42.5401489, -71.048713 42.540125, -71.0488137 42.5400388, -71.049019 42.539863)",25 mph
"[8918260, 8917998]",2,Parsons Avenue,residential,13.7,False,False,391.053,"LINESTRING (-71.048875 42.5353692, -71.0484415 42.53576, -71.0482832 42.5358473, -71.0480551 42.5359139, -71.0478093 42.5359476, -71.047677 42.5359918, -71.0475718 42.5360492, -71.047172 42.536648, -71.046769 42.537296, -71.046229 42.538123)",
8918657,2,Stanley Road,residential,12.2,False,True,98.128,"LINESTRING (-71.048214 42.541999, -71.048697 42.541694, -71.049113 42.541416)",
8918223,2,Main Street,secondary,14.3,False,True,109.268,"LINESTRING (-71.0441055 42.5432729, -71.044221 42.54319, -71.044546 42.542976, -71.044852 42.542773, -71.045064 42.542637, -71.045096 42.542615)",25 mph
8918398,2,Carter Road,residential,15.5,False,False,38.92,"LINESTRING (-71.049745 42.541962, -71.05006 42.542224)",
8918192,2,Grant Road,residential,12.2,False,False,159.95200000000003,"LINESTRING (-71.049745 42.541962, -71.049561 42.542084, -71.049247 42.542292, -71.0489 42.542521, -71.048565 42.542743, -71.048291 42.542922)",
8918398,2,Carter Road,residential,15.5,False,True,79.831,"LINESTRING (-71.049745 42.541962, -71.049621 42.541858, -71.049563 42.541805, -71.049258 42.541529, -71.049113 42.541416)",
8918065,2,Hutchins Circle,residential,12.2,False,False,18.125,"LINESTRING (-71.053795 42.538788, -71.053633 42.538899)",
8918065,2,Hutchins Circle,residential,12.2,False,True,340.28900000000004,"LINESTRING (-71.053795 42.538788, -71.054008 42.538811, -71.054248 42.538848, -71.054472 42.538937, -71.054645 42.539048, -71.054793 42.539144, -71.054848 42.539192, -71.054866 42.539254, -71.054873 42.539334, -71.054867 42.539509, -71.054808 42.539689, -71.054751 42.539762, -71.054655 42.539851, -71.054579 42.539882, -71.054501 42.539905, -71.054321 42.53991, -71.054208 42.539894, -71.054114 42.539846, -71.053929 42.539649, -71.053767 42.539394, -71.053694 42.539191, -71.053658 42.53907, -71.053633 42.538899)",
8918065,2,Hutchins Circle,residential,12.2,False,False,25.625,"LINESTRING (-71.053795 42.538788, -71.05365 42.538759, -71.05349 42.538738)",
8917968,,Center Village,residential,,False,True,173.384,"LINESTRING (-71.0470622 42.541276, -71.046928 42.541242, -71.04686 42.541231, -71.046784 42.541212, -71.046704 42.541175, -71.046498 42.541022, -71.046139 42.540788, -71.046057 42.54074, -71.046006 42.540697, -71.04597 42.540648, -71.045949 42.540596, -71.045944 42.540545, -71.045949 42.540487, -71.045994 42.540412, -71.046063 42.540321, -71.046152 42.54024, -71.04621 42.540195)",
8918415,2,Main Street,secondary,14.0,False,False,72.34700000000001,"LINESTRING (-71.0470622 42.541276, -71.046796 42.541452, -71.046413 42.541717)",25 mph
8918415,2,Main Street,secondary,14.0,False,True,61.485,"LINESTRING (-71.0470622 42.541276, -71.047088 42.5412583, -71.047309 42.541094, -71.047602 42.540892)",25 mph
8918533,2,Forest Hill Avenue,tertiary,15.5,False,False,169.549,"LINESTRING (-71.043532 42.538488, -71.043461 42.538541, -71.043276 42.538658, -71.043082 42.538798, -71.0429513 42.5389125, -71.042848 42.539003, -71.042534 42.539326, -71.042261 42.539678)",
8918533,2,Forest Hill Avenue,tertiary,15.5,False,True,103.845,"LINESTRING (-71.043532 42.538488, -71.043586 42.538446, -71.043747 42.538339, -71.043941 42.538198, -71.044314 42.537935, -71.044447 42.537842)",
"[8918554, 8918771]",2,"['Lincoln Avenue', 'Arlington Street']",residential,"['12.2', '11.0']",False,"[False, True]",297.96000000000004,"LINESTRING (-71.043532 42.538488, -71.044259 42.539075, -71.044888 42.53958, -71.045218 42.539854, -71.0456 42.540155, -71.045692 42.540206, -71.045764 42.540221, -71.045828 42.540215, -71.04588 42.540195, -71.045937 42.540162, -71.046008 42.540114, -71.046077 42.540072)",
"[8918260, 8917998]",2,Parsons Avenue,residential,13.7,False,True,391.05300000000005,"LINESTRING (-71.046229 42.538123, -71.046769 42.537296, -71.047172 42.536648, -71.0475718 42.5360492, -71.047677 42.5359918, -71.0478093 42.5359476, -71.0480551 42.5359139, -71.0482832 42.5358473, -71.0484415 42.53576, -71.048875 42.5353692)",
8918409,2,Summer Street,secondary,14.3,False,False,125.64800000000001,"LINESTRING (-71.046229 42.538123, -71.046181 42.53808, -71.046046 42.537957, -71.045921 42.537842, -71.04575 42.537674, -71.045477 42.537399, -71.045314 42.537217)",
8918409,2,Summer Street,secondary,14.3,False,True,160.245,"LINESTRING (-71.046229 42.538123, -71.046319 42.538202, -71.046462 42.53832, -71.046529 42.538372, -71.046581 42.538414, -71.046743 42.538523, -71.0467682 42.538538, -71.046893 42.538612, -71.047037 42.538694, -71.047207 42.538781, -71.0472845 42.5388203, -71.047407 42.5388787, -71.047492 42.538916, -71.0476043 42.53897, -71.047727 42.539037)",
8918409,2,Summer Street,secondary,14.3,False,True,161.087,"LINESTRING (-71.044237 42.536005, -71.044698 42.536524, -71.0447677 42.5366028, -71.0448041 42.536644, -71.045314 42.537217)",
8917863,2,Main Street,tertiary,16.5,False,True,187.60299999999998,"LINESTRING (-71.04983 42.539278, -71.0500859 42.5391868, -71.0503272 42.5390952, -71.050453 42.5390482, -71.050642 42.538986, -71.051002 42.538846, -71.051432 42.538655, -71.051843 42.5384768)",25 mph
8918181,2,South Common Street,secondary,12.5,False,False,176.02100000000002,"LINESTRING (-71.04983 42.539278, -71.0497668 42.5392397, -71.0497251 42.5392226, -71.0495774 42.5392024, -71.049097 42.539184, -71.048694 42.539168, -71.0485317 42.5391562, -71.048288 42.539123, -71.048153 42.539105, -71.048036 42.539088, -71.0480133 42.5390843, -71.047727 42.539037)",
1042470597,2,Main Street,secondary,16.5,False,False,12.742999999999999,"LINESTRING (-71.04983 42.539278, -71.0497768 42.5393108, -71.0497061 42.5393471)",25 mph
8917838,2,Saunders Road,residential,15.2,False,False,211.791,"LINESTRING (-71.048291 42.542922, -71.048068 42.542762, -71.047922 42.54262, -71.047856 42.542569, -71.047798 42.54254, -71.047736 42.54252, -71.047668 42.542505, -71.0476 42.542491, -71.047503 42.542479, -71.047407 42.542478, -71.047338 42.54247, -71.047276 42.54245, -71.047219 42.542428, -71.047158 42.542396, -71.047072 42.542334, -71.046413 42.541717)",
8917838,2,Saunders Road,residential,15.2,False,True,74.743,"LINESTRING (-71.048291 42.542922, -71.048493 42.543118, -71.048819 42.543446, -71.048836 42.543461)",
8918192,2,Grant Road,residential,12.2,False,True,159.95200000000003,"LINESTRING (-71.048291 42.542922, -71.048565 42.542743, -71.0489 42.542521, -71.049247 42.542292, -71.049561 42.542084, -71.049745 42.541962)",
8918223,2,Main Street,secondary,14.3,False,False,109.268,"LINESTRING (-71.045096 42.542615, -71.045064 42.542637, -71.044852 42.542773, -71.044546 42.542976, -71.044221 42.54319, -71.0441055 42.5432729)",25 mph
8918415,2,Main Street,secondary,14.0,False,True,147.014,"LINESTRING (-71.045096 42.542615, -71.045288 42.542483, -71.0457137 42.5421953, -71.04605 42.541968, -71.046413 42.541717)",25 mph
8918065,2,Hutchins Circle,residential,12.2,False,True,18.125,"LINESTRING (-71.053633 42.538899, -71.053795 42.538788)",
8918065,2,Hutchins Circle,residential,12.2,False,False,340.28900000000004,"LINESTRING (-71.053633 42.538899, -71.053658 42.53907, -71.053694 42.539191, -71.053767 42.539394, -71.053929 42.539649, -71.054114 42.539846, -71.054208 42.539894, -71.054321 42.53991, -71.054501 42.539905, -71.054579 42.539882, -71.054655 42.539851, -71.054751 42.539762, -71.054808 42.539689, -71.054867 42.539509, -71.054873 42.539334, -71.054866 42.539254, -71.054848 42.539192, -71.054793 42.539144, -71.054645 42.539048, -71.054472 42.538937, -71.054248 42.538848, -71.054008 42.538811, -71.053795 42.538788)",
8918068,2,Hutchins Circle,residential,12.2,False,True,21.395,"LINESTRING (-71.053633 42.538899, -71.05349 42.538738)",
8917863,2,Main Street,tertiary,16.5,False,False,187.603,"LINESTRING (-71.051843 42.5384768, -71.051432 42.538655, -71.051002 42.538846, -71.050642 42.538986, -71.050453 42.5390482, -71.0503272 42.5390952, -71.0500859 42.5391868, -71.04983 42.539278)",25 mph
