osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,width,tunnel,bridge,access
4386955,False,Wilhadistraße,residential,50,False,14.137,"LINESTRING (8.8114567 53.0760236, 8.8113622 53.0760259, 8.8113312 53.0760266, 8.8113057 53.0760258, 8.8112453 53.0760238)",,,,,
"[799013264, 188806179, 316454029, 316454006]",True,"['Violenstraße', 'Domshof']",residential,50,False,152.74900000000002,"LINESTRING (8.8114567 53.0760236, 8.8114423 53.0760659, 8.8113438 53.0762184, 8.8111662 53.0763898, 8.8109871 53.076507, 8.8108413 53.0765832, 8.8107504 53.0766101, 8.8105783 53.0766794, 8.809966 53.0770247)",1,,,,
4386950,True,Bürgerstraße,residential,50,False,70.27,"LINESTRING (8.8112695 53.0749497, 8.8113472 53.0749443, 8.8113862 53.0749416, 8.8116248 53.0749873, 8.811764 53.0750339, 8.8119333 53.0751178, 8.8120371 53.0751736, 8.812142 53.0752508)",,,,,
"[24403676, 799013263]",True,Violenstraße,residential,50,False,120.564,"LINESTRING (8.8112695 53.0749497, 8.811284 53.0750158, 8.8113811 53.075377, 8.8114376 53.0756539, 8.8114844 53.0758834, 8.8114802 53.0759456, 8.8114567 53.0760236)","['1', '2']",,,,
"[189896264, 168678865]",False,Am Wall,secondary,50,True,21.744999999999997,"LINESTRING (8.8035731 53.0801317, 8.8034531 53.080163, 8.8034281 53.0801695, 8.8034049 53.0801757, 8.803275 53.0802103)",,,,,
"[237160097, 320855219]",True,Am Wall,secondary,,False,159.32699999999997,"LINESTRING (8.8035731 53.0801317, 8.8038889 53.0800605, 8.8043456 53.0799872, 8.8046126 53.0799425, 8.8057336 53.0797314, 8.8058001 53.0797349, 8.8058565 53.0797375)",1,,,,
287051319,False,Contrescarpe,residential,30,False,83.266,"LINESTRING (8.8111244 53.0801261, 8.8113274 53.0800208, 8.8117873 53.0797823, 8.8119516 53.0796961, 8.812074 53.0796413)",,,,,
"[4305838, 329063279]",True,Am Wall,secondary,30,False,439.02700000000004,"LINESTRING (8.8116494 53.0771346, 8.8118163 53.077, 8.8119216 53.076903, 8.8121191 53.0766659, 8.8122037 53.0765293, 8.8122836 53.076385, 8.8123474 53.076234, 8.8123957 53.0760866, 8.8124484 53.0758988, 8.8125683 53.0754518, 8.8127487 53.0748501, 8.8128059 53.0745862, 8.8128468 53.0743891, 8.8128521 53.0743502, 8.8129232 53.073934, 8.8129456 53.0737713, 8.8129436 53.0736387, 8.8129186 53.0735548, 8.8128819 53.0734955, 8.8127336 53.0733649, 8.8127178 53.0733515)","['1', '2']",,,,
4079518,False,Richtweg,residential,30,True,41.2,"LINESTRING (8.8145621 53.0775708, 8.8145132 53.0776023, 8.8141397 53.0778408)",,,,,
"[24883276, 1051769853]",True,Contrescarpe,residential,30,False,279.09900000000005,"LINESTRING (8.8145621 53.0775708, 8.8145022 53.0775394, 8.8144687 53.0775241, 8.8143718 53.0774953, 8.8142665 53.0774983, 8.8140915 53.0775332, 8.8136587 53.0776194, 8.8129709 53.0777563, 8.8128283 53.0777847, 8.8127903 53.0777992, 8.8125677 53.0779454, 8.8123435 53.0780928, 8.8121386 53.0782274, 8.8121154 53.0782606, 8.8121212 53.0784731, 8.8121325 53.0788848, 8.8121733 53.0789555, 8.8122244 53.0790025)",,,,,
4079518,False,Richtweg,residential,30,True,102.319,"LINESTRING (8.8141397 53.0778408, 8.8130598 53.0784934)",,,,,
4079518,False,Richtweg,residential,30,False,41.2,"LINESTRING (8.8141397 53.0778408, 8.8145132 53.0776023, 8.8145621 53.0775708)",,,,,
