osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,maxspeed
21090867,7th Street,unclassified,False,True,45.685,"LINESTRING (-101.8461473 33.5892575, -101.8456541 33.5892592)",,,
21090867,7th Street,unclassified,False,False,62.027,"LINESTRING (-101.8461473 33.5892575, -101.846251 33.5892581, -101.8462787 33.5892583, -101.8463013 33.5892585, -101.8468168 33.5892677)",,,
1109174372,Avenue J,unclassified,False,False,103.115,"LINESTRING (-101.8468168 33.5892677, -101.8468071 33.5883404)",,,
21090867,7th Street,unclassified,False,False,103.10499999999999,"LINESTRING (-101.8468168 33.5892677, -101.8470507 33.5892671, -101.8473953 33.5892663, -101.8479299 33.589265)",,,
21090867,7th Street,unclassified,False,True,62.02700000000001,"LINESTRING (-101.8468168 33.5892677, -101.8463013 33.5892585, -101.8462787 33.5892583, -101.846251 33.5892581, -101.8461473 33.5892575)",,,
21090867,7th Street,unclassified,False,True,103.10499999999999,"LINESTRING (-101.8479299 33.589265, -101.8473953 33.5892663, -101.8470507 33.5892671, -101.8468168 33.5892677)",,,
21106694,Avenue F,unclassified,False,False,102.138,"LINESTRING (-101.8420261 33.5826617, -101.8420152 33.5817432)",,,
21106694,Avenue F,unclassified,False,True,102.167,"LINESTRING (-101.8420261 33.5826617, -101.8420313 33.5835805)",,,
21092617,14th Street,unclassified,False,False,108.755,"LINESTRING (-101.8420261 33.5826617, -101.8422557 33.582661, -101.8424671 33.5826603, -101.8425881 33.5826605, -101.8427189 33.5826602, -101.842932 33.5826598, -101.8432001 33.5826592)",,,
852422893,Crickets Avenue,unclassified,False,False,101.9,"LINESTRING (-101.8432001 33.5826592, -101.843195 33.5817428)",,,
852422893,Crickets Avenue,unclassified,False,True,101.578,"LINESTRING (-101.8432001 33.5826592, -101.8432053 33.5835727)",,,
21092617,14th Street,unclassified,False,False,112.36699999999999,"LINESTRING (-101.8432001 33.5826592, -101.8438118 33.5826579, -101.8444131 33.5826566)",,,
21092617,14th Street,unclassified,False,True,108.755,"LINESTRING (-101.8432001 33.5826592, -101.842932 33.5826598, -101.8427189 33.5826602, -101.8425881 33.5826605, -101.8424671 33.5826603, -101.8422557 33.582661, -101.8420261 33.5826617)",,,
1109174361,Buddy Holly Avenue,secondary,False,True,101.667,"LINESTRING (-101.8444131 33.5826566, -101.844408 33.5817423)",,,
21092617,14th Street,unclassified,False,True,112.36699999999999,"LINESTRING (-101.8444131 33.5826566, -101.8438118 33.5826579, -101.8432001 33.5826592)",,,
852477080,14th Street,unclassified,False,False,113.108,"LINESTRING (-101.8444131 33.5826566, -101.8449425 33.5826555, -101.8450296 33.5826553, -101.8453691 33.5826546, -101.8456341 33.582654)",,,
852477081,Buddy Holly Avenue,secondary,False,False,100.965,"LINESTRING (-101.8444131 33.5826566, -101.8444143 33.583019, -101.8444161 33.5835646)",,,
108017022,Texas Avenue,secondary,False,True,102.622,"LINESTRING (-101.8456341 33.582654, -101.845636 33.5835769)",,,
852477082,Texas Avenue,secondary,False,False,101.432,"LINESTRING (-101.8456341 33.582654, -101.845632 33.5817418)",,,
852477080,14th Street,unclassified,False,True,113.10799999999999,"LINESTRING (-101.8456341 33.582654, -101.8453691 33.5826546, -101.8450296 33.5826553, -101.8449425 33.5826555, -101.8444131 33.5826566)",,,
852477083,14th Street,unclassified,False,False,107.642,"LINESTRING (-101.8456341 33.582654, -101.84625 33.5826526, -101.8467961 33.5826514)",,,
21106957,Avenue J,unclassified,False,False,101.188,"LINESTRING (-101.8467961 33.5826514, -101.846792 33.5817414)",,,
21106957,Avenue J,unclassified,False,True,102.712,"LINESTRING (-101.8467961 33.5826514, -101.846802 33.5835751)",,,
852477083,14th Street,unclassified,False,False,105.42,"LINESTRING (-101.8467961 33.5826514, -101.8473792 33.5826502, -101.8479341 33.582649)",,,
852477083,14th Street,unclassified,False,True,107.642,"LINESTRING (-101.8467961 33.5826514, -101.84625 33.5826526, -101.8456341 33.582654)",,,
21107007,Avenue K,secondary,False,False,102.789,"LINESTRING (-101.8479341 33.582649, -101.8479361 33.5835734)",,,
21107007,Avenue K,secondary,False,True,100.966,"LINESTRING (-101.8479341 33.582649, -101.847931 33.581741)",,,
852477083,14th Street,unclassified,False,False,104.679,"LINESTRING (-101.8479341 33.582649, -101.8485027 33.5826478, -101.8490641 33.5826466)",,,
852477083,14th Street,unclassified,False,True,105.42,"LINESTRING (-101.8479341 33.582649, -101.8473792 33.5826502, -101.8467961 33.5826514)",,,
852482435,Avenue L,tertiary,False,False,100.754,"LINESTRING (-101.8490641 33.5826466, -101.849062 33.5817405)",,,
852477083,14th Street,unclassified,False,False,104.58600000000001,"LINESTRING (-101.8490641 33.5826466, -101.8496456 33.5826453, -101.8497961 33.582645, -101.8501931 33.5826441)",,,
852477083,14th Street,unclassified,False,True,104.679,"LINESTRING (-101.8490641 33.5826466, -101.8485027 33.5826478, -101.8479341 33.582649)",,,
"[852482435, 1109174374]",Avenue L,tertiary,False,True,102.855,"LINESTRING (-101.8490641 33.5826466, -101.8490658 33.5834759, -101.8490661 33.5835716)",,,
21107100,Avenue M,tertiary,False,False,102.946,"LINESTRING (-101.8501931 33.5826441, -101.8501943 33.5828316, -101.8501944 33.5828497, -101.8501953 33.5829826, -101.8501956 33.5830329, -101.8501967 33.5832059, -101.8501979 33.5833895, -101.8501991 33.5835699)",,,
21107100,Avenue M,tertiary,False,True,100.52199999999999,"LINESTRING (-101.8501931 33.5826441, -101.8501917 33.582396, -101.850188 33.5817401)",,,
852477083,14th Street,unclassified,False,False,104.77099999999999,"LINESTRING (-101.8501931 33.5826441, -101.8505212 33.5826434, -101.8507695 33.5826429, -101.8513241 33.5826417)",,,
852477083,14th Street,unclassified,False,True,104.58600000000001,"LINESTRING (-101.8501931 33.5826441, -101.8497961 33.582645, -101.8496456 33.5826453, -101.8490641 33.5826466)",,,
21107181,Avenue N,unclassified,False,False,100.298,"LINESTRING (-101.8513241 33.5826417, -101.851322 33.5817397)",,,
21107181,Avenue N,unclassified,False,True,103.02199999999999,"LINESTRING (-101.8513241 33.5826417, -101.851325 33.5828478, -101.8513258 33.583026, -101.8513265 33.5832045, -101.8513273 33.5833848, -101.8513281 33.5835682)",,,
852477083,14th Street,unclassified,False,True,104.77099999999999,"LINESTRING (-101.8513241 33.5826417, -101.8507695 33.5826429, -101.8505212 33.5826434, -101.8501931 33.5826441)",,,
21106694,Avenue F,unclassified,False,True,106.247,"LINESTRING (-101.842032 33.585558, -101.8420332 33.5865135)",,,
21106694,Avenue F,unclassified,False,False,113.31899999999999,"LINESTRING (-101.842032 33.585558, -101.8420329 33.585055, -101.842033 33.584983, -101.8420331 33.5845389)",,,
443112232,Main Street,tertiary,False,False,107.402,"LINESTRING (-101.842032 33.585558, -101.8426033 33.5855537, -101.8429459 33.5855511, -101.8431914 33.5855492)",,,
21106793,Avenue G,unclassified,False,True,106.894,"LINESTRING (-101.8431914 33.5855492, -101.8431992 33.5865105)",,,
443112232,Main Street,tertiary,False,False,113.373,"LINESTRING (-101.8431914 33.5855492, -101.8438145 33.5855483, -101.8444153 33.5855474)",,,
443112232,Main Street,tertiary,False,True,107.402,"LINESTRING (-101.8431914 33.5855492, -101.8429459 33.5855511, -101.8426033 33.5855537, -101.842032 33.585558)",,,
271047365,Buddy Holly Avenue,secondary,True,False,106.737,"LINESTRING (-101.8444153 33.5855474, -101.8444152 33.5861373, -101.8444152 33.5863168, -101.8444152 33.5865073)",,,
"[443112232, 442985566, 1109173022]",Main Street,tertiary,False,False,113.558,"LINESTRING (-101.8444153 33.5855474, -101.844892 33.5855467, -101.8450841 33.5855464, -101.8451154 33.5855464, -101.8456412 33.5855455)",yes,,
443112232,Main Street,tertiary,False,True,113.373,"LINESTRING (-101.8444153 33.5855474, -101.8438145 33.5855483, -101.8431914 33.5855492)",,,
442985570,Main Street,tertiary,False,False,107.824,"LINESTRING (-101.8456412 33.5855455, -101.8465476 33.5855442, -101.8468052 33.5855438)",,,
