osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width
13363214,Schrader Boulevard,residential,False,False,202.27800000000002,"LINESTRING (-118.3324825 34.0997642, -118.3324862 34.1003195, -118.3324874 34.1005008, -118.332489 34.1007407, -118.3324896 34.1008246, -118.3324909 34.1010136, -118.332494 34.1014817, -118.3324947 34.1015833)",,,
13363214,Schrader Boulevard,residential,False,True,197.453,"LINESTRING (-118.3324825 34.0997642, -118.3324776 34.0990291, -118.3324766 34.0988895, -118.3324755 34.0987191, -118.3324715 34.0981262, -118.3324706 34.0979885)",,,
437761841,Selma Avenue,residential,False,False,132.721,"LINESTRING (-118.3324825 34.0997642, -118.3322848 34.0997651, -118.3318806 34.0997671, -118.3317984 34.0997675, -118.3317073 34.099768, -118.3310411 34.0997712)",,,
437761841,Selma Avenue,residential,False,True,123.882,"LINESTRING (-118.3324825 34.0997642, -118.3337327 34.0997581, -118.3338279 34.0997576)",,,
"[398205190, 404994719]",Hollywood Boulevard,secondary,False,True,94.357,"LINESTRING (-118.3310451 34.1016002, -118.3311477 34.1015991, -118.3316929 34.1015933, -118.3320698 34.1015893)","['4', '5']",,
"[398205189, 404994726, 404994727]",Hollywood Boulevard,secondary,False,False,138.289,"LINESTRING (-118.3310451 34.1016002, -118.3309586 34.1016006, -118.3304136 34.101603, -118.3302226 34.1016039, -118.3295432 34.1016069)","['4', '7']",,
"[13377226, 723708556, 723708557]",North Wilcox Avenue,residential,False,True,203.377,"LINESTRING (-118.3310451 34.1016002, -118.3310448 34.1014883, -118.3310436 34.1009096, -118.3310433 34.1007583, -118.3310432 34.1007208, -118.3310428 34.1005482, -118.3310422 34.1002805, -118.3310401 34.1001238, -118.3310411 34.0997712)",,,
"[398205409, 398206069, 404194391]",Hollywood Boulevard,secondary,False,True,136.221,"LINESTRING (-118.3266959 34.1016331, -118.3268513 34.1016326, -118.3275373 34.1016222, -118.3277189 34.1016199, -118.3280732 34.1016166, -118.3281752 34.1016157)","['4', '5']",,
"[404194392, 398206066, 398206070]",Hollywood Boulevard,secondary,False,False,137.93800000000002,"LINESTRING (-118.3266959 34.1016331, -118.3265486 34.1016336, -118.3261723 34.1016349, -118.3259014 34.1016358, -118.3256849 34.1016365, -118.3253525 34.1016376, -118.3251978 34.1016381)",5,,
"[404187857, 404187860, 398209543]",Vine Street,secondary,False,True,204.655,"LINESTRING (-118.3266959 34.1016331, -118.3266961 34.1015139, -118.3266942 34.1011509, -118.3266932 34.1009423, -118.3266924 34.1006546, -118.3266898 34.0999656, -118.3266892 34.0997926)","['4', '6']",,
13357277,La Mirada Avenue,residential,False,True,197.705,"LINESTRING (-118.3266364 34.0935075, -118.3263949 34.0935083, -118.32617 34.0935091, -118.3244894 34.0935149)",,,
"[398235424, 398235417, 398235431]",Vine Street,secondary,False,False,94.716,"LINESTRING (-118.3266364 34.0935075, -118.3266353 34.0937469, -118.3266346 34.0939078, -118.3266334 34.094161, -118.3266325 34.0943593)","['4', '5']",35 mph,
"[398235430, 398235418, 398235422]",Vine Street,secondary,False,False,102.02400000000002,"LINESTRING (-118.3266325 34.0943593, -118.3266345 34.0945737, -118.3266367 34.0948069, -118.3266383 34.0949731, -118.3266387 34.0950175, -118.3266411 34.0952768)","['4', '5']",35 mph,
"[398235424, 398235417, 398235431]",Vine Street,secondary,False,True,94.71600000000001,"LINESTRING (-118.3266325 34.0943593, -118.3266334 34.094161, -118.3266346 34.0939078, -118.3266353 34.0937469, -118.3266364 34.0935075)","['4', '5']",35 mph,
520201919,Fountain Avenue,tertiary,False,False,205.895,"LINESTRING (-118.3266325 34.0943593, -118.3276862 34.094351, -118.3278211 34.0943499, -118.3278972 34.0943493, -118.3282405 34.0943493, -118.3284894 34.0943493, -118.3288684 34.0943458)",,,
607517410,Fountain Avenue,tertiary,False,True,199.964,"LINESTRING (-118.3266325 34.0943593, -118.3262673 34.0943617, -118.3261565 34.0943624, -118.3255892 34.0943662, -118.324461 34.0943736)",,,
13329052,Homewood Avenue,residential,False,False,205.01700000000002,"LINESTRING (-118.3266411 34.0952768, -118.3278414 34.0952641, -118.3284933 34.0952573, -118.3287825 34.0952542, -118.3288674 34.095254)",,,
"[398235433, 398235421]",Vine Street,secondary,False,False,101.09899999999999,"LINESTRING (-118.3266411 34.0952768, -118.3266411 34.0958187, -118.326641 34.0961112, -118.3266411 34.096186)","['4', '5']",35 mph,
"[398235418, 398235430, 398235422]",Vine Street,secondary,False,True,102.024,"LINESTRING (-118.3266411 34.0952768, -118.3266387 34.0950175, -118.3266383 34.0949731, -118.3266367 34.0948069, -118.3266345 34.0945737, -118.3266325 34.0943593)","['4', '5']",35 mph,
332803525,De Longpre Avenue,residential,False,False,198.7,"LINESTRING (-118.3266411 34.096186, -118.3270701 34.0961802, -118.3281397 34.0961654, -118.3287987 34.0961567)",2,,
"[398235434, 398235423]",Vine Street,secondary,False,False,97.157,"LINESTRING (-118.3266411 34.096186, -118.32665 34.0964482, -118.326653 34.0965307, -118.3266582 34.0966903, -118.3266616 34.0967909, -118.3266707 34.0970594)","['4', '5']",35 mph,
"[398235433, 398235421]",Vine Street,secondary,False,True,101.09899999999999,"LINESTRING (-118.3266411 34.096186, -118.326641 34.0961112, -118.3266411 34.0958187, -118.3266411 34.0952768)","['4', '5']",35 mph,
"[398235426, 398209669]",Vine Street,secondary,False,False,104.527,"LINESTRING (-118.3266707 34.0970594, -118.32667 34.0972157, -118.3266702 34.0973491, -118.3266774 34.0978754, -118.3266775 34.0979994)","['5', '6']",35 mph,
"[398235434, 398235423]",Vine Street,secondary,False,True,97.157,"LINESTRING (-118.3266707 34.0970594, -118.3266616 34.0967909, -118.3266582 34.0966903, -118.326653 34.0965307, -118.32665 34.0964482, -118.3266411 34.096186)","['4', '5']",35 mph,
13329052,Homewood Avenue,residential,False,True,205.017,"LINESTRING (-118.3288674 34.095254, -118.3287825 34.0952542, -118.3284933 34.0952573, -118.3278414 34.0952641, -118.3266411 34.0952768)",,,
1092532126,North Cahuenga Boulevard,secondary,False,False,10.895,"LINESTRING (-118.3288674 34.095254, -118.3289094 34.0953312, -118.3289166 34.0953431)",4,,
1092532126,North Cahuenga Boulevard,secondary,False,True,101.313,"LINESTRING (-118.3288674 34.095254, -118.3288389 34.0951232, -118.3288331 34.0949721, -118.3288389 34.0947856, -118.3288684 34.0943458)",4,,
332803525,De Longpre Avenue,residential,False,False,62.228,"LINESTRING (-118.3287987 34.0961567, -118.3294745 34.096156)",2,,
332803525,De Longpre Avenue,residential,False,True,198.70000000000002,"LINESTRING (-118.3287987 34.0961567, -118.3281397 34.0961654, -118.3270701 34.0961802, -118.3266411 34.096186)",2,,
437757570,Ivar Avenue,residential,False,False,204.475,"LINESTRING (-118.3287987 34.0961567, -118.3287964 34.0966578, -118.3288399 34.0978436, -118.3288307 34.097876, -118.3288018 34.0979917)",,,
437757570,Ivar Avenue,residential,False,True,48.204,"LINESTRING (-118.3287987 34.0961567, -118.328798 34.0959177, -118.3287987 34.0957232)",,,
"[398236856, 398236860, 398236854]",West Sunset Boulevard,primary,False,True,97.512,"LINESTRING (-118.3288018 34.0979917, -118.3286922 34.0979922, -118.3282742 34.0979942, -118.3281098 34.097995, -118.3277428 34.0979968)","['4', '5']",,
"[398236857, 398236858, 398236859]",West Sunset Boulevard,primary,False,False,65.01,"LINESTRING (-118.3288018 34.0979917, -118.3289323 34.0979932, -118.3290321 34.0979944, -118.3291591 34.0979936, -118.3295078 34.0979913)","['4', '5']",,
437757570,Ivar Avenue,residential,False,True,204.475,"LINESTRING (-118.3288018 34.0979917, -118.3288307 34.097876, -118.3288399 34.0978436, -118.3287964 34.0966578, -118.3287987 34.0961567)",,,
"[438272874, 517698835]",Ivar Avenue,residential,False,False,209.824,"LINESTRING (-118.3288018 34.0979917, -118.3287653 34.098119, -118.3287615 34.0981345, -118.3287455 34.0982274, -118.3287351 34.0983005, -118.3287414 34.0985232, -118.3287244 34.0987411, -118.3286358 34.0989285, -118.3284549 34.0992625, -118.3283108 34.0995504, -118.3282472 34.0996788, -118.3281977 34.0997852)",,,
206557900,Selma Avenue,residential,False,True,42.669,"LINESTRING (-118.3281977 34.0997852, -118.3277343 34.0997875)",,,
