osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,bridge,junction
11298251,South 5th Street,residential,False,False,108.749,,,,"LINESTRING (-80.3269614 27.446956, -80.326962 27.445978)",,
200480658,Orange Avenue,secondary,False,True,102.936,2,FL 68,30 mph,"LINESTRING (-80.3269614 27.446956, -80.3280045 27.4469643)",,
11291724,North 5th Street,residential,False,False,111.687,,,,"LINESTRING (-80.3269614 27.446956, -80.3269598 27.4471916, -80.3269868 27.4473365, -80.3270487 27.4474985, -80.3272119 27.4479255)",,
200480658,Orange Avenue,secondary,False,False,89.589,2,FL 68,30 mph,"LINESTRING (-80.3269614 27.446956, -80.3267117 27.4469588, -80.3262165 27.4469645, -80.326054 27.4469749)",,
47655351,Avenue A,tertiary,True,False,44.283,2,,30 mph,"LINESTRING (-80.3272119 27.4479255, -80.3276367 27.4477971)",,
11291724,North 5th Street,residential,False,True,111.68700000000001,,,,"LINESTRING (-80.3272119 27.4479255, -80.3270487 27.4474985, -80.3269868 27.4473365, -80.3269598 27.4471916, -80.3269614 27.446956)",,
11295191,South Indian River Drive,secondary,False,False,131.45,2,CR 707,,"LINESTRING (-80.3216521 27.4422096, -80.3218851 27.4429095, -80.3220089 27.4433483)",,
47655351,Avenue A,tertiary,True,False,138.355,2,,30 mph,"LINESTRING (-80.3276367 27.4477971, -80.3289738 27.4474227)",,
11293432,North 6th Street,residential,False,False,117.66300000000001,,,,"LINESTRING (-80.3276367 27.4477971, -80.327825 27.4483266, -80.327874 27.4484644, -80.3279956 27.4488062)",,
939595630,Avenue B,residential,False,True,119.021,,,,"LINESTRING (-80.3279956 27.4488062, -80.3268513 27.4491446)",,
11293432,North 6th Street,residential,False,True,117.66300000000001,,,,"LINESTRING (-80.3279956 27.4488062, -80.327874 27.4484644, -80.327825 27.4483266, -80.3276367 27.4477971)",,
939595630,Avenue B,residential,False,False,101.70100000000001,,,,"LINESTRING (-80.3279956 27.4488062, -80.3284489 27.448671, -80.3287758 27.4485734, -80.3288743 27.4485679, -80.3289765 27.4486011)",,
85234895,A E Backus Avenue,tertiary,False,False,78.26599999999999,2,,,"LINESTRING (-80.3282214 27.4502727, -80.3284427 27.4502068, -80.3288515 27.450085, -80.3289745 27.450052)",,
85234895,A E Backus Avenue,tertiary,False,True,103.571,2,,,"LINESTRING (-80.3282214 27.4502727, -80.3277291 27.4504149, -80.3276573 27.4504356, -80.3272233 27.4505609)",,
189609989,North 7th Street,tertiary,False,True,34.248,3,,30 mph,"LINESTRING (-80.3289716 27.446965, -80.3289731 27.447273)",,
200480658,Orange Avenue,secondary,False,False,95.432,2,FL 68,30 mph,"LINESTRING (-80.3289716 27.446965, -80.3280045 27.4469643)",,
939595628,Orange Avenue,secondary,False,True,37.291,2,FL 68,30 mph,"LINESTRING (-80.3289716 27.446965, -80.3293495 27.4469652)",,
11297148,South 7th Street,tertiary,False,False,69.22,2,,,"LINESTRING (-80.3289716 27.446965, -80.3289696 27.446631, -80.3289678 27.4463425)",,
11293694,North 7th Street,tertiary,False,False,16.646,3,,30 mph,"LINESTRING (-80.3289738 27.4474227, -80.3289731 27.447273)",,
"[939577481, 47655347]",North 7th Street,tertiary,False,False,131.035,"['3', '2']",,,"LINESTRING (-80.3289738 27.4474227, -80.3289788 27.4478324, -80.3289765 27.4486011)",,
939577481,North 7th Street,tertiary,False,False,108.862,2,,,"LINESTRING (-80.3289765 27.4486011, -80.3289755 27.4487599, -80.3289749 27.4488546, -80.3289726 27.4492371, -80.3289715 27.44942, -80.3289705 27.4495801)",,
"[939577481, 47655347]",North 7th Street,tertiary,False,True,131.035,"['3', '2']",,,"LINESTRING (-80.3289765 27.4486011, -80.3289788 27.4478324, -80.3289738 27.4474227)",,
939595630,Avenue B,residential,False,False,166.606,,,,"LINESTRING (-80.3289765 27.4486011, -80.3290796 27.4486251, -80.3306614 27.4486219)",,
939595630,Avenue B,residential,False,True,101.701,,,,"LINESTRING (-80.3289765 27.4486011, -80.3288743 27.4485679, -80.3287758 27.4485734, -80.3284489 27.448671, -80.3279956 27.4488062)",,
939577482,North 7th Street,tertiary,False,False,52.474,2,,,"LINESTRING (-80.3289705 27.4495801, -80.3289745 27.450052)",,
939577481,North 7th Street,tertiary,False,True,108.86200000000001,2,,,"LINESTRING (-80.3289705 27.4495801, -80.3289715 27.44942, -80.3289726 27.4492371, -80.3289749 27.4488546, -80.3289755 27.4487599, -80.3289765 27.4486011)",,
939577483,Avenue C,residential,False,False,107.76400000000001,,,,"LINESTRING (-80.3289705 27.4495801, -80.329052 27.4495799, -80.3293336 27.4495794, -80.3300626 27.449578)",,
939577482,North 7th Street,tertiary,False,True,52.474,2,,,"LINESTRING (-80.3289745 27.450052, -80.3289705 27.4495801)",,
85234895,A E Backus Avenue,tertiary,False,True,78.26599999999999,2,,,"LINESTRING (-80.3289745 27.450052, -80.3288515 27.450085, -80.3284427 27.4502068, -80.3282214 27.4502727)",,
