osmid,highway,oneway,reversed,length,name,geometry,lanes,ref,junction,maxspeed
6091029,residential,False,False,16.574,,"LINESTRING (-76.879122 38.927437, -76.879127 38.927288)",,,,
6144825,residential,False,False,301.07200000000006,Prospect Street,"LINESTRING (-76.879122 38.927437, -76.879107 38.927509, -76.879082 38.927573, -76.879045 38.927614, -76.878989 38.927649, -76.878937 38.927667, -76.878885 38.927676, -76.878811 38.927676, -76.8786 38.927649, -76.87837 38.927618, -76.878196 38.927597, -76.877843 38.927547, -76.877515 38.927503, -76.877314 38.927473, -76.877185 38.927465, -76.87712 38.92747, -76.877049 38.927493, -76.876971 38.927536, -76.876929 38.927574, -76.876906 38.927609, -76.876826 38.927717, -76.876717 38.927908, -76.876658 38.927992, -76.87661 38.928039, -76.876554 38.928074, -76.8765 38.928096, -76.876446 38.9281, -76.876388 38.928086, -76.876292 38.92806)",,,,
921729096,primary,True,False,165.15,Landover Road,"LINESTRING (-76.879122 38.927437, -76.879343 38.927446, -76.879556 38.927451, -76.879849 38.927455, -76.880446 38.927441, -76.8805957 38.9274358, -76.880791 38.927429, -76.881029 38.927411)",3,MD 202,,
6091029,residential,False,True,16.574,,"LINESTRING (-76.879127 38.927288, -76.879122 38.927437)",,,,
"[921729097, 921729098, 695997766]",primary,True,False,179.521,Landover Road,"LINESTRING (-76.879127 38.927288, -76.878827 38.927265, -76.878667 38.92725, -76.87848 38.927233, -76.8783583 38.9272193, -76.878311 38.927214, -76.878237 38.927205, -76.878086 38.927184, -76.877863 38.927153, -76.8776769 38.927121, -76.877543 38.927098, -76.877334 38.927055, -76.877088 38.927003)",3,MD 202,,
242897808,residential,True,False,14.137,,"LINESTRING (-76.8864085 38.9295633, -76.8863725 38.9295951, -76.8863549 38.9296352, -76.8863584 38.9296775)",,,roundabout,
361424702,residential,True,False,92.603,,"LINESTRING (-76.8864085 38.9295633, -76.8863485 38.9295364, -76.8860374 38.9294112, -76.8856994 38.9293235, -76.885412 38.9292727)",,,,
6092286,tertiary_link,True,False,74.77700000000002,,"LINESTRING (-76.885436 38.923252, -76.885366 38.923132, -76.885323 38.923047, -76.885288 38.922945, -76.885276 38.922854, -76.885276 38.922762, -76.8853224 38.9226058)",,,,
6114170,tertiary,False,False,42.868,Kent Town Drive,"LINESTRING (-76.885436 38.923252, -76.885258 38.923106, -76.885067 38.922997)",2,,,
6114170,tertiary,False,True,143.738,Kent Town Drive,"LINESTRING (-76.885436 38.923252, -76.885652 38.923483, -76.886044 38.92388, -76.8863033 38.9241685, -76.886417 38.924295)",2,,,
