osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref
9145670,2,Gray Road,residential,13.7,False,False,65.202,"LINESTRING (-71.2480416 42.0622842, -71.2476377 42.062476, -71.2473762 42.0626001)",
9145846,2,Central Street,secondary,12.2,False,False,28.923000000000002,"LINESTRING (-71.2480416 42.0622842, -71.2481472 42.0623976, -71.2482363 42.0625004)",MA 140
9145846,2,Central Street,secondary,12.2,False,True,128.733,"LINESTRING (-71.2480416 42.0622842, -71.247942 42.0621802, -71.2476935 42.0619208, -71.2471379 42.0613407)",MA 140
"[9145593, 9145470]",2,"['Centennial Street', 'Centennial Court']",residential,"['12.2', '11.0']",False,False,362.629,"LINESTRING (-71.25237 42.0612999, -71.252569 42.06149, -71.25282 42.06178, -71.25272 42.06225, -71.2531679 42.0627131, -71.2531826 42.0627433, -71.253163 42.0627719, -71.2527531 42.0629864, -71.2522231 42.0632654, -71.2518708 42.0634611, -71.2514637 42.0636984)",
102809563,2,South Street,secondary,15.2,False,False,91.45500000000001,"LINESTRING (-71.25237 42.0612999, -71.2522955 42.0613638, -71.2521625 42.0614709, -71.2520987 42.06152, -71.2520365 42.06157, -71.2519904 42.0616052, -71.2519155 42.0616657, -71.251857 42.0617115, -71.2517952 42.0617602, -71.251727 42.0618199, -71.2516721 42.061865, -71.2516211 42.0619058)",
9145846,2,Central Street,secondary,12.2,False,True,123.512,"LINESTRING (-71.2496845 42.0640609, -71.2495562 42.063925, -71.24941 42.06377, -71.2492563 42.0636001, -71.2489378 42.0632556, -71.2488365 42.0631458)",MA 140
91991388,1,Central Street,secondary,12.2,True,False,34.396,"LINESTRING (-71.2496845 42.0640609, -71.249755 42.0641682, -71.2497984 42.0642343, -71.2498148 42.0642694, -71.2498286 42.0643041, -71.2498381 42.0643466)",MA 140
130175296,2,Park Avenue,residential,12.2,False,False,126.61,"LINESTRING (-71.244633 42.0652433, -71.2448103 42.0641123)",
9145764,2,Park Avenue,residential,12.2,False,True,31.775,"LINESTRING (-71.244633 42.0652433, -71.244661 42.0653146, -71.2447139 42.0653833, -71.2447662 42.0654268, -71.2448446 42.0654726)",
700033435,2,Park Avenue,residential,11.3,False,True,27.314999999999998,"LINESTRING (-71.244633 42.0652433, -71.2445837 42.065338, -71.2445437 42.0654021, -71.244491 42.0654643)",
1014228127,2,Main Street,secondary,15.2,False,False,16.675,"LINESTRING (-71.2532798 42.0675444, -71.2531592 42.0674241)",MA 140
1014228127,2,Main Street,secondary,15.2,False,True,57.002,"LINESTRING (-71.2532798 42.0675444, -71.2536918 42.0679558)",MA 140
9146344,2,Maple Place,residential,12.2,False,True,133.298,"LINESTRING (-71.246469 42.065542, -71.2467544 42.0643621)",
9145524,1,School Street,secondary,18.3,True,False,46.736999999999995,"LINESTRING (-71.2504676 42.064226, -71.2503783 42.064171, -71.2503325 42.0641493, -71.2503051 42.0641415, -71.2502766 42.064135, -71.2502341 42.0641276, -71.2502001 42.0641264, -71.2501382 42.0641293, -71.2500811 42.0641324, -71.2500386 42.0641331, -71.2500067 42.0641318, -71.2499421 42.0641251)",MA 140
9146411,,School Street,secondary,18.3,True,False,59.404,"LINESTRING (-71.2504676 42.064226, -71.2503967 42.0641442, -71.2503575 42.0641014, -71.2503205 42.0640692, -71.2502629 42.0640125, -71.2502183 42.0639794, -71.2501854 42.0639434, -71.2501679 42.0639215, -71.2501587 42.0639019, -71.2501558 42.0638794, -71.2501559 42.0638547, -71.2501601 42.0638304, -71.250169 42.0638078, -71.2501884 42.0637705)",
9146396,2,Pleasant Street,residential,10.4,False,False,63.157,"LINESTRING (-71.2423652 42.0650947, -71.2423795 42.065227, -71.2424074 42.0653341, -71.2424473 42.065422, -71.2425068 42.0655548, -71.2425496 42.0656427)",
9146396,2,Pleasant Street,residential,10.4,False,True,139.168,"LINESTRING (-71.2423652 42.0650947, -71.2423778 42.0649765, -71.2424278 42.0646817, -71.2424415 42.064562, -71.2424642 42.0643834, -71.2424729 42.0643153, -71.2425273 42.0638491)",
9146449,2,Cocasset Street,secondary,13.7,False,True,95.019,"LINESTRING (-71.2448103 42.0641123, -71.2459449 42.0642562)",
130175296,2,Park Avenue,residential,12.2,False,True,126.61,"LINESTRING (-71.2448103 42.0641123, -71.244633 42.0652433)",
9146449,2,Cocasset Street,secondary,13.7,False,False,94.607,"LINESTRING (-71.2448103 42.0641123, -71.2437912 42.0639824, -71.2436808 42.0639683)",
9146503,2,Granite Street,residential,10.4,False,True,128.499,"LINESTRING (-71.2520211 42.0662814, -71.253261 42.0655827)",
1014228127,2,Main Street,secondary,15.2,False,True,117.2,"LINESTRING (-71.2520211 42.0662814, -71.2528652 42.0671289)",MA 140
1014228127,2,Main Street,secondary,15.2,False,False,109.19200000000001,"LINESTRING (-71.2520211 42.0662814, -71.2513287 42.0655862, -71.2512347 42.0654918)",MA 140
9146344,2,Maple Place,residential,12.2,False,False,133.298,"LINESTRING (-71.2467544 42.0643621, -71.246469 42.065542)",
9146449,2,Cocasset Street,secondary,13.7,False,False,67.854,"LINESTRING (-71.2467544 42.0643621, -71.2460356 42.0642681, -71.2459449 42.0642562)",
