osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,access,maxspeed
92257477,2,RI 103,Warren Avenue,secondary,False,True,12.203,"LINESTRING (-71.3809042 41.817167, -71.381035 41.8172174)",,,
42885041,,,Potter Street,tertiary,False,True,73.481,"LINESTRING (-71.3809042 41.817167, -71.3807809 41.817358, -71.380524 41.817764)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,False,61.208,"LINESTRING (-71.3809042 41.817167, -71.38082 41.817132, -71.3806487 41.8170708, -71.380241 41.816925)",,,
1157539408,2,RI 103,Warren Avenue,secondary,False,False,31.312,"LINESTRING (-71.382171 41.8176111, -71.381828 41.817493)",,,
19357096,,,Cobb Street,residential,False,False,63.150999999999996,"LINESTRING (-71.3803824 41.8192818, -71.380234 41.819141, -71.379768 41.818966)",,,
39662425,1,US 44,Trunky Road,trunk,True,False,32.354,"LINESTRING (-71.3803824 41.8192818, -71.3803006 41.8193192, -71.3802139 41.8193566, -71.3801229 41.8193927, -71.3800985 41.8194058, -71.3800784 41.8194224, -71.3800622 41.8194422)",,,
19373212,2,,Potter Street,tertiary,False,False,72.11,"LINESTRING (-71.379768 41.818966, -71.380135 41.818378)",,,
19357096,,,Cobb Street,residential,False,False,179.094,"LINESTRING (-71.379768 41.818966, -71.378914 41.818665, -71.377823 41.818264)",,,
19357096,,,Cobb Street,residential,False,True,63.150999999999996,"LINESTRING (-71.379768 41.818966, -71.380234 41.819141, -71.3803824 41.8192818)",,,
19373212,2,,Potter Street,tertiary,False,True,43.119,"LINESTRING (-71.379768 41.818966, -71.379684 41.819092, -71.379547 41.819317)",,,
591880137,,,Purchase Street,residential,False,True,44.502,"LINESTRING (-71.377823 41.818264, -71.377594 41.818626)",,,
19357096,,,Cobb Street,residential,False,True,179.094,"LINESTRING (-71.377823 41.818264, -71.378914 41.818665, -71.379768 41.818966)",,,
591880137,,,Purchase Street,residential,False,False,72.284,"LINESTRING (-71.377823 41.818264, -71.37819 41.817695, -71.378197 41.817677)",,,
19358562,,,Cross Street,residential,False,False,77.955,"LINESTRING (-71.3785829 41.8225606, -71.3777241 41.8222744)",,,
92257471,,,Summit Street,residential,False,True,365.809,"LINESTRING (-71.3785829 41.8225606, -71.380516 41.819603)",,,
"[19358562, 1163882850]",,,"['Cross Street', 'North Brow Street']",residential,False,"[False, True]",117.491,"LINESTRING (-71.3785829 41.8225606, -71.379547 41.822884, -71.3794592 41.8231, -71.3794425 41.8231412)",,,
19358562,,,Cross Street,residential,False,True,1.463,"LINESTRING (-71.377708 41.822269, -71.3777241 41.8222744)",,,
19390018,,,Walnut Street,residential,False,True,318.815,"LINESTRING (-71.377708 41.822269, -71.3781679 41.8215137, -71.3789057 41.820328, -71.3791041 41.8200378, -71.379248 41.8198098, -71.3793459 41.8196752)",,,
19388784,,,James Street,residential,False,True,79.25,"LINESTRING (-71.3726933 41.8237178, -71.3729918 41.8234439, -71.3732307 41.8232085, -71.3732721 41.8231516)",,,
"[1163882850, 19358562]",,,"['North Brow Street', 'Cross Street']",residential,False,"[False, True]",117.49099999999999,"LINESTRING (-71.3794425 41.8231412, -71.3794592 41.8231, -71.379547 41.822884, -71.3785829 41.8225606)",,,
39662424,2,US 44,Taunton Avenue,trunk,False,False,30.425,"LINESTRING (-71.3772998 41.819729, -71.3769327 41.8197242)",,,
39662424,2,US 44,Taunton Avenue,trunk,False,True,30.827,"LINESTRING (-71.3772998 41.819729, -71.3776718 41.8197294)",,,
19388931,,,Orchard Street,residential,False,False,81.18,"LINESTRING (-71.37429 41.817459, -71.373405 41.817146)",,,
19388931,,,Orchard Street,residential,False,True,75.526,"LINESTRING (-71.37429 41.817459, -71.375107 41.81776)",,,
42885038,,,Lyon Avenue,residential,False,True,115.396,"LINESTRING (-71.37429 41.817459, -71.3748967 41.8165249)",,,
42885038,,,Lyon Avenue,residential,False,False,115.396,"LINESTRING (-71.3748967 41.8165249, -71.37429 41.817459)",,,
19393288,,,Freeborn Avenue,residential,False,False,102.616,"LINESTRING (-71.3748967 41.8165249, -71.373955 41.8162, -71.373878 41.816338)",,,
19393288,,,Freeborn Avenue,residential,False,True,73.753,"LINESTRING (-71.3748967 41.8165249, -71.375595 41.816765, -71.375702 41.816807)",,,
"[19365000, 42885038, 42885039]",2,,Lyon Avenue,"['residential', 'tertiary']",False,True,67.391,"LINESTRING (-71.3748967 41.8165249, -71.374916 41.8164903, -71.3752027 41.8160259, -71.3752341 41.8159735)",yes,,
19386230,,,School Street,residential,False,False,85.652,"LINESTRING (-71.3752341 41.8159735, -71.374298 41.815647)",,,
"[19365000, 42885038, 42885039]",2,,Lyon Avenue,"['tertiary', 'residential']",False,False,67.391,"LINESTRING (-71.3752341 41.8159735, -71.3752027 41.8160259, -71.374916 41.8164903, -71.3748967 41.8165249)",yes,,
19365000,2,,Lyon Avenue,tertiary,False,True,81.57000000000001,"LINESTRING (-71.3752341 41.8159735, -71.3753502 41.8157775, -71.375648 41.815308)",,,
19386230,,,School Street,residential,False,True,149.67399999999998,"LINESTRING (-71.3752341 41.8159735, -71.375885 41.816185, -71.376884 41.816521)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,False,70.983,"LINESTRING (-71.375648 41.815308, -71.37487 41.815041)",,,
19365000,2,,Lyon Avenue,tertiary,False,False,81.57000000000001,"LINESTRING (-71.375648 41.815308, -71.3753502 41.8157775, -71.3752341 41.8159735)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,True,54.812999999999995,"LINESTRING (-71.375648 41.815308, -71.376205 41.815502, -71.376244 41.815521)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,False,70.984,"LINESTRING (-71.377022 41.815788, -71.376694 41.815678, -71.376244 41.815521)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,True,25.857999999999997,"LINESTRING (-71.377022 41.815788, -71.377042 41.815798, -71.377304 41.815887)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,True,48.371,"LINESTRING (-71.377304 41.815887, -71.377831 41.816074)",,,
19366803,,,South Prospect Street,residential,False,False,78.689,"LINESTRING (-71.377304 41.815887, -71.377106 41.816219, -71.376884 41.816521)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,False,25.857999999999997,"LINESTRING (-71.377304 41.815887, -71.377042 41.815798, -71.377022 41.815788)",,,
19386230,,,School Street,residential,False,True,76.349,"LINESTRING (-71.376884 41.816521, -71.377724 41.816803)",,,
19366803,,,South Prospect Street,residential,False,True,78.689,"LINESTRING (-71.376884 41.816521, -71.377106 41.816219, -71.377304 41.815887)",,,
19386230,,,School Street,residential,False,False,149.67399999999998,"LINESTRING (-71.376884 41.816521, -71.375885 41.816185, -71.3752341 41.8159735)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,False,26.548,"LINESTRING (-71.37812 41.816177, -71.377831 41.816074)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,True,48.182,"LINESTRING (-71.37812 41.816177, -71.378647 41.81636)",,,
19367843,,,South Phillips Street,residential,False,False,76.97200000000001,"LINESTRING (-71.37812 41.816177, -71.377937 41.816483, -71.377724 41.816803)",,,
19386230,,,School Street,residential,False,False,76.349,"LINESTRING (-71.377724 41.816803, -71.376884 41.816521)",,,
19386230,,,School Street,residential,False,True,75.486,"LINESTRING (-71.377724 41.816803, -71.378555 41.817081)",,,
19367843,,,South Phillips Street,residential,False,True,76.97200000000001,"LINESTRING (-71.377724 41.816803, -71.377937 41.816483, -71.37812 41.816177)",,,
92257471,,,Summit Street,residential,False,False,365.809,"LINESTRING (-71.380516 41.819603, -71.3785829 41.8225606)",,,
19368975,,,Summit Street,residential,True,False,31.637999999999998,"LINESTRING (-71.380516 41.819603, -71.3806 41.819515, -71.3807161 41.8194366, -71.380777 41.8193977)",,,
690432004,1,US 44,Trunky Tree Road,trunk,True,False,9.158,"LINESTRING (-71.3802579 41.819417, -71.3803604 41.8193862)",,,
19368971,,,Summit Street,residential,True,False,34.891,"LINESTRING (-71.3802579 41.819417, -71.3803164 41.819418, -71.3803679 41.8194279, -71.3804165 41.819442, -71.3804565 41.8194602, -71.38049 41.819482, -71.380516 41.819553, -71.380516 41.819603)",,,
19395548,,,Taunton Avenue,tertiary,True,False,58.155,"LINESTRING (-71.380777 41.8193977, -71.3808779 41.8194071, -71.381478 41.8194068)",,,
92257455,1,,,motorway_link,True,False,27.31,"LINESTRING (-71.380777 41.8193977, -71.3807971 41.8193683, -71.3808527 41.8193362, -71.3809139 41.8193084, -71.3809818 41.8192891, -71.381051 41.8192786)",,no,
92257477,2,RI 103,Warren Avenue,secondary,False,False,74.728,"LINESTRING (-71.380241 41.816925, -71.379425 41.816639)",,,
19370886,,,5th Street,residential,False,False,168.167,"LINESTRING (-71.380241 41.816925, -71.381065 41.815609, -71.3811064 41.8155574)",,,
92257477,2,RI 103,Warren Avenue,secondary,False,True,61.208000000000006,"LINESTRING (-71.380241 41.816925, -71.3806487 41.8170708, -71.38082 41.817132, -71.3809042 41.817167)",,,
968404846,,,Mauran Avenue,residential,False,False,73.014,"LINESTRING (-71.3811064 41.8155574, -71.3803071 41.8152812)",,,
