osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,bridge
16963899,False,2,North Marina Street,residential,False,214.23999999999998,"LINESTRING (-112.467316 34.5418658, -112.4673135 34.5419873, -112.4672797 34.543535, -112.4672776 34.5436308, -112.4672763 34.5436788, -112.4672741 34.5437922)",,,
16967626,False,,South Marina Street,residential,True,101.262,"LINESTRING (-112.467316 34.5418658, -112.4673521 34.5417488, -112.4673802 34.5410241, -112.4673843 34.5409593)",,,
16969584,False,4,East Gurley Street,secondary,False,132.385,"LINESTRING (-112.467316 34.5418658, -112.4671691 34.5418625, -112.4666164 34.5418504, -112.4658709 34.5418541)",,,
909905589,False,4,East Gurley Street,secondary,True,129.148,"LINESTRING (-112.467316 34.5418658, -112.467452 34.5418663, -112.4680236 34.5418682, -112.4685845 34.5418699, -112.468726 34.5418706)",,,
16963899,False,2,North Marina Street,residential,True,214.24,"LINESTRING (-112.4672741 34.5437922, -112.4672763 34.5436788, -112.4672776 34.5436308, -112.4672797 34.543535, -112.4673135 34.5419873, -112.467316 34.5418658)",,,
16964377,False,2,East Willis Street,residential,True,130.113,"LINESTRING (-112.4672741 34.5437922, -112.4671132 34.5437901, -112.4670798 34.54379, -112.4665738 34.5437843, -112.4660555 34.5437735, -112.4660006 34.5437722, -112.4658538 34.5437693)",,,
909655761,False,2,East Willis Street,residential,False,131.10999999999999,"LINESTRING (-112.4672741 34.5437922, -112.4673984 34.5437944, -112.4674564 34.5437955, -112.4679923 34.5438051, -112.4685022 34.5438123, -112.4685394 34.5438129, -112.4687053 34.5438152)",,,
16963924,False,2,North Pleasant Street,residential,False,215.15700000000004,"LINESTRING (-112.4646389 34.5418266, -112.4646396 34.5419428, -112.4646401 34.5419735, -112.4646462 34.54274, -112.4646537 34.5435786, -112.4646538 34.543629, -112.4646553 34.5437615)",,,
16969457,False,,South Pleasant Street,residential,True,103.07400000000001,"LINESTRING (-112.4646389 34.5418266, -112.4646335 34.5417066, -112.4646354 34.5416707, -112.4646309 34.5414742, -112.4646177 34.5408999)",,,
16969584,False,4,East Gurley Street,secondary,True,112.888,"LINESTRING (-112.4646389 34.5418266, -112.464747 34.5418272, -112.4657517 34.5418534, -112.4658709 34.5418541)",,,
16963924,False,2,North Pleasant Street,residential,True,215.15699999999998,"LINESTRING (-112.4646553 34.5437615, -112.4646538 34.543629, -112.4646537 34.5435786, -112.4646462 34.54274, -112.4646401 34.5419735, -112.4646396 34.5419428, -112.4646389 34.5418266)",,,
16964377,False,2,East Willis Street,residential,False,109.77599999999998,"LINESTRING (-112.4646553 34.5437615, -112.4647943 34.5437618, -112.464853 34.5437618, -112.4651614 34.5437623, -112.4656497 34.5437673, -112.4656947 34.5437677, -112.4658538 34.5437693)",,,
16964377,False,2,East Willis Street,residential,False,130.113,"LINESTRING (-112.4658538 34.5437693, -112.4660006 34.5437722, -112.4660555 34.5437735, -112.4665738 34.5437843, -112.4670798 34.54379, -112.4671132 34.5437901, -112.4672741 34.5437922)",,,
16964377,False,2,East Willis Street,residential,True,109.776,"LINESTRING (-112.4658538 34.5437693, -112.4656947 34.5437677, -112.4656497 34.5437673, -112.4651614 34.5437623, -112.464853 34.5437618, -112.4647943 34.5437618, -112.4646553 34.5437615)",,,
16975747,False,2,North Alarcon Street,tertiary,True,213.01,"LINESTRING (-112.4658538 34.5437693, -112.4658548 34.5436485, -112.4658553 34.5435952, -112.4658627 34.5427596, -112.4658692 34.5427244, -112.4658694 34.5420039, -112.4658698 34.5419607, -112.4658709 34.5418541)",,,
