osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,junction
16871840,False,South WC Riles Street,residential,True,106.73400000000001,"LINESTRING (-111.6473691 35.1959118, -111.647779 35.1950694, -111.6478036 35.19502)",,,,
605099398,False,East Phoenix Avenue,residential,False,111.214,"LINESTRING (-111.6473691 35.1959118, -111.6484298 35.1962376, -111.6485149 35.1962634)",2,25 mph,,
"[87080945, 583071998, 352104926]",True,"['North San Francisco Street', 'South San Francisco Street']",tertiary,False,109.539,"LINESTRING (-111.6485149 35.1962634, -111.6484859 35.1963233, -111.6483495 35.1966151, -111.6482795 35.1967565, -111.6482604 35.1967981, -111.6482415 35.1968376, -111.6481793 35.1969687, -111.6481341 35.1970695, -111.6480852 35.1971837)",2,25 mph,,
583071957,False,East Phoenix Avenue,residential,False,107.243,"LINESTRING (-111.6485149 35.1962634, -111.6485965 35.1962887, -111.6496195 35.1966031)",2,25 mph,,
605099398,False,East Phoenix Avenue,residential,True,111.214,"LINESTRING (-111.6485149 35.1962634, -111.6484298 35.1962376, -111.6473691 35.1959118)",2,25 mph,,
582736619,False,West Phoenix Avenue,residential,True,107.804,"LINESTRING (-111.6496195 35.1966031, -111.6507704 35.1968385)",2,25 mph,,
16867466,False,South Leroux Street,residential,True,110.616,"LINESTRING (-111.6496195 35.1966031, -111.6499233 35.1957239, -111.6500047 35.1956773)",,25 mph,,
583071957,False,East Phoenix Avenue,residential,True,107.243,"LINESTRING (-111.6496195 35.1966031, -111.6485965 35.1962887, -111.6485149 35.1962634)",2,25 mph,,
171478356,False,West Grand Canyon Avenue,residential,False,96.203,"LINESTRING (-111.6568662 35.1994353, -111.6558503 35.199679)",,,,
171478360,False,South Walnut Street,residential,False,72.12700000000001,"LINESTRING (-111.6568662 35.1994353, -111.6570233 35.1999124, -111.6570767 35.2000607)",,,,
171478360,False,South Walnut Street,residential,True,110.001,"LINESTRING (-111.6568662 35.1994353, -111.6567057 35.1989537, -111.6565481 35.1984808)",,,,
16870659,False,West Benton Avenue,residential,False,108.096,"LINESTRING (-111.6513894 35.195117, -111.6525003 35.1954647)",,,,
16870659,False,West Benton Avenue,residential,True,89.99000000000001,"LINESTRING (-111.6513894 35.195117, -111.6511864 35.1950557, -111.6504604 35.1948366)",,,,
169303683,False,West Cottage Avenue,residential,False,100.267,"LINESTRING (-111.651072 35.1959062, -111.6500047 35.1956773)",,,,
169303683,False,West Cottage Avenue,residential,True,105.547,"LINESTRING (-111.651072 35.1959062, -111.6514087 35.1959801, -111.6516703 35.1960375, -111.6521938 35.1961524)",,,,
202719404,True,South Beaver Street,tertiary,False,92.373,"LINESTRING (-111.651072 35.1959062, -111.6511998 35.1955885, -111.6512566 35.1954472, -111.6513894 35.195117)",2,25 mph,,
582736619,False,West Phoenix Avenue,residential,False,107.804,"LINESTRING (-111.6507704 35.1968385, -111.6496195 35.1966031)",2,25 mph,,
169303386,False,West Phoenix Avenue,residential,True,104.346,"LINESTRING (-111.6507704 35.1968385, -111.651818 35.1970491, -111.6518855 35.1970627)",2,25 mph,,
202719404,True,South Beaver Street,tertiary,False,107.22900000000001,"LINESTRING (-111.6507704 35.1968385, -111.6509948 35.1961449, -111.651072 35.1959062)",2,25 mph,,
"[582736620, 583071966]",True,"['South Beaver Street', 'North Beaver Street']",tertiary,False,124.404,"LINESTRING (-111.6502969 35.1978882, -111.6503459 35.1977728, -111.6503669 35.1977259, -111.6504509 35.1975386, -111.6504739 35.1974923, -111.6505163 35.1973944, -111.6505721 35.1972722, -111.6506028 35.1972052, -111.6507704 35.1968385)",2,25 mph,,
583071999,False,East Historic Route 66,primary,False,106.943,"LINESTRING (-111.6502969 35.1978882, -111.650373 35.1979126, -111.6503891 35.1979178, -111.6507488 35.1980231, -111.651398 35.1982277)",4,40 mph,US 180;I 40 Bus;US 66 Hist,
583071999,False,East Historic Route 66,primary,True,109.174,"LINESTRING (-111.6502969 35.1978882, -111.6502125 35.197861, -111.6496926 35.1976903, -111.6496061 35.197663, -111.6491785 35.1975295)",4,40 mph,US 180;I 40 Bus;US 66 Hist,
169303680,False,East Cottage Avenue,residential,False,62.703,"LINESTRING (-111.6471687 35.1947991, -111.6472324 35.1948215, -111.6478036 35.19502)",,,,
16871840,False,South WC Riles Street,residential,False,106.73400000000001,"LINESTRING (-111.6478036 35.19502, -111.647779 35.1950694, -111.6473691 35.1959118)",,,,
