osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,access
6121665,True,Gallatin Street,tertiary,False,153.208,"LINESTRING (-76.9411932 38.9525865, -76.9412529 38.9525876, -76.9416485 38.9525952, -76.9418009 38.9525981, -76.9420905 38.9526036, -76.9421877 38.9526066, -76.9423331 38.9526082, -76.9423943 38.9526094, -76.9429073 38.9526191, -76.9429644 38.9526202)",,,,,
696066756,False,Church Place,residential,False,101.349,"LINESTRING (-76.9411932 38.9525865, -76.9411876 38.9526363, -76.9411669 38.9528207, -76.9411513 38.9529641, -76.9411482 38.9529907, -76.9411426 38.9530415, -76.9411033 38.9534513, -76.9410991 38.953495)",,,,,
"[1029998562, 6140998]",True,Hamilton Street,residential,False,54.574,"LINESTRING (-76.9410991 38.953495, -76.9407085 38.9534826, -76.940562 38.953478, -76.9404685 38.953475)","['1', '2']",,,,
696066756,False,Church Place,residential,True,101.34899999999999,"LINESTRING (-76.9410991 38.953495, -76.9411033 38.9534513, -76.9411426 38.9530415, -76.9411482 38.9529907, -76.9411513 38.9529641, -76.9411669 38.9528207, -76.9411876 38.9526363, -76.9411932 38.9525865)",,,,,
6126262,False,42nd Place,residential,False,100.91999999999999,"LINESTRING (-76.9435065 38.9484882, -76.9435402 38.9485536, -76.943579 38.948629, -76.9435946 38.9486621, -76.943647 38.9487732, -76.9436794 38.948842, -76.94381 38.949119, -76.943909 38.94934)",,,,,
50875213,False,Baltimore Avenue,primary,True,11.169,"LINESTRING (-76.9408704 38.9497448, -76.9408597 38.9498449)",2,US 1 ALT,,,
50875213,False,Baltimore Avenue,primary,False,85.20400000000001,"LINESTRING (-76.9408704 38.9497448, -76.9408919 38.9495195, -76.9409187 38.9492733, -76.9409536 38.9489813)",2,US 1 ALT,,,
6109594,False,Decatur Street,tertiary,False,31.991,"LINESTRING (-76.9407237 38.9509066, -76.9406315 38.9508928, -76.9405572 38.9508816, -76.940359 38.9508587)",2,,,,
384970191,False,Baltimore Avenue,primary,False,46.849000000000004,"LINESTRING (-76.9407237 38.9509066, -76.9406777 38.9509852, -76.940614 38.9510828, -76.9405159 38.9511965, -76.940444 38.9512652)",3,US 1 ALT,,,
"[384970192, 50875213]",False,Baltimore Avenue,primary,"[False, True]",118.82999999999998,"LINESTRING (-76.9407237 38.9509066, -76.9407549 38.9508083, -76.94078 38.950698, -76.9407894 38.9505902, -76.9408044 38.9504183, -76.9408125 38.9503256, -76.9408172 38.9502685, -76.9408234 38.950229, -76.9408472 38.9499776, -76.9408597 38.9498449)","['3', '2']",US 1 ALT,,,
6109594,False,Decatur Street,tertiary,True,116.865,"LINESTRING (-76.9390458 38.9506125, -76.9393034 38.9506701, -76.939525 38.9507156, -76.9395502 38.9507208, -76.9397349 38.9507537, -76.939947 38.9507916, -76.9401427 38.9508265, -76.9402754 38.9508466, -76.9403189 38.9508528, -76.9403411 38.9508566, -76.940359 38.9508587)",2,,,,
6135516,False,46th Avenue,residential,False,276.45,"LINESTRING (-76.9390458 38.9506125, -76.9388745 38.9510634, -76.9388221 38.9512013, -76.9387229 38.9514626, -76.9386799 38.9515757, -76.9386729 38.951594, -76.938581 38.9518359, -76.9385438 38.9519337, -76.9384794 38.9521033, -76.9383767 38.9523738, -76.93814 38.9529968)",,,,,
384970194,False,Decatur Street,tertiary,False,100.28600000000002,"LINESTRING (-76.9390458 38.9506125, -76.938607 38.9504994, -76.9383676 38.9504378, -76.9381257 38.9503765, -76.9379451 38.9503285)",,,,,
6113301,False,47th Avenue,residential,False,286.716,"LINESTRING (-76.9379451 38.9503285, -76.9379238 38.9503846, -76.9376825 38.9510194, -76.9374387 38.9516607, -76.9373469 38.9519021, -76.9370051 38.9528012)",,,,,
384970194,False,Decatur Street,tertiary,False,93.267,"LINESTRING (-76.9379451 38.9503285, -76.9378941 38.9503168, -76.937859 38.9503087, -76.9369257 38.9500548)",,,,,
384970194,False,Decatur Street,tertiary,True,100.286,"LINESTRING (-76.9379451 38.9503285, -76.9381257 38.9503765, -76.9383676 38.9504378, -76.938607 38.9504994, -76.9390458 38.9506125)",,,,,
