osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,tunnel
"[258715891, 435685167]",True,Davis Street,tertiary,False,137.743,3,"LINESTRING (-87.681841 42.046792, -87.6820079 42.0468429, -87.682143 42.0468809, -87.6824355 42.0469585, -87.6826521 42.0470085, -87.6828019 42.0470236, -87.6829606 42.0470267, -87.6830229 42.047028, -87.683165 42.0470308, -87.6833531 42.0470345, -87.6834563 42.0470366)",,
1087822739,True,Sherman Avenue,tertiary,False,97.443,,"LINESTRING (-87.681841 42.046792, -87.6818465 42.0467094, -87.6818694 42.0463671, -87.6818712 42.0459162)",,
59234079,False,Sherman Avenue,tertiary,True,51.252,,"LINESTRING (-87.6818942 42.0454556, -87.681889 42.0455604, -87.6818712 42.0459162)",,
110581398,False,Sherman Avenue,tertiary,False,150.56,,"LINESTRING (-87.6818942 42.0454556, -87.6818949 42.04537, -87.6819035 42.0442355, -87.6819036 42.0442086, -87.6819045 42.0441016)",,
392715726,False,Grove Street,tertiary,False,145.383,,"LINESTRING (-87.6818942 42.0454556, -87.6817593 42.0454206, -87.6811545 42.0452637, -87.6803901 42.0450654, -87.6802321 42.0450244)",,
"[1211703201, 1022487869]",False,Grove Street,tertiary,True,136.70000000000002,,"LINESTRING (-87.6818942 42.0454556, -87.6820292 42.0454931, -87.6822272 42.045548, -87.682376 42.0455701, -87.6826073 42.0455727, -87.6829101 42.0455761, -87.6835241 42.045583)",,
23159101,False,Chicago Avenue,secondary,False,109.474,,"LINESTRING (-87.6802321 42.0450244, -87.6802617 42.0449407, -87.680401 42.0445464, -87.6804984 42.0441585, -87.6805215 42.0440643)",30 mph,
23159101,False,Chicago Avenue,secondary,True,138.434,,"LINESTRING (-87.6802321 42.0450244, -87.6801972 42.0450955, -87.6798526 42.0457965, -87.6796917 42.0461235, -87.6796573 42.0461939)",30 mph,
392715726,False,Grove Street,tertiary,True,145.383,,"LINESTRING (-87.6802321 42.0450244, -87.6803901 42.0450654, -87.6811545 42.0452637, -87.6817593 42.0454206, -87.6818942 42.0454556)",,
23159101,False,Chicago Avenue,secondary,False,138.434,,"LINESTRING (-87.6796573 42.0461939, -87.6796917 42.0461235, -87.6798526 42.0457965, -87.6801972 42.0450955, -87.6802321 42.0450244)",30 mph,
311726751,False,Chicago Avenue,secondary,False,181.83,2,"LINESTRING (-87.6796573 42.0461939, -87.679625 42.046263, -87.6796151 42.0462843, -87.6795378 42.0464501, -87.6793875 42.0467724, -87.6792816 42.0469995, -87.6791647 42.0472501, -87.6789663 42.0476756, -87.6789367 42.0477391)",30 mph,
"[525866244, 525866239]",True,Davis Street,tertiary,False,163.092,,"LINESTRING (-87.6796573 42.0461939, -87.6798131 42.0462395, -87.6802673 42.0463661, -87.6803402 42.0463865, -87.6804483 42.0464166, -87.6804926 42.0464289, -87.6805277 42.0464387, -87.6805799 42.0464533, -87.6810125 42.0465695, -87.6813871 42.0466702, -87.6815095 42.0467031)",,
311726751,False,Chicago Avenue,secondary,True,181.83,2,"LINESTRING (-87.6789367 42.0477391, -87.6789663 42.0476756, -87.6791647 42.0472501, -87.6792816 42.0469995, -87.6793875 42.0467724, -87.6795378 42.0464501, -87.6796151 42.0462843, -87.679625 42.046263, -87.6796573 42.0461939)",30 mph,
435385335,True,Ridge Avenue,secondary,False,57.442,2,"LINESTRING (-87.6885284 42.0496228, -87.6883073 42.0501126)",,
315794932,False,Ridge Avenue,secondary,True,123.81099999999999,,"LINESTRING (-87.6885284 42.0496228, -87.6885351 42.0495967, -87.6886534 42.0491351, -87.688775 42.0486033, -87.6887925 42.0485268)",,
59234025,False,Maple Avenue,tertiary,True,166.18900000000002,,"LINESTRING (-87.6848035 42.0484995, -87.6848026 42.0485665, -87.6847941 42.0491934, -87.6847845 42.0499033, -87.6847834 42.049994)",,
"[840344137, 315964197]",True,Church Street,tertiary,False,116.558,2,"LINESTRING (-87.6848035 42.0484995, -87.6846966 42.0484981, -87.6838992 42.0484863, -87.6837752 42.0484845, -87.6836406 42.0484853, -87.6835345 42.0484847, -87.6833921 42.0484838)",,
"[110586848, 1087822741]",True,Sherman Avenue,tertiary,False,185.12999999999997,,"LINESTRING (-87.6818378 42.0484548, -87.6818395 42.0483656, -87.6818636 42.0470857, -87.6818641 42.0470581, -87.6818623 42.0469648, -87.6818685 42.0469082, -87.6818553 42.0468524, -87.681841 42.046792)",,
"[435721468, 435721469]",True,Church Street,tertiary,False,90.03299999999999,"['3', '2']","LINESTRING (-87.6818378 42.0484548, -87.6816825 42.0484493, -87.6815406 42.0484442, -87.6811539 42.0483503, -87.6810722 42.0483277, -87.6809392 42.0482916, -87.6807916 42.0482515)",,
15472489,True,Church Street,tertiary,False,163.41600000000003,2,"LINESTRING (-87.6807916 42.0482515, -87.680637 42.0482088, -87.679854 42.0479925, -87.6797389 42.0479607, -87.6790711 42.0477762, -87.6789367 42.0477391)",,
23296014,True,Orrington Avenue,tertiary,False,171.52100000000002,2,"LINESTRING (-87.6807916 42.0482515, -87.6807497 42.0483369, -87.6805058 42.0488334, -87.6802266 42.0494121, -87.6800722 42.0496984)",,
110579670,True,Sherman Avenue,tertiary,False,12.829,,"LINESTRING (-87.6817161 42.0504621, -87.6817218 42.0505774)",,
901085862,True,Elgin Road,tertiary,False,164.034,,"LINESTRING (-87.6817161 42.0504621, -87.6816323 42.0504357, -87.6810857 42.0502636, -87.6800215 42.0499286, -87.6799795 42.0499164, -87.6798864 42.0498875)",,
