osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,bridge
13130312,Bury Street,residential,False,False,64.925,"LINESTRING (-95.0876994 39.1068817, -95.087672 39.1074652)",,,,
13130312,Bury Street,residential,False,True,64.925,"LINESTRING (-95.087672 39.1074652, -95.0876994 39.1068817)",,,,
13130312,Bury Street,residential,False,False,113.298,"LINESTRING (-95.087672 39.1074652, -95.0876495 39.1077182, -95.087644 39.107813, -95.0876439 39.1078527, -95.0876404 39.1080115, -95.0876418 39.1084834)",,,,
13136967,East 6th Street,residential,False,False,112.608,"LINESTRING (-95.087672 39.1074652, -95.0879726 39.1074594, -95.0889768 39.1074749)",,,,
"[13139477, 13136967]","['Delaware Street', 'East 6th Street']",residential,False,"[False, True]",225.214,"LINESTRING (-95.087672 39.1074652, -95.0863284 39.107487, -95.086298 39.1079857, -95.0863037 39.108469)",,,,
13138486,East 5th Street,residential,False,True,115.465,"LINESTRING (-95.0876418 39.1084834, -95.0863037 39.108469)",,,,
13130312,Bury Street,residential,False,False,87.14399999999999,"LINESTRING (-95.0876418 39.1084834, -95.087641 39.1086564, -95.0876403 39.1087871, -95.0876398 39.1088874, -95.087638 39.1092671)",,,,
13130312,Bury Street,residential,False,True,113.29799999999999,"LINESTRING (-95.0876418 39.1084834, -95.0876404 39.1080115, -95.0876439 39.1078527, -95.087644 39.107813, -95.0876495 39.1077182, -95.087672 39.1074652)",,,,
13138486,East 5th Street,residential,False,False,115.231,"LINESTRING (-95.0876418 39.1084834, -95.088104 39.1084882, -95.088115 39.1084884, -95.0889772 39.1084974)",,,,
116678676,East 4th Street,secondary,False,True,114.134,"LINESTRING (-95.087638 39.1092671, -95.0863152 39.1092624)",20 mph,,,
13130312,Bury Street,residential,False,False,107.52799999999999,"LINESTRING (-95.087638 39.1092671, -95.0876411 39.1097206, -95.087642 39.109845, -95.0876454 39.1099537, -95.087654 39.110234)",,,,
13130312,Bury Street,residential,False,True,87.14399999999999,"LINESTRING (-95.087638 39.1092671, -95.0876398 39.1088874, -95.0876403 39.1087871, -95.087641 39.1086564, -95.0876418 39.1084834)",,,,
116678676,East 4th Street,secondary,False,False,110.77499999999999,"LINESTRING (-95.087638 39.1092671, -95.0883834 39.109277, -95.0889217 39.1092842)",20 mph,,,
13130312,Bury Street,residential,False,False,111.692,"LINESTRING (-95.087654 39.110234, -95.0876188 39.1112381)",,,,
