osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access
24071037,Ashland Avenue,residential,25 mph,False,False,198.576,"LINESTRING (-87.8160688 41.8794175, -87.8160883 41.879872, -87.8161261 41.8807405, -87.8161462 41.8812024)",,
"[435553704, 435553716, 1072982597, 435553703]",Madison Street,secondary,,False,True,66.624,"LINESTRING (-87.8160688 41.8794175, -87.8163607 41.8794105, -87.8164686 41.8794079, -87.8165866 41.879405, -87.8168731 41.8793981)",3,
"[435553706, 435553710]",Madison Street,secondary,,False,False,133.603,"LINESTRING (-87.8160688 41.8794175, -87.8147761 41.8794488, -87.8144559 41.8794565)",3,
24112194,Vine Street,residential,25 mph,False,True,135.205,"LINESTRING (-87.8161462 41.8812024, -87.8145135 41.8812306)",,
24071037,Ashland Avenue,residential,25 mph,False,False,206.678,"LINESTRING (-87.8161462 41.8812024, -87.8161989 41.8829033, -87.8162038 41.8830606)",,
24071037,Ashland Avenue,residential,25 mph,False,True,198.576,"LINESTRING (-87.8161462 41.8812024, -87.8161261 41.8807405, -87.8160883 41.879872, -87.8160688 41.8794175)",,
24112194,Vine Street,residential,25 mph,False,False,128.62900000000002,"LINESTRING (-87.8161462 41.8812024, -87.8169589 41.8811841, -87.8176992 41.8811675)",,
24071037,Ashland Avenue,residential,25 mph,False,True,206.678,"LINESTRING (-87.8162038 41.8830606, -87.8161989 41.8829033, -87.8161462 41.8812024)",,
24091087,Washington Boulevard,tertiary,25 mph,False,False,132.576,"LINESTRING (-87.8162038 41.8830606, -87.8163206 41.8830594, -87.8170226 41.8830524, -87.8177101 41.8830455, -87.8178051 41.8830446)",,
24091087,Washington Boulevard,tertiary,25 mph,False,True,134.73700000000002,"LINESTRING (-87.8162038 41.8830606, -87.8161008 41.8830619, -87.8146967 41.8830802, -87.8145765 41.8830818)",,
24073117,Hannah Avenue,residential,,False,False,205.03499999999997,"LINESTRING (-87.8095842 41.8795489, -87.8095655 41.8790149, -87.8095631 41.8789469, -87.8095593 41.8788361, -87.8095532 41.8786629, -87.809522 41.8777697, -87.8095198 41.8777056)",,
"[435553700, 435553693, 435553709]",Madison Street,secondary,,False,True,100.512,"LINESTRING (-87.8095842 41.8795489, -87.8094148 41.8795518, -87.8091988 41.8795558, -87.8088874 41.8795613, -87.8083705 41.8795709)",3,
"[435553707, 319975421, 435553718]",Madison Street,secondary,,False,False,129.278,"LINESTRING (-87.8095842 41.8795489, -87.8105499 41.879531, -87.8107654 41.8795261, -87.8108065 41.8795262, -87.8109352 41.8795238, -87.8110506 41.8795217, -87.8110994 41.8795207, -87.8111452 41.8795199)",3,
24073117,Hannah Avenue,residential,,False,True,205.035,"LINESTRING (-87.8095198 41.8777056, -87.809522 41.8777697, -87.8095532 41.8786629, -87.8095593 41.8788361, -87.8095631 41.8789469, -87.8095655 41.8790149, -87.8095842 41.8795489)",,
24098624,Adams Street,residential,,False,False,100.876,"LINESTRING (-87.8095198 41.8777056, -87.8096591 41.8777022, -87.8101429 41.8776906, -87.8107375 41.8776746)",,
24098624,Adams Street,residential,,False,True,100.98,"LINESTRING (-87.8095198 41.8777056, -87.8094215 41.8777072, -87.8089313 41.8777151, -87.8083004 41.8777253)",,
661297167,Hannah Avenue,residential,,False,False,201.505,"LINESTRING (-87.8095198 41.8777056, -87.8095176 41.8776492, -87.8094486 41.8758942)",,
24077893,Jackson Boulevard,tertiary,,False,False,100.781,"LINESTRING (-87.8094486 41.8758942, -87.8088718 41.8759057, -87.8082318 41.8759185)",,
24077893,Jackson Boulevard,tertiary,,False,True,101.071,"LINESTRING (-87.8094486 41.8758942, -87.8100762 41.8758817, -87.8106689 41.8758699)",,
661297167,Hannah Avenue,residential,,False,True,201.505,"LINESTRING (-87.8094486 41.8758942, -87.8095176 41.8776492, -87.8095198 41.8777056)",,
"[435553704, 435553716, 1072982597, 435553703]",Madison Street,secondary,,False,False,66.624,"LINESTRING (-87.8168731 41.8793981, -87.8165866 41.879405, -87.8164686 41.8794079, -87.8163607 41.8794105, -87.8160688 41.8794175)",3,
"[583152428, 583154413]",Madison Street,secondary,,False,True,63.658,"LINESTRING (-87.8168731 41.8793981, -87.8172728 41.8793913, -87.8173375 41.8793902, -87.8176418 41.8793851)",,
679973320,Jackson Boulevard,tertiary,,False,True,101.938,"LINESTRING (-87.8168731 41.8793981, -87.8168671 41.8792063, -87.816859 41.87895, -87.8168443 41.8784816)",,
679973321,Monroe Street,residential,,False,False,183.946,"LINESTRING (-87.8168443 41.8784816, -87.8190652 41.8784346)",,
