osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,access
20961403,residential,False,False,350.779,"LINESTRING (-96.1176731 32.3308753, -96.1176731 32.3303237, -96.1176633 32.3287037, -96.1176614 32.3283878, -96.1176574 32.3277207)",,,,
675710838,primary,False,False,29.003999999999998,"LINESTRING (-96.1176731 32.3308753, -96.1175308 32.330875, -96.1173644 32.3308746)",TX 334,West Main Street,55 mph,
20961403,residential,False,True,350.779,"LINESTRING (-96.1176574 32.3277207, -96.1176614 32.3283878, -96.1176633 32.3287037, -96.1176731 32.3303237, -96.1176731 32.3308753)",,,,
20966235,primary,False,False,29.925,"LINESTRING (-96.111294 32.334747, -96.1112096 32.3350065)",TX 198,South 3rd Street,,
20973730,residential,False,True,129.151,"LINESTRING (-96.111294 32.334747, -96.1106799 32.334606, -96.1104181 32.3345743, -96.109945 32.3345527)",,Clover Drive,,
20975799,primary,False,True,152.541,"LINESTRING (-96.111294 32.334747, -96.1115441 32.3339812, -96.1117259 32.3334246)",TX 198,North Gun Barrel Lane,,
20966235,primary,False,True,29.925,"LINESTRING (-96.1112096 32.3350065, -96.111294 32.334747)",TX 198,South 3rd Street,,
20972351,residential,False,False,345.902,"LINESTRING (-96.1112096 32.3350065, -96.1118493 32.3351515, -96.1121207 32.335152, -96.1127712 32.3351531, -96.1129541 32.3351534, -96.1143559 32.3351559, -96.1144595 32.3351535, -96.1148686 32.3351535)",,Mabelle Lane,,
20966766,primary,False,True,23.283,"LINESTRING (-96.1095206 32.3308006, -96.1097683 32.3308066)",TX 334,East Main Street,,
20973891,residential,False,False,516.454,"LINESTRING (-96.1095206 32.3308006, -96.1092395 32.3316541, -96.1091387 32.331909, -96.1090744 32.3321176, -96.109069 32.3321991, -96.1090824 32.3322898, -96.1091468 32.3324439, -96.109187 32.3325686, -96.1091763 32.3327748, -96.1091521 32.3329606, -96.1091575 32.3331057, -96.109187 32.3331895, -96.1092487 32.3332417, -96.1093774 32.3332802, -96.109466 32.3332915, -96.1108473 32.3333572, -96.1115983 32.333389, -96.1117259 32.3334246)",,Waldman Drive,,
20966766,primary,False,False,23.283,"LINESTRING (-96.1097683 32.3308066, -96.1095206 32.3308006)",TX 334,East Main Street,,
20968492,residential,False,True,89.702,"LINESTRING (-96.1097683 32.3308066, -96.109773 32.3299999)",,Spring Valley Street,,
20966766,primary,False,True,191.701,"LINESTRING (-96.1097683 32.3308066, -96.1112813 32.3308604, -96.1114752 32.3308673, -96.1118068 32.3308791)",TX 334,East Main Street,,
20966766,primary,False,True,12.29,"LINESTRING (-96.1118068 32.3308791, -96.1119376 32.3308804)",TX 334,East Main Street,,
20966766,primary,False,False,191.701,"LINESTRING (-96.1118068 32.3308791, -96.1114752 32.3308673, -96.1112813 32.3308604, -96.1097683 32.3308066)",TX 334,East Main Street,,
70265684,tertiary,False,True,154.375,"LINESTRING (-96.1118068 32.3308791, -96.1118054 32.3306039, -96.1118051 32.3305482, -96.1118036 32.3302717, -96.1118032 32.3301944, -96.1118037 32.330116, -96.1118023 32.3300305, -96.1117995 32.3294908)",,Old Gun Barrel Lane,,
20966766,primary,False,False,53.747,"LINESTRING (-96.1125096 32.3308859, -96.1119376 32.3308804)",TX 334,East Main Street,,
30747648,secondary,False,True,40.203,"LINESTRING (-96.1125096 32.3308859, -96.1125171 32.3305244)",TX 198,South Gun Barrel Lane,,
675710838,primary,False,True,65.225,"LINESTRING (-96.1125096 32.3308859, -96.1132038 32.3308838)",TX 334,West Main Street,55 mph,
20975799,primary,False,False,35.284,"LINESTRING (-96.1125096 32.3308859, -96.1124516 32.3311767, -96.1124472 32.3311988)",TX 198,North Gun Barrel Lane,,
20968492,residential,False,False,78.027,"LINESTRING (-96.1097771 32.3292982, -96.109773 32.3299999)",,Spring Valley Street,,
20968492,residential,False,True,37.917,"LINESTRING (-96.1097771 32.3292982, -96.1097867 32.3289573)",,Spring Valley Street,,
20967205,residential,False,False,87.776,"LINESTRING (-96.1097771 32.3292982, -96.1102599 32.3293004, -96.1107105 32.3292778)",,Tamarack Drive,,
20967205,residential,False,False,106.224,"LINESTRING (-96.1107105 32.3292778, -96.1109599 32.3293118, -96.1111278 32.3293562, -96.1113194 32.3294273, -96.1114696 32.3294795, -96.1116841 32.3294908, -96.1117995 32.3294908)",,Tamarack Drive,,
20967205,residential,False,True,87.776,"LINESTRING (-96.1107105 32.3292778, -96.1102599 32.3293004, -96.1097771 32.3292982)",,Tamarack Drive,,
20967205,residential,False,True,106.224,"LINESTRING (-96.1117995 32.3294908, -96.1116841 32.3294908, -96.1114696 32.3294795, -96.1113194 32.3294273, -96.1111278 32.3293562, -96.1109599 32.3293118, -96.1107105 32.3292778)",,Tamarack Drive,,
70265684,tertiary,False,False,154.375,"LINESTRING (-96.1117995 32.3294908, -96.1118023 32.3300305, -96.1118037 32.330116, -96.1118032 32.3301944, -96.1118036 32.3302717, -96.1118051 32.3305482, -96.1118054 32.3306039, -96.1118068 32.3308791)",,Old Gun Barrel Lane,,
70265684,tertiary,False,True,219.388,"LINESTRING (-96.1117995 32.3294908, -96.1117996 32.329453, -96.1118002 32.3291293, -96.1118006 32.328924, -96.1118033 32.3275178)",,Old Gun Barrel Lane,,
20967206,residential,False,False,88.119,"LINESTRING (-96.1088495 32.3289278, -96.1097867 32.3289573)",,Tamarack Drive,,
20974353,residential,False,False,118.303,"LINESTRING (-96.1088495 32.3289278, -96.108841 32.3299917)",,Valleyview Street,,
20967206,residential,False,True,88.119,"LINESTRING (-96.1097867 32.3289573, -96.1088495 32.3289278)",,Tamarack Drive,,
20968492,residential,False,False,37.917,"LINESTRING (-96.1097867 32.3289573, -96.1097771 32.3292982)",,Spring Valley Street,,
20968492,residential,False,False,89.702,"LINESTRING (-96.109773 32.3299999, -96.1097683 32.3308066)",,Spring Valley Street,,
20968492,residential,False,True,78.027,"LINESTRING (-96.109773 32.3299999, -96.1097771 32.3292982)",,Spring Valley Street,,
20971199,residential,False,True,87.573,"LINESTRING (-96.109773 32.3299999, -96.108841 32.3299917)",,Shadowwood Street,,
20973730,residential,False,False,190.08499999999998,"LINESTRING (-96.1079291 32.334427, -96.1081678 32.3344632, -96.1084521 32.3344881, -96.109945 32.3345527)",,Clover Drive,,
20967971,unclassified,False,False,254.886,"LINESTRING (-96.1138352 32.3308817, -96.113831 32.3311003, -96.1138233 32.3314979, -96.1138165 32.3318479, -96.1136573 32.3318465, -96.1132663 32.3318431, -96.1128119 32.3318392, -96.1122474 32.3318343)",,East Texas Road,,
675710838,primary,False,False,42.591,"LINESTRING (-96.1138352 32.3308817, -96.11372 32.3308821, -96.1134855 32.3308829, -96.1133819 32.3308832)",TX 334,West Main Street,55 mph,
675710838,primary,False,True,157.56699999999998,"LINESTRING (-96.1138352 32.3308817, -96.113961 32.3308821, -96.1141891 32.3308828, -96.1144145 32.3308834, -96.1150094 32.3308852, -96.1152643 32.330886, -96.1155122 32.3308867)",TX 334,West Main Street,55 mph,
20975799,primary,False,True,6.723,"LINESTRING (-96.1122474 32.3318343, -96.1122672 32.3317762)",TX 198,North Gun Barrel Lane,,
20967971,unclassified,False,True,254.88600000000002,"LINESTRING (-96.1122474 32.3318343, -96.1128119 32.3318392, -96.1132663 32.3318431, -96.1136573 32.3318465, -96.1138165 32.3318479, -96.1138233 32.3314979, -96.113831 32.3311003, -96.1138352 32.3308817)",,East Texas Road,,
20975799,primary,False,False,183.497,"LINESTRING (-96.1122474 32.3318343, -96.1119772 32.3326583, -96.1117259 32.3334246)",TX 198,North Gun Barrel Lane,,
675710838,primary,False,False,84.852,"LINESTRING (-96.1173644 32.3308746, -96.1164614 32.3308857)",TX 334,West Main Street,55 mph,
20970752,unclassified,False,False,228.09799999999998,"LINESTRING (-96.1173644 32.3308746, -96.1173421 32.3313698, -96.1173224 32.3318087, -96.1173185 32.332502, -96.1173184 32.3325203, -96.1173235 32.3327877, -96.1173261 32.3329252)",,Municipal Drive,,
675710838,primary,False,True,29.003999999999998,"LINESTRING (-96.1173644 32.3308746, -96.1175308 32.330875, -96.1176731 32.3308753)",TX 334,West Main Street,55 mph,
20973730,residential,False,False,129.151,"LINESTRING (-96.109945 32.3345527, -96.1104181 32.3345743, -96.1106799 32.334606, -96.111294 32.334747)",,Clover Drive,,
20973730,residential,False,True,190.085,"LINESTRING (-96.109945 32.3345527, -96.1084521 32.3344881, -96.1081678 32.3344632, -96.1079291 32.334427)",,Clover Drive,,
20970752,unclassified,False,True,248.941,"LINESTRING (-96.1172843 32.3351637, -96.1173027 32.3341788, -96.1173261 32.3329252)",,Municipal Drive,,
20972351,residential,False,True,121.48500000000001,"LINESTRING (-96.1172843 32.3351637, -96.1165735 32.3351584, -96.1159913 32.3351541)",,Mabelle Lane,,
20971199,residential,False,False,87.573,"LINESTRING (-96.108841 32.3299917, -96.109773 32.3299999)",,Shadowwood Street,,
20971199,residential,False,True,87.706,"LINESTRING (-96.108841 32.3299917, -96.1079076 32.3299826)",,Shadowwood Street,,
20974353,residential,False,True,118.303,"LINESTRING (-96.108841 32.3299917, -96.1088495 32.3289278)",,Valleyview Street,,
20971199,residential,False,False,87.706,"LINESTRING (-96.1079076 32.3299826, -96.108841 32.3299917)",,Shadowwood Street,,
20973891,residential,False,True,516.4540000000001,"LINESTRING (-96.1117259 32.3334246, -96.1115983 32.333389, -96.1108473 32.3333572, -96.109466 32.3332915, -96.1093774 32.3332802, -96.1092487 32.3332417, -96.109187 32.3331895, -96.1091575 32.3331057, -96.1091521 32.3329606, -96.1091763 32.3327748, -96.109187 32.3325686, -96.1091468 32.3324439, -96.1090824 32.3322898, -96.109069 32.3321991, -96.1090744 32.3321176, -96.1091387 32.331909, -96.1092395 32.3316541, -96.1095206 32.3308006)",,Waldman Drive,,
20975799,primary,False,False,152.541,"LINESTRING (-96.1117259 32.3334246, -96.1115441 32.3339812, -96.111294 32.334747)",TX 198,North Gun Barrel Lane,,
20975799,primary,False,True,183.497,"LINESTRING (-96.1117259 32.3334246, -96.1119772 32.3326583, -96.1122474 32.3318343)",TX 198,North Gun Barrel Lane,,
20970752,unclassified,False,False,248.941,"LINESTRING (-96.1173261 32.3329252, -96.1173027 32.3341788, -96.1172843 32.3351637)",,Municipal Drive,,
20970752,unclassified,False,True,228.098,"LINESTRING (-96.1173261 32.3329252, -96.1173235 32.3327877, -96.1173184 32.3325203, -96.1173185 32.332502, -96.1173224 32.3318087, -96.1173421 32.3313698, -96.1173644 32.3308746)",,Municipal Drive,,
20972351,residential,False,False,105.481,"LINESTRING (-96.1148686 32.3351535, -96.115908 32.3351535, -96.1159913 32.3351541)",,Mabelle Lane,,
