osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge,ref
15029487,Mc Kown Avenue,residential,False,False,43.847,,"LINESTRING (-80.1828762 40.2624072, -80.1830049 40.2627891)",,
15023183,Greenside Avenue,residential,False,False,84.736,2,"LINESTRING (-80.1854973 40.2622596, -80.1852599 40.2615194)",,
15023183,Greenside Avenue,residential,False,True,98.40599999999999,2,"LINESTRING (-80.1854973 40.2622596, -80.1855178 40.2623214, -80.1857558 40.2631223)",,
15026905,Smithfield Street,residential,False,True,219.52700000000002,2,"LINESTRING (-80.1854973 40.2622596, -80.1848306 40.2624011, -80.1836719 40.2626473, -80.1830049 40.2627891)",,
15022767,Murdock Street,residential,False,False,310.58500000000004,,"LINESTRING (-80.188043 40.2577138, -80.1889863 40.2575504, -80.1895078 40.25746, -80.1916122 40.2570954)",,
"[15023598, 259144806, 15035030, 259144807]","['South Jefferson Avenue', 'North Jefferson Avenue']",residential,False,False,154.81300000000002,2,"LINESTRING (-80.188043 40.2577138, -80.1879789 40.2575627, -80.1879279 40.2574424, -80.1878401 40.2572385, -80.1877746 40.2570902, -80.1876691 40.2568818, -80.1876448 40.2568307, -80.1875042 40.2565245, -80.1874469 40.2563982)",yes,
15035030,North Jefferson Avenue,residential,False,True,88.201,2,"LINESTRING (-80.188043 40.2577138, -80.1881154 40.2578902, -80.1882551 40.2582077, -80.1883692 40.2584669)",,
15022767,Murdock Street,residential,False,True,310.58500000000004,,"LINESTRING (-80.1916122 40.2570954, -80.1895078 40.25746, -80.1889863 40.2575504, -80.188043 40.2577138)",,
15037428,Iron Street,residential,False,True,116.623,,"LINESTRING (-80.1916122 40.2570954, -80.1916561 40.2580012, -80.191663 40.2581435)",,
15022810,Loubell Drive,residential,False,False,182.171,,"LINESTRING (-80.1866348 40.2592837, -80.1859714 40.2594154, -80.1860006 40.2595094, -80.1856815 40.259569, -80.184699 40.2597348)",,
54978399,North Central Avenue,tertiary,False,False,111.30799999999999,,"LINESTRING (-80.1866348 40.2592837, -80.186671 40.2594046, -80.1867417 40.2596406, -80.1868019 40.2598417, -80.1868428 40.259969, -80.1869357 40.260258)",,
54978399,North Central Avenue,tertiary,False,True,50.781000000000006,,"LINESTRING (-80.1866348 40.2592837, -80.1866136 40.2592013, -80.1864968 40.2588394)",,
15023183,Greenside Avenue,residential,False,True,11.24,2,"LINESTRING (-80.184699 40.2597348, -80.1847358 40.2598319)",,
15022810,Loubell Drive,residential,False,True,182.171,,"LINESTRING (-80.184699 40.2597348, -80.1856815 40.259569, -80.1860006 40.2595094, -80.1859714 40.2594154, -80.1866348 40.2592837)",,
15023183,Greenside Avenue,residential,False,False,63.131,2,"LINESTRING (-80.184699 40.2597348, -80.1846629 40.2596177, -80.1845786 40.2593437, -80.1845288 40.2591821)",,
15037337,East Pitt Street,tertiary,False,False,9.572,2,"LINESTRING (-80.1857558 40.2631223, -80.1856467 40.2631442)",,
15023183,Greenside Avenue,residential,False,False,98.40599999999999,2,"LINESTRING (-80.1857558 40.2631223, -80.1855178 40.2623214, -80.1854973 40.2622596)",,
15037337,East Pitt Street,tertiary,False,True,173.08499999999998,2,"LINESTRING (-80.1857558 40.2631223, -80.186157 40.263032, -80.1868021 40.2628869, -80.1877187 40.2626992)",,
15023183,Greenside Avenue,residential,False,True,84.736,2,"LINESTRING (-80.1852599 40.2615194, -80.1854973 40.2622596)",,
15023183,Greenside Avenue,residential,False,False,102.5,2,"LINESTRING (-80.1852599 40.2615194, -80.1851782 40.2612655, -80.1851147 40.2610555, -80.1849689 40.2606248)",,
15023183,Greenside Avenue,residential,False,False,90.358,2,"LINESTRING (-80.1849689 40.2606248, -80.1848783 40.2603167, -80.1847358 40.2598319)",,
15023183,Greenside Avenue,residential,False,True,102.5,2,"LINESTRING (-80.1849689 40.2606248, -80.1851147 40.2610555, -80.1851782 40.2612655, -80.1852599 40.2615194)",,
15023831,East College Street,residential,False,True,171.804,,"LINESTRING (-80.1849689 40.2606248, -80.185378 40.2605485, -80.1858397 40.2604624, -80.1869357 40.260258)",,
15023183,Greenside Avenue,residential,False,False,11.24,2,"LINESTRING (-80.1847358 40.2598319, -80.184699 40.2597348)",,
15035697,Smith Street,residential,False,True,45.245,,"LINESTRING (-80.1847358 40.2598319, -80.1842168 40.2599252)",,
15023183,Greenside Avenue,residential,False,True,90.358,2,"LINESTRING (-80.1847358 40.2598319, -80.1848783 40.2603167, -80.1849689 40.2606248)",,
"[15023401, 15023183]","['Greenside Avenue', 'East Water Street']",residential,False,"[False, True]",236.50199999999998,2,"LINESTRING (-80.1845288 40.2591821, -80.1843443 40.2586119, -80.1846666 40.2585585, -80.1850202 40.2585137, -80.1856121 40.2584388, -80.185694 40.2584284, -80.1858967 40.2583964, -80.1863268 40.2583286)",,
15023183,Greenside Avenue,residential,False,True,63.13099999999999,2,"LINESTRING (-80.1845288 40.2591821, -80.1845786 40.2593437, -80.1846629 40.2596177, -80.184699 40.2597348)",,
"[15041276, 1170445550]",East Pike Street,secondary,False,False,44.677,,"LINESTRING (-80.1845288 40.2591821, -80.1841444 40.2592571, -80.1840187 40.2592816)",,PA 980
15041276,East Pike Street,secondary,False,True,171.29000000000002,,"LINESTRING (-80.1845288 40.2591821, -80.18519 40.259067, -80.1858172 40.2589578, -80.1864968 40.2588394)",,PA 980
"[15023401, 15023183]","['East Water Street', 'Greenside Avenue']",residential,False,"[False, True]",236.502,2,"LINESTRING (-80.1863268 40.2583286, -80.1858967 40.2583964, -80.185694 40.2584284, -80.1856121 40.2584388, -80.1850202 40.2585137, -80.1846666 40.2585585, -80.1843443 40.2586119, -80.1845288 40.2591821)",,
15041284,North Central Avenue,secondary,False,False,58.622,,"LINESTRING (-80.1863268 40.2583286, -80.1863517 40.2584253, -80.1864968 40.2588394)",,PA 980
"[259144804, 259144805, 54978390]","['South Central Avenue', 'North Central Avenue']",secondary,False,True,147.731,,"LINESTRING (-80.1863268 40.2583286, -80.1862165 40.2579397, -80.1862017 40.2578914, -80.186179 40.2578074, -80.1860942 40.2575535, -80.1860791 40.2574933, -80.1860648 40.2574362, -80.1860314 40.2573216, -80.185993 40.2571852, -80.1859501 40.2570317)",yes,PA 980
259144806,South Jefferson Avenue,residential,False,False,53.447,,"LINESTRING (-80.1874469 40.2563982, -80.1872562 40.2559401)",,
