osmid,oneway,name,highway,width,reversed,length,lanes,maxspeed,geometry,ref
376805516,True,Nelson Mandela Avenue,tertiary,7,False,107.484,,,"LINESTRING (31.0451945 -17.8300514, 31.0461789 -17.8298144)",
442600513,True,Leopold Takawira Street,tertiary,,False,29.296,4,80,"LINESTRING (31.0451945 -17.8300514, 31.045178 -17.8297884)",
345324774,False,Leopold Takawira Street,secondary,,False,16.151,2,80,"LINESTRING (31.045051 -17.8274577, 31.0450859 -17.8275991)",
25821128,False,Harare Street,residential,8,False,76.118,,,"LINESTRING (31.0417895 -17.8305366, 31.0417666 -17.8312208)",
25821341,True,Nelson Mandela Avenue,residential,7,False,90.07,,,"LINESTRING (31.0417895 -17.8305366, 31.0426385 -17.8305905)",
1145568675,False,Harare Street,residential,10,True,101.045,,,"LINESTRING (31.0417895 -17.8305366, 31.0417417 -17.8301518, 31.0416465 -17.8296385)",
25446813,False,Kaguvi Street,unclassified,8,True,114.75999999999999,,60,"LINESTRING (31.0410179 -17.8322104, 31.0410724 -17.8316676, 31.0411219 -17.8311831)",
217679674,False,Speke Avenue,residential,,True,74.74000000000001,,,"LINESTRING (31.0410179 -17.8322104, 31.0412574 -17.8322252, 31.0417225 -17.8322538)",
25821128,False,Harare Street,residential,8,False,115.93,,,"LINESTRING (31.0417225 -17.8322538, 31.0416567 -17.8332945)",
25821128,False,Harare Street,residential,8,True,114.959,,,"LINESTRING (31.0417225 -17.8322538, 31.0417666 -17.8312208)",
217679674,False,Speke Avenue,residential,,False,74.74000000000001,,,"LINESTRING (31.0417225 -17.8322538, 31.0412574 -17.8322252, 31.0410179 -17.8322104)",
217679674,False,Speke Avenue,residential,,True,90.34299999999999,,,"LINESTRING (31.0417225 -17.8322538, 31.0421572 -17.8322733, 31.0425754 -17.8322818)",
566669673,False,Mbuya Nehanda Street,residential,,False,113.836,,,"LINESTRING (31.0425754 -17.8322818, 31.0425244 -17.8333044)",
217679674,False,Speke Avenue,residential,,False,90.34299999999999,,,"LINESTRING (31.0425754 -17.8322818, 31.0421572 -17.8322733, 31.0417225 -17.8322538)",
217679674,False,Speke Avenue,residential,,True,91.02,,,"LINESTRING (31.0425754 -17.8322818, 31.0430127 -17.8323115, 31.0434337 -17.8323303)",
566669673,False,Mbuya Nehanda Street,residential,,True,114.42099999999999,,,"LINESTRING (31.0425754 -17.8322818, 31.0425853 -17.832057, 31.0426207 -17.8312537)",
25821340,False,Mbuya Nehanda Street,residential,,False,73.769,,,"LINESTRING (31.0426385 -17.8305905, 31.0426207 -17.8312537)",
25821340,False,Mbuya Nehanda Street,residential,,True,130.694,,,"LINESTRING (31.0426385 -17.8305905, 31.0427021 -17.8294167)",
25821341,True,Nelson Mandela Avenue,residential,7,False,68.045,,,"LINESTRING (31.0426385 -17.8305905, 31.0432812 -17.8305787)",
25821340,False,Mbuya Nehanda Street,residential,,True,73.769,,,"LINESTRING (31.0426207 -17.8312537, 31.0426385 -17.8305905)",
