osmid,highway,oneway,reversed,length,name,geometry,lanes,maxspeed,access
13287811,residential,False,False,62.453,,"LINESTRING (-117.6907991 33.5939702, -117.6907125 33.5934132)",,,
"[13351456, 13355542]",residential,False,"[False, True]",333.61099999999993,"['Grissom Road', 'Las Bolsas']","LINESTRING (-117.6907991 33.5939702, -117.6885871 33.5940981, -117.6881492 33.5940853, -117.6881019 33.5940828, -117.6880693 33.5940847, -117.6880341 33.5940951, -117.6880176 33.5941132, -117.6879999 33.5941552, -117.6877513 33.594743)",,,
13287811,residential,False,True,62.453,,"LINESTRING (-117.6907125 33.5934132, -117.6907991 33.5939702)",,,
401260419,secondary,False,False,87.643,Paseo de Valencia,"LINESTRING (-117.6907125 33.5934132, -117.68977 33.5934831)",4,45 mph,
13296554,residential,False,False,66.554,Marin Court,"LINESTRING (-117.6933795 33.5906487, -117.6930326 33.5908692, -117.69283 33.5910328)",,,
13296554,residential,False,True,66.554,Marin Court,"LINESTRING (-117.69283 33.5910328, -117.6930326 33.5908692, -117.6933795 33.5906487)",,,
13328032,residential,False,False,153.148,El Capitan,"LINESTRING (-117.69283 33.5910328, -117.6924702 33.5906801, -117.6924258 33.5906413, -117.6923651 33.5906194, -117.6922967 33.5906268, -117.6922454 33.5906472, -117.6917916 33.59092, -117.6915753 33.5910705)",,,
13298608,residential,False,False,155.423,Linda Vista Drive,"LINESTRING (-117.6927736 33.5919328, -117.6927363 33.5920007, -117.6926184 33.5921371, -117.6924573 33.5922895, -117.692258 33.5924151, -117.692021 33.5925197, -117.6914469 33.5927248)",,,
13360904,residential,False,False,149.795,Creek Drive,"LINESTRING (-117.6927736 33.5919328, -117.6925614 33.5918771, -117.6923237 33.5917633, -117.6921382 33.5916237, -117.6915753 33.5910705)",,,
13298608,residential,False,False,110.621,Linda Vista Drive,"LINESTRING (-117.6914469 33.5927248, -117.691074 33.5928259, -117.6906772 33.5928981, -117.6902837 33.592935)",,,
13298608,residential,False,True,155.42299999999997,Linda Vista Drive,"LINESTRING (-117.6914469 33.5927248, -117.692021 33.5925197, -117.692258 33.5924151, -117.6924573 33.5922895, -117.6926184 33.5921371, -117.6927363 33.5920007, -117.6927736 33.5919328)",,,
"[13318213, 13314454]",residential,False,False,380.10699999999997,"['Calero Avenue', 'El Conejo Lane']","LINESTRING (-117.6914469 33.5927248, -117.6911939 33.5920826, -117.6910384 33.5918234, -117.6909352 33.5916779, -117.6907968 33.5915177, -117.6906323 33.5913716, -117.6903279 33.5911474, -117.690088 33.5909454, -117.6898663 33.5907392, -117.6898164 33.5907084, -117.6897593 33.5906918, -117.689703 33.5907028, -117.689654 33.5907219, -117.6889374 33.5912413)",,,
13298608,residential,False,False,51.268,Linda Vista Drive,"LINESTRING (-117.6902837 33.592935, -117.6897312 33.5929628)",,,
13298608,residential,False,True,110.62100000000001,Linda Vista Drive,"LINESTRING (-117.6902837 33.592935, -117.6906772 33.5928981, -117.691074 33.5928259, -117.6914469 33.5927248)",,,
13358841,residential,False,False,236.387,La Mirada Street,"LINESTRING (-117.6902837 33.592935, -117.690251 33.5925731, -117.6902194 33.592431, -117.6901506 33.5922812, -117.6900321 33.5921303, -117.6898797 33.59201, -117.6895431 33.5917874, -117.6893699 33.591658, -117.6892105 33.5915149, -117.6889374 33.5912413)",,,
13298608,residential,False,False,52.498,Linda Vista Drive,"LINESTRING (-117.6897312 33.5929628, -117.6891656 33.5929933)",,,
