osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,service,width,tunnel
"[588277269, 62202565]",True,Filbert Street,residential,False,113.521,"LINESTRING (-75.1624884 39.9531287, -75.1624257 39.9531937, -75.1624083 39.9532099, -75.1623843 39.9532268, -75.1623617 39.9532418, -75.1623411 39.9532509, -75.1623106 39.9532612, -75.1622845 39.9532649, -75.1622572 39.9532633, -75.1621815 39.9532538, -75.1613046 39.953145, -75.161245 39.9531373)",,,,,,
"[424807258, 1121149102]",True,East Penn Square,primary,False,72.87599999999999,"LINESTRING (-75.1624884 39.9531287, -75.1625055 39.9531523, -75.1625223 39.9531703, -75.1625464 39.9531921, -75.1625764 39.9532134, -75.1626111 39.9532345, -75.1626455 39.953251, -75.1626765 39.9532623, -75.1627046 39.9532705, -75.1627348 39.9532778, -75.1627689 39.9532833, -75.1631539 39.9533308, -75.1632384 39.953342, -75.1632596 39.953341)","['4', '5']",PA 611,,,,
"[104524019, 1202318835]",True,South 15th Street,primary,False,26.069,"LINESTRING (-75.165217 39.9525756, -75.1652432 39.9524626, -75.1652498 39.9524326, -75.1652692 39.9523446)",5,PA 611,,,,
12177329,True,North 16th Street,primary,False,120.91300000000001,"LINESTRING (-75.1668533 39.9527561, -75.1668183 39.9529086, -75.1666491 39.9536959, -75.166621 39.9538288)",4,,,,,
"[333931865, 424807259, 424807263]",True,Market Street,primary,False,141.105,"LINESTRING (-75.1668533 39.9527561, -75.1667485 39.9527356, -75.1667062 39.9527306, -75.1666556 39.9527283, -75.1663944 39.952718, -75.1663559 39.9527161, -75.1663077 39.9527119, -75.1662547 39.9527057, -75.1659018 39.9526597, -75.1654932 39.9526095, -75.1654006 39.9525982, -75.165217 39.9525756)",3,PA 3,25 mph,,,
"[424807265, 424807261]",True,Market Street,primary,False,138.476,"LINESTRING (-75.1684508 39.9529804, -75.1683548 39.9529673, -75.1677486 39.9528887, -75.1676555 39.9528742, -75.1675705 39.9528597, -75.1674759 39.9528451, -75.1673762 39.9528306, -75.1669511 39.9527756, -75.1668533 39.9527561)","['3', '5']",PA 3,25 mph,,,
1013780281,True,South 17th Street,tertiary,False,71.09899999999999,"LINESTRING (-75.1684508 39.9529804, -75.1684726 39.9528795, -75.1685888 39.9523498)",2,,,,,
32165052,True,Market Street,primary,False,84.57300000000001,"LINESTRING (-75.1627087 39.9517882, -75.1625966 39.9520381, -75.1625912 39.9520664, -75.1625845 39.9520904, -75.1625758 39.9521132, -75.1625661 39.9521303, -75.1625538 39.9521471, -75.1625396 39.9521622, -75.1625233 39.9521735, -75.1625008 39.9521856, -75.1624836 39.9521921, -75.16246 39.9522003, -75.1624313 39.9522072, -75.1624047 39.9522104, -75.1623718 39.9522111, -75.1620836 39.9521953)",2,,25 mph,,,
"[63063019, 1052616156]",True,East Penn Square,primary,False,81.659,"LINESTRING (-75.1627087 39.9517882, -75.1626906 39.9519378, -75.1626776 39.9520452, -75.1626471 39.9521762, -75.1626307 39.9522646, -75.1625957 39.9523989, -75.1625401 39.9525078)",3,PA 611,,,,
12116842,False,Chancellor Street,residential,True,60.333,"LINESTRING (-75.166084 39.9489321, -75.1660244 39.9489254, -75.1653837 39.9488535)",,,,,,
1201709365,True,South 15th Street,tertiary,False,58.213,"LINESTRING (-75.166084 39.9489321, -75.1661824 39.9484819, -75.166197 39.9484158)",2,,,,,
626112967,True,South 11th Street,residential,False,94.45,"LINESTRING (-75.1586377 39.9502157, -75.1586256 39.9502697, -75.1585387 39.9506742, -75.1584607 39.9510542)",2,,25 mph,disused_tram,,
571008366,True,South Juniper Street,unclassified,False,86.238,"LINESTRING (-75.1628068 39.9507342, -75.1628171 39.9506777, -75.1628894 39.9503336, -75.162946 39.9500805, -75.1629608 39.9500131, -75.1629706 39.9499689)",1,,5 mph,,,
571008367,True,Chestnut Street,tertiary,False,87.747,"LINESTRING (-75.1628068 39.9507342, -75.1627438 39.950726, -75.161859 39.950615, -75.161791 39.9506064)",2,,,,,
42706648,True,Chestnut Street,tertiary,False,90.681,"LINESTRING (-75.1638567 39.9508655, -75.1637703 39.950856, -75.1628603 39.9507421, -75.1628068 39.9507342)",2,,,,,
"[424804085, 195804549]",True,South Broad Street,primary,False,92.108,"LINESTRING (-75.1638567 39.9508655, -75.1638587 39.9509228, -75.1638027 39.9511805, -75.1637457 39.9514448, -75.1637358 39.9514898, -75.1637294 39.9515109, -75.1637231 39.951528, -75.1637155 39.9515402, -75.163707 39.951553, -75.1636919 39.9515681, -75.1636763 39.9515818, -75.1636605 39.9515945, -75.1636405 39.9516036, -75.163621 39.9516101, -75.1635984 39.951612, -75.1635689 39.9516121)",3,PA 611,,,,
789845374,True,Chestnut Street,secondary,False,13.205,"LINESTRING (-75.1640097 39.9508841, -75.1638567 39.9508655)",,,25 mph,,,
62202577,True,South Broad Street,primary,False,85.741,"LINESTRING (-75.1640097 39.9508841, -75.1640223 39.9508229, -75.1641487 39.9502311, -75.1641595 39.9501807, -75.1641719 39.9501231)",3,PA 611,25 mph,,,
"[1120043040, 104524010]",True,Chestnut Street,secondary,False,138.672,"LINESTRING (-75.1656149 39.951086, -75.1655188 39.9510727, -75.1645309 39.9509492, -75.1641959 39.9509073, -75.1641075 39.9508935, -75.1640097 39.9508841)",2,,25 mph,,,
