osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,access
37345756,2,Via Lanzo,secondary,50,False,False,58.882999999999996,"LINESTRING (7.3888593 45.3132619, 7.3889042 45.3132429, 7.3889884 45.3131504, 7.3890379 45.3130961, 7.3891278 45.3130489, 7.3892826 45.3129428, 7.3893693 45.3128801)",,,
164436131,,Piazza Europa,residential,,False,True,46.035,"LINESTRING (7.3888593 45.3132619, 7.3888388 45.3133047, 7.3886507 45.313649)",,,
315202094,1,Via Ala,tertiary,50,False,True,121.65299999999999,"LINESTRING (7.3888593 45.3132619, 7.3887686 45.3132687, 7.3884061 45.3132106, 7.3881978 45.313159, 7.3877655 45.3131387, 7.3873298 45.3131743)",,,
37345756,2,Via Lanzo,secondary,50,False,False,4.66,"LINESTRING (7.3883208 45.3113005, 7.3883415 45.3112612)",,,
37345756,2,Via Lanzo,secondary,50,False,True,145.76099999999997,"LINESTRING (7.3883208 45.3113005, 7.3883182 45.3113846, 7.3883446 45.3114648, 7.388427 45.3115288, 7.3884865 45.311569, 7.3885685 45.3115884, 7.3886937 45.3115991, 7.3889266 45.3116111, 7.3891905 45.3116178, 7.3894104 45.3116258, 7.3896435 45.3116079, 7.3898932 45.3115647)",,,
164046456,,Via Giuseppe Verdi,residential,,False,False,118.923,"LINESTRING (7.3883208 45.3113005, 7.3882268 45.3112987, 7.3880715 45.3113454, 7.3879299 45.3115298, 7.3877953 45.3117798, 7.3877996 45.3119296, 7.3877618 45.3121861)",,,
37345756,2,Via Lanzo,secondary,50,False,True,4.66,"LINESTRING (7.3883415 45.3112612, 7.3883208 45.3113005)",,,
"[67007874, 67007867, 67007869, 230703654]",,Ponte della Vana,unclassified,,False,False,263.43800000000005,"LINESTRING (7.3883415 45.3112612, 7.3882305 45.3112272, 7.3878221 45.3109568, 7.3874193 45.310674, 7.3873782 45.3106221, 7.3873762 45.3105535, 7.3873921 45.31051, 7.3874654 45.3104297, 7.3880889 45.3098943, 7.3881189 45.3098523, 7.3881197 45.3097949, 7.3880967 45.3097438, 7.3880433 45.3096982, 7.3880049 45.30969, 7.3879235 45.3096513, 7.3878477 45.3096466, 7.3877775 45.3096757, 7.3877147 45.3097078, 7.3876549 45.309733)",yes,,
365483157,,Via Cantoira,residential,50,False,False,113.31099999999999,"LINESTRING (7.3896098 45.316818, 7.3896255 45.3167731, 7.3896597 45.3167055, 7.3897128 45.316459, 7.3897087 45.3163082, 7.3896869 45.3162094, 7.3896322 45.3160501, 7.3895891 45.3159268, 7.3895529 45.3158197)",,SP33d2,
315202094,1,Via Ala,tertiary,50,False,False,298.553,"LINESTRING (7.3840371 45.3139955, 7.384203 45.3138464, 7.3844907 45.3135548, 7.3847884 45.3132842, 7.3848897 45.3132516, 7.3849952 45.3132366, 7.3851484 45.3132241, 7.385571 45.3132167, 7.3860059 45.313214, 7.3868269 45.3132059, 7.3868782 45.3132047, 7.3870031 45.3132018, 7.3870636 45.3132004, 7.3873298 45.3131743)",,,
295022571,,Via Guglielmo Marconi,residential,,False,True,294.60499999999996,"LINESTRING (7.3894961 45.3143265, 7.3897195 45.3141594, 7.3900338 45.3139487, 7.3903322 45.3137351, 7.3906017 45.3135805, 7.3907157 45.3134738, 7.3909267 45.3132733, 7.3909531 45.3132332, 7.3910339 45.3131473, 7.3909552 45.3130833, 7.3908699 45.3129729, 7.3907716 45.312673, 7.3907088 45.312502, 7.3906699 45.3124326, 7.3903274 45.3123075)",,,
522114304,1,Via Cantoira,residential,30,False,False,88.446,"LINESTRING (7.3894961 45.3143265, 7.3893549 45.3141916, 7.3887025 45.3137629)",,,
522114304,1,Via Cantoira,residential,30,False,True,76.168,"LINESTRING (7.3894961 45.3143265, 7.3894765 45.3143984, 7.3894601 45.3145074, 7.3894198 45.3147999, 7.3893962 45.3149247, 7.389386 45.3150068)",,,
263546516,,Via Cantoira,residential,,False,False,13.297,"LINESTRING (7.3887025 45.3137629, 7.3886507 45.313649)",,,
164436131,,Piazza Europa,residential,,False,False,26.706,"LINESTRING (7.3887025 45.3137629, 7.3885908 45.3138119, 7.3885292 45.3138812, 7.3884461 45.3139116)",,,
"[164436136, 164436131]",,"['Piazza Municipio', 'Piazza Europa']",residential,,False,True,35.418,"LINESTRING (7.3887025 45.3137629, 7.3887836 45.313718, 7.388924 45.3136394, 7.389047 45.3135566)",,,
522114304,1,Via Cantoira,residential,30,False,True,88.446,"LINESTRING (7.3887025 45.3137629, 7.3893549 45.3141916, 7.3894961 45.3143265)",,,
164436131,,Piazza Europa,residential,,False,False,9.2,"LINESTRING (7.3884461 45.3139116, 7.3884235 45.3138304)",,,
163961950,1,Via Roma,residential,,False,False,141.46800000000002,"LINESTRING (7.3884461 45.3139116, 7.3884416 45.3139259, 7.3884056 45.3140415, 7.3884016 45.3140505, 7.388372 45.3141758, 7.388346 45.3142859, 7.3883426 45.3143003, 7.3883145 45.3144332, 7.3882919 45.3145404, 7.3882738 45.3146581, 7.3882547 45.3147192, 7.3883128 45.3151703)",,,delivery
164436131,,Piazza Europa,residential,,False,True,26.706,"LINESTRING (7.3884461 45.3139116, 7.3885292 45.3138812, 7.3885908 45.3138119, 7.3887025 45.3137629)",,,
129385673,,Via Cavalieri di Vittorio Veneto,residential,,False,True,192.376,"LINESTRING (7.386638 45.313946, 7.3866632 45.3139558, 7.3870828 45.3141188, 7.3873898 45.31433, 7.3875763 45.3144583, 7.3877094 45.3146224, 7.3877352 45.3146541, 7.3878993 45.3147465, 7.3883128 45.3151703)",,,
164436128,,Viale Stazione,residential,,False,True,8.712,"LINESTRING (7.3888077 45.3128651, 7.3887843 45.3129417)",,,
129385673,,Via Cavalieri di Vittorio Veneto,residential,,False,False,192.376,"LINESTRING (7.3883128 45.3151703, 7.3878993 45.3147465, 7.3877352 45.3146541, 7.3877094 45.3146224, 7.3875763 45.3144583, 7.3873898 45.31433, 7.3870828 45.3141188, 7.3866632 45.3139558, 7.386638 45.313946)",,,
163961950,1,Via Roma,residential,,False,True,141.468,"LINESTRING (7.3883128 45.3151703, 7.3882547 45.3147192, 7.3882738 45.3146581, 7.3882919 45.3145404, 7.3883145 45.3144332, 7.3883426 45.3143003, 7.388346 45.3142859, 7.388372 45.3141758, 7.3884016 45.3140505, 7.3884056 45.3140415, 7.3884416 45.3139259, 7.3884461 45.3139116)",,,delivery
522498479,1,Via Roma,residential,,False,False,23.92,"LINESTRING (7.3883128 45.3151703, 7.3883844 45.3152747, 7.3884588 45.315359)",,,
163962558,,Via Scarveiri,residential,,False,True,119.806,"LINESTRING (7.3873298 45.3131743, 7.3875046 45.3132104, 7.3875891 45.3132227, 7.3876548 45.313242, 7.3877458 45.3132835, 7.3879591 45.3133586, 7.3879912 45.3133699, 7.3881662 45.3134539, 7.3882906 45.3135993, 7.3883063 45.3136395, 7.3883607 45.3137534, 7.3884235 45.3138304)",,,
315202094,1,Via Ala,tertiary,50,False,False,121.653,"LINESTRING (7.3873298 45.3131743, 7.3877655 45.3131387, 7.3881978 45.313159, 7.3884061 45.3132106, 7.3887686 45.3132687, 7.3888593 45.3132619)",,,
