osmid,lanes,name,highway,oneway,reversed,length,geometry,width,bridge,maxspeed,ref
9124310,2,River Street,tertiary,False,False,46.239999999999995,"LINESTRING (-71.2319384 42.3528884, -71.2318899 42.3528696, -71.2318434 42.3528532, -71.2317939 42.352838, -71.231745 42.3528253, -71.23168 42.3528096, -71.2314103 42.3527472)",,,,
9123258,2,Plimpton Road,residential,False,True,47.778,"LINESTRING (-71.2246115 42.3472392, -71.2246689 42.3472208, -71.2247104 42.347205, -71.2247473 42.3471911, -71.2249315 42.3471099, -71.2249633 42.3470916, -71.2249895 42.3470684, -71.2250094 42.3470468, -71.2250234 42.3470231, -71.2250415 42.3469772)",12.2,,,
158287118,2,Chestnut Street,secondary,False,True,74.431,"LINESTRING (-71.2246115 42.3472392, -71.2245172 42.3470765, -71.2242603 42.3466222)",,,,
"[570160034, 570160036]",2,Chestnut Street,secondary,False,False,15.053999999999998,"LINESTRING (-71.2246115 42.3472392, -71.2246496 42.3473042, -71.2246844 42.3473634)",,,,
9126447,2,Henshaw Street,residential,False,False,75.113,"LINESTRING (-71.2279466 42.3527558, -71.2276978 42.3534058)",12.2,,,
9126274,2,Henshaw Terrace,residential,False,False,48.472,"LINESTRING (-71.2279466 42.3527558, -71.2279151 42.352749, -71.2278856 42.352742, -71.2278518 42.3527318, -71.2278244 42.3527226, -71.2274156 42.3525676)",9.1,,,
9126447,2,Henshaw Street,residential,False,True,69.753,"LINESTRING (-71.2279466 42.3527558, -71.2281519 42.3522108, -71.2281632 42.3521827, -71.2281774 42.3521522)",12.2,,,
"[954534594, 9123435]",2,Davis Street,residential,False,False,101.324,"LINESTRING (-71.2271263 42.3483469, -71.2270485 42.3483594, -71.2270181 42.3483643, -71.2269349 42.3483766, -71.2267134 42.3484077, -71.2263994 42.3484519, -71.2262662 42.3484678, -71.2261202 42.348483, -71.225912 42.3485027)",12.2,,,
9123542,2,Highland Street,tertiary,False,True,96.406,"LINESTRING (-71.2271263 42.3483469, -71.227141 42.3483845, -71.2273009 42.3487935, -71.2274544 42.3491793)",12.2,,,
"[954534593, 34963653, 165149670]",2,Highland Street,tertiary,False,False,86.601,"LINESTRING (-71.2271263 42.3483469, -71.2270911 42.3482581, -71.2270681 42.3482045, -71.2270412 42.3481427, -71.2270023 42.3480575, -71.2269647 42.3479783, -71.2269238 42.3478976, -71.2268835 42.3478203, -71.2268551 42.3477692, -71.2267959 42.3476646, -71.2267686 42.3476149)",12.2,yes,,
9123064,2,Westfield Road,residential,False,True,175.549,"LINESTRING (-71.222528 42.345948, -71.222572 42.345944, -71.222665 42.34594, -71.222757 42.345953, -71.222823 42.345985, -71.223158 42.346505, -71.223229 42.346558, -71.223321 42.346578, -71.223409 42.346574, -71.223501 42.346546, -71.223801 42.346433, -71.22408 42.346309)",12.2,,,
9124155,2,Cherry Street,tertiary,False,True,76.892,"LINESTRING (-71.2289497 42.3536606, -71.2292077 42.3529959)",15.2,,,
158630878,2,Henshaw Street,residential,False,True,106.703,"LINESTRING (-71.2289497 42.3536606, -71.2276978 42.3534058)",12.2,,,
591677267,2,River Street,tertiary,False,True,75.417,"LINESTRING (-71.2266186 42.3514065, -71.2274077 42.3517528)",,,,
158627762,2,River Street,tertiary,True,False,29.281999999999996,"LINESTRING (-71.2266186 42.3514065, -71.2265953 42.3513902, -71.2265775 42.351372, -71.2265623 42.3513528, -71.2265465 42.3513263, -71.2265304 42.3513043, -71.2265061 42.3512831, -71.2264732 42.3512636, -71.2264428 42.3512491, -71.2264103 42.3512372, -71.2263744 42.3512269)",,,,
"[954483976, 9123415]","['1', '2']",,motorway_link,True,False,357.42100000000005,"LINESTRING (-71.2300246 42.3475044, -71.2291572 42.347592, -71.2282992 42.3476869, -71.2281751 42.3477019, -71.2280566 42.3477167, -71.2257336 42.3480254)",15.2,,,
165149670,2,Highland Street,tertiary,False,True,91.344,"LINESTRING (-71.2252634 42.3449685, -71.2253717 42.3451541, -71.2257036 42.3457228)",12.2,,,
9124468,1,Columbus Place,residential,False,True,73.917,"LINESTRING (-71.2278934 42.3510733, -71.227608 42.3504429)",6.1,,,
9124928,2,Temple Street,residential,False,False,44.944,"LINESTRING (-71.227486 42.344982, -71.227384 42.3450745, -71.2273008 42.3451435, -71.2272044 42.3451977, -71.2270818 42.3452465)",12.2,,,
9126458,2,Waltham Street,secondary,False,False,58.437,"LINESTRING (-71.2255969 42.351954, -71.2251061 42.3523343)",,,25 mph,
9126458,2,Waltham Street,secondary,False,True,92.258,"LINESTRING (-71.2255969 42.351954, -71.2260426 42.3516034, -71.2260828 42.3515711, -71.2261251 42.351535, -71.2261652 42.3514989, -71.2262005 42.3514636, -71.2262343 42.3514275, -71.2262663 42.3513922, -71.2262928 42.3513601, -71.2263196 42.3513226)",,,25 mph,
