osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref
574388286,3,Chestnut Street,tertiary,False,True,111.273,"LINESTRING (-121.7679871 37.6861586, -121.7691617 37.685788)",,
6321585,,,residential,False,False,71.148,"LINESTRING (-121.7679871 37.6861586, -121.7678912 37.6860896, -121.7677847 37.6860124, -121.7673313 37.6857884)",,
6321585,,,residential,False,False,38.114,"LINESTRING (-121.7673313 37.6857884, -121.7669634 37.6856075)",,
6321585,,,residential,False,True,71.148,"LINESTRING (-121.7673313 37.6857884, -121.7677847 37.6860124, -121.7678912 37.6860896, -121.7679871 37.6861586)",,
6321585,,,residential,False,True,38.114,"LINESTRING (-121.7669634 37.6856075, -121.7673313 37.6857884)",,
6322015,,,residential,False,False,89.55600000000001,"LINESTRING (-121.766063 37.6864742, -121.7661179 37.6864052, -121.7666003 37.6857902)",,
35567156,,Junction Avenue,tertiary,False,True,74.134,"LINESTRING (-121.766063 37.6864742, -121.7659848 37.6864366, -121.7654585 37.6861647, -121.765352 37.6861169)",,
6322015,,,residential,False,True,89.55600000000001,"LINESTRING (-121.7666003 37.6857902, -121.7661179 37.6864052, -121.766063 37.6864742)",,
6327249,,South M Street,residential,False,False,76.96,"LINESTRING (-121.7727793 37.6811678, -121.772743 37.6810917, -121.7726886 37.6809691, -121.7726255 37.6808258, -121.7725771 37.68073, -121.7725334 37.6806446, -121.7724706 37.6805204)",,
6327249,,South M Street,residential,False,False,86.14,"LINESTRING (-121.7724706 37.6805204, -121.772433 37.6804418, -121.7724277 37.6804315, -121.7722496 37.680087, -121.7721772 37.6799118, -121.77217 37.6798942, -121.772125 37.679796)",,
6327249,,South M Street,residential,False,True,76.96,"LINESTRING (-121.7724706 37.6805204, -121.7725334 37.6806446, -121.7725771 37.68073, -121.7726255 37.6808258, -121.7726886 37.6809691, -121.772743 37.6810917, -121.7727793 37.6811678)",,
575897407,2,First Street,secondary,False,False,116.12799999999999,"LINESTRING (-121.7724706 37.6805204, -121.7726465 37.6804677, -121.7728386 37.6804101, -121.7731543 37.6803155, -121.7732231 37.6802949, -121.7734776 37.6802187, -121.7735959 37.6801832, -121.7737047 37.6801506)",25 mph,
"[1126561760, 94024179]",3,First Street,secondary,False,True,116.57600000000001,"LINESTRING (-121.7724706 37.6805204, -121.7723734 37.6805559, -121.771974 37.6806737, -121.7714752 37.6808277, -121.771359 37.6808633, -121.7712367 37.6809013)",25 mph,
6327249,,South M Street,residential,False,False,84.90899999999999,"LINESTRING (-121.772125 37.679796, -121.7720921 37.6797182, -121.7720858 37.6797056, -121.7719438 37.6794157, -121.7718747 37.6792705, -121.7718444 37.679208, -121.7718414 37.6792023, -121.7718325 37.679182, -121.7717846 37.6790816)",,
6327249,,South M Street,residential,False,True,86.13999999999999,"LINESTRING (-121.772125 37.679796, -121.77217 37.6798942, -121.7721772 37.6799118, -121.7722496 37.680087, -121.7724277 37.6804315, -121.772433 37.6804418, -121.7724706 37.6805204)",,
534079872,,Second Street,residential,False,False,116.28699999999999,"LINESTRING (-121.772125 37.679796, -121.7720271 37.6798253, -121.7717507 37.6799078, -121.7715213 37.6799764, -121.77102 37.680132, -121.7708948 37.6801772)",,
534079872,,Second Street,residential,False,True,116.148,"LINESTRING (-121.772125 37.679796, -121.7722436 37.6797606, -121.7726265 37.6796463, -121.7726734 37.6796324, -121.7727959 37.6795956, -121.7731155 37.6795002, -121.7733598 37.6794272)",,
